RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,382,0,150,0,45,0,0,0,230,2,0,104,0,,37,2001-06-30
,,,,,,,,,,,,,156,0,0,52,0,0,0,0,79,25,0,0,0,,242,2001-06-30
,,,,,,,,,,,,,215,0,64,40,0,0,0,0,21,90,0,25,0,,279,2001-06-30
,,,,,,,,,,,,,80,0,0,14,0,0,0,0,66,0,0,0,0,,354,2001-06-30
,,,,,,,,,,,,,1634,0,215,0,0,0,0,0,1024,395,0,205,0,,439,2001-06-30
,,,,,,,,,,,,,311,0,0,0,0,0,0,0,76,235,0,0,0,,457,2001-06-30
,,,,,,,,,,,,,1770,138,165,83,0,0,0,0,1097,425,0,0,0,,505,2001-06-30
,,,,,,,,,,,,,4367,0,1110,914,0,298,560,0,729,1614,0,107,0,,1146,2001-06-30
,,,,,,,,,,,,,718,0,0,0,0,0,0,0,703,15,0,0,0,,1155,2001-06-30
,,,,,,,,,,,,,1501,0,900,0,0,0,0,0,500,101,0,900,0,,1351,2001-06-30
,,,,,,,,,,,,,824,0,154,65,154,0,0,0,438,167,0,0,0,,1454,2001-06-30
,,,,,,,,,,,,,469,0,20,276,0,0,0,0,173,0,0,0,0,,1557,2001-06-30
,,,,,,,,,,,,,2067,0,1053,0,175,19,0,0,855,159,0,859,0,,1632,2001-06-30
,,,,,,,,,,,,,1092,0,0,137,0,0,0,0,817,138,0,0,0,,1669,2001-06-30
,,,,,,,,,,,,,2484,0,59,702,0,0,0,0,1098,625,0,0,0,,1829,2001-06-30
,,,,,,,,,,,,,30,0,0,3,0,0,0,0,27,0,0,0,0,,1856,2001-06-30
,,,,,,,,,,,,,218,0,0,93,0,0,0,0,82,43,0,0,0,,1959,2001-06-30
,,,,,,,,,,,,,1031,0,253,0,240,0,0,0,568,210,0,0,0,,2040,2001-06-30
,,,,,,,,,,,,,389,0,0,57,0,0,0,0,266,66,0,0,0,,2161,2001-06-30
,,,,,,,,,,,,,5941,0,584,0,0,0,0,0,2033,3324,0,253,0,,2376,2001-06-30
,,,,,,,,,,,,,159,0,10,0,0,0,0,0,146,3,0,0,0,,2451,2001-06-30
,,,,,,,,,,,,,61,0,0,2,0,0,0,0,59,0,0,0,0,,2554,2001-06-30
,,,,,,,,,,,,,3587,0,65,346,28,36,0,0,1602,1574,0,0,0,,2732,2001-06-30
,,,,,,,,,,,,,363,0,0,0,0,0,0,0,306,57,0,0,0,,2750,2001-06-30
,,,,,,,,,,,,,3830,0,0,0,0,0,0,0,1940,1890,0,0,0,,2938,2001-06-30
,,,,,,,,,,,,,610,0,0,22,0,0,0,0,490,98,0,0,0,,2956,2001-06-30
,,,,,,,,,,,,,767,0,0,159,0,0,0,0,567,41,0,0,0,,3252,2001-06-30
,,,,,,,,,,,,,137,0,0,46,0,0,0,0,69,22,0,0,0,,3458,2001-06-30
,,,,,,,,,,,,,7588,0,2446,0,0,1193,0,0,1560,3582,0,0,0,,3506,2001-06-30
,,,,,,,,,,,,,1886,0,4,510,0,0,0,0,536,836,0,0,0,,3579,2001-06-30
,,,,,,,,,,,,,1071,0,134,0,0,134,0,0,355,582,0,0,0,,3720,2001-06-30
