RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,37,2010-06-30
,,,,,,,242,2010-06-30
,,,,,,,279,2010-06-30
,,,,,,,354,2010-06-30
,,,,,,,457,2010-06-30
,,,,,,,505,2010-06-30
,,,,,,,1155,2010-06-30
,,,,,,,1351,2010-06-30
,,,,,,,1454,2010-06-30
,,,,,,,1557,2010-06-30
,,,,,,,1669,2010-06-30
,,,,,,,1829,2010-06-30
,,,,,,,1856,2010-06-30
,,,,,,,2040,2010-06-30
,,,,,,,2161,2010-06-30
,,,,,,,2376,2010-06-30
,,,,,,,2451,2010-06-30
,,,,,,,2554,2010-06-30
,,,,,,,2732,2010-06-30
,,,,,,,2750,2010-06-30
,,,,,,,3252,2010-06-30
,,,,,,,3458,2010-06-30
,,,,,,,3720,2010-06-30
,,,,,,,3953,2010-06-30
,,,,,,,4138,2010-06-30
,,,,,,,4156,2010-06-30
,,,,,,,4231,2010-06-30
,,,,,,,4437,2010-06-30
,,,,,,,4839,2010-06-30
,,,,,,,5005,2010-06-30
,,,,,,,5069,2010-06-30
,,,,,,,5135,2010-06-30
,,,,,,,5210,2010-06-30
,,,,,,,5331,2010-06-30
,,,,,,,5461,2010-06-30
,,,,,,,5751,2010-06-30
,,,,,,,6039,2010-06-30
,,,,,,,6141,2010-06-30
,,,,,,,6329,2010-06-30
,,,,,,,6972,2010-06-30
,,,,,,,7009,2010-06-30
,,,,,,,7045,2010-06-30
,,,,,,,7157,2010-06-30
,,,,,,,7456,2010-06-30
,,,,,,,7634,2010-06-30
,,,,,,,8033,2010-06-30
,,,,,,,8462,2010-06-30
,,,,,,,8631,2010-06-30
,,,,,,,9357,2010-06-30
,,,,,,,9553,2010-06-30
,,,,,,,9807,2010-06-30
,,,,,,,9955,2010-06-30
,,,,,,,10157,2010-06-30
,,,,,,,10250,2010-06-30
,,,,,,,10849,2010-06-30
,,,,,,,10858,2010-06-30
,,,,,,,11145,2010-06-30
,,,,,,,11640,2010-06-30
,,,,,,,11837,2010-06-30
,,,,,,,12030,2010-06-30
,,,,,,,12142,2010-06-30
,,,,,,,12245,2010-06-30
1394189,0,0,1394189,1394189,0,0,12311,2010-06-30
,,,,,,,12647,2010-06-30
,,,,,,,12656,2010-06-30
,,,,,,,12937,2010-06-30
,,,,,,,12946,2010-06-30
,,,,,,,12955,2010-06-30
,,,,,,,13037,2010-06-30
,,,,,,,13103,2010-06-30
,,,,,,,13251,2010-06-30
,,,,,,,13457,2010-06-30
,,,,,,,14052,2010-06-30
,,,,,,,14155,2010-06-30
,,,,,,,14454,2010-06-30
,,,,,,,14650,2010-06-30
,,,,,,,14753,2010-06-30
,,,,,,,14865,2010-06-30
,,,,,,,14977,2010-06-30
,,,,,,,16337,2010-06-30
,,,,,,,16458,2010-06-30
,,,,,,,16551,2010-06-30
,,,,,,,16748,2010-06-30
,,,,,,,16944,2010-06-30
,,,,,,,16953,2010-06-30
,,,,,,,17110,2010-06-30
,,,,,,,17147,2010-06-30
,,,,,,,17259,2010-06-30
,,,,,,,17464,2010-06-30
,,,,,,,17950,2010-06-30
,,,,,,,18050,2010-06-30
,,,,,,,18135,2010-06-30
,,,,,,,18377,2010-06-30
,,,,,,,18827,2010-06-30
,,,,,,,18836,2010-06-30
,,,,,,,18854,2010-06-30
,,,,,,,18957,2010-06-30
,,,,,,,19356,2010-06-30
,,,,,,,19730,2010-06-30
,,,,,,,19936,2010-06-30
,,,,,,,19972,2010-06-30
,,,,,,,20053,2010-06-30
,,,,,,,20370,2010-06-30
,,,,,,,20512,2010-06-30
,,,,,,,20633,2010-06-30
,,,,,,,20857,2010-06-30
,,,,,,,20866,2010-06-30
,,,,,,,21256,2010-06-30
,,,,,,,21359,2010-06-30
,,,,,,,21630,2010-06-30
,,,,,,,21658,2010-06-30
,,,,,,,22048,2010-06-30
,,,,,,,22356,2010-06-30
,,,,,,,22459,2010-06-30
,,,,,,,22543,2010-06-30
,,,,,,,22552,2010-06-30
,,,,,,,22730,2010-06-30
,,,,,,,22936,2010-06-30
,,,,,,,22954,2010-06-30
,,,,,,,23045,2010-06-30
,,,,,,,23241,2010-06-30
,,,,,,,23456,2010-06-30
,,,,,,,23504,2010-06-30
,,,,,,,23540,2010-06-30
,,,,,,,23643,2010-06-30
,,,,,,,23755,2010-06-30
,,,,,,,23812,2010-06-30
,,,,,,,24006,2010-06-30
,,,,,,,24453,2010-06-30
,,,,,,,24659,2010-06-30
,,,,,,,24668,2010-06-30
,,,,,,,24855,2010-06-30
,,,,,,,24949,2010-06-30
,,,,,,,25357,2010-06-30
,,,,,,,25647,2010-06-30
,,,,,,,26149,2010-06-30
,,,,,,,26242,2010-06-30
,,,,,,,26457,2010-06-30
,,,,,,,26765,2010-06-30
,,,,,,,26859,2010-06-30
,,,,,,,26916,2010-06-30
,,,,,,,27548,2010-06-30
,,,,,,,27614,2010-06-30
,,,,,,,27847,2010-06-30
,,,,,,,28152,2010-06-30
,,,,,,,28255,2010-06-30
,,,,,,,28349,2010-06-30
,,,,,,,28406,2010-06-30
,,,,,,,28572,2010-06-30
,,,,,,,28732,2010-06-30
,,,,,,,29104,2010-06-30
,,,,,,,29636,2010-06-30
,,,,,,,29953,2010-06-30
,,,,,,,30052,2010-06-30
,,,,,,,30258,2010-06-30
,,,,,,,30418,2010-06-30
,,,,,,,30502,2010-06-30
,,,,,,,30650,2010-06-30
0,0,0,0,0,0,0,30810,2010-06-30
,,,,,,,31134,2010-06-30
,,,,,,,31255,2010-06-30
,,,,,,,31657,2010-06-30
,,,,,,,31826,2010-06-30
,,,,,,,31835,2010-06-30
,,,,,,,32234,2010-06-30
,,,,,,,32766,2010-06-30
