RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,0,0,0,false,0,0,52,0,0,208,0,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,580,0,0,2992,true,0,0,0,0,0,342,0,0,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,5,0,63,27498,true,0,0,428,0,0,114,0,63,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,false,0,0,0,0,0,186,1,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,true,0,0,25,0,0,3453,2,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0,0,0,0,false,0,0,0,0,282,439,2,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,4500,1594,102,17500,true,157,0,0,0,0,2729,2,102,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,137,54,21555,true,0,0,52,0,15,639,1,54,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,9225,0,0,12225,true,0,0,0,0,210,8079,5,0,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,false,0,0,0,0,0,290,0,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,0,0,true,0,0,43,0,0,39942,5,0,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2173,false,0,0,0,0,0,7,0,0,false,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,30000,0,0,39000,true,0,0,228,0,0,21331,7,0,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2005-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,1000,true,0,0,5,0,0,3229,2,0,false,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2005-09-30
