RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,4500,true,100,0,0,0,0,1806,2,0,false,0,0,0,2000,2500,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,3252,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,3458,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,0,0,0,0,true,1064,0,267,0,82,1871,2,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,3720,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,0,12142,59,11624,true,781,0,903,0,95,0,0,59,true,0,89,0,0,0,11089,0,89,183,0,263,0,535,true,false,,,0,0,1,true,,,,,,,,,,,3971,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13000,1783,0,13000,true,0,0,0,0,0,13,0,0,false,0,0,13000,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,4156,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,0,0,0,0,false,0,0,0,0,1320,995,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,4231,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,913,0,0,2316,true,0,0,0,0,0,10598,4,0,false,0,0,913,531,369,503,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,4437,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,0,0,0,22000,true,301,0,217,0,962,21577,6,0,true,0,0,0,0,22000,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,4839,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7524,0,0,0,0,false,0,0,0,0,7524,250,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,5069,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,5250,1042,0,18727,true,42,0,0,0,290,10403,4,0,false,0,0,5250,11800,0,1677,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,5135,2014-06-30
