RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,229,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,37,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2200,0,0,5723,true,0,0,0,0,0,717,0,0,true,0,0,2200,2557,966,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,242,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5633,0,28,21549,true,0,0,0,0,0,22096,2,28,true,0,0,5633,3256,3808,8852,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,279,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,,0,0,,,,,,,,,,,,,354,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,3400,true,0,0,0,0,31,1496,2,0,false,0,0,400,500,1000,1500,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,457,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,10500,1595,92,10500,true,0,0,1342,0,0,6693,2,92,true,0,0,10500,0,0,0,0,0,0,0,0,0,0,true,true,,,0,0,,,,,,,,,,,,,505,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803,0,0,0,0,true,1803,0,0,0,0,7510,5,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1155,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,0,0,0,0,true,0,0,236,0,0,1770,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1351,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,0,0,0,0,true,928,0,0,0,153,45326,5,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,,,0,0,,,,,,,,,,,,,1454,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,70,0,8333,true,0,0,8,0,0,0,0,0,false,0,0,6201,0,0,2132,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1557,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,4043,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1669,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64051,8144,292,64051,true,0,0,0,0,0,2408,3,292,true,0,0,64051,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,1829,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,98,0,40419,true,0,0,0,0,34,0,0,0,false,0,0,10419,30000,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,1856,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,7500,0,0,23000,true,0,0,240,0,0,1528,1,0,false,0,0,7500,11500,4000,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,2040,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,0,0,true,21,0,0,0,0,1974,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,2161,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,256315,0,0,773593,true,0,0,0,0,487,33054,3,0,false,0,0,256315,185398,167247,104622,0,23578,0,0,36433,0,60011,true,false,,,0,0,1,true,,,,,,,,,,,2376,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,289,0,0,true,0,0,0,0,0,98,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,2554,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,true,0,0,0,0,0,29443,3,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,,,0,0,,,,,,,,,,,0,0,2732,2016-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4000,0,0,6035,true,98,0,0,0,0,946,1,0,false,0,2035,4000,0,0,0,0,2035,0,0,0,0,2035,true,false,,,0,0,,,,,,,,,,,0,0,2750,2016-03-31
