RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,37,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,386,0,0,3600,,0,0,0,0,0,28,0,0,,,0,386,380,1557,1277,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,242,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,24,5286,0,21,24435,,24,0,0,0,0,3895,3,21,,,0,5286,2802,9362,6985,0,0,0,0,0,0,0,,,,860,,,,,,,,,,,,,,,279,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,354,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,1000,0,0,5500,,55,0,0,0,31,2255,3,0,,,0,1000,1500,2500,500,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,457,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,161,38900,1595,75,44780,,0,0,161,0,0,8130,1,75,,,0,38900,2243,3637,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,505,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,980,0,0,0,0,,980,0,0,0,0,8367,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,1155,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,266,0,0,0,0,,0,0,177,0,89,2479,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,1351,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,12628,8,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,1454,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,411,0,0,0,0,,0,0,411,0,0,3878,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,1669,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,0,98,0,30000,,0,0,0,0,0,142,0,0,,,0,0,0,0,30000,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,1856,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8500,0,0,18030,,0,0,0,0,0,0,0,0,,,0,8500,9000,530,0,0,0,0,0,0,0,0,,,114,0,,,,,,,,,,,,,,,2040,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,0,0,0,,0,24,0,0,0,1934,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,0,,,,,,,,,,,,,59,241,2161,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,557,118218,0,0,539832,true,0,0,0,0,557,20707,3,0,false,0,30000,118218,232549,111803,5000,0,48276,0,0,23986,0,42262,true,false,,0,,,1,true,,,,,,,,,,,2376,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,145,0,0,0,0,,0,0,0,0,145,29808,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1112,,,,,,,,,,,,,27,161,2732,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,130,,0,0,0,0,0,603,1,0,,,130,0,0,0,0,0,130,0,0,0,0,130,,,,0,,,,,,,,,,,,,,,2750,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,283,1500,0,0,7300,,0,202,0,0,81,2352,1,0,,,0,1500,2800,3000,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,3252,2019-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,963,,0,0,0,0,0,0,0,0,,,0,0,963,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,3458,2019-06-30
