"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4292	381	0	0	47110	5340	15849	92	67251	0					0	0	0	0	0	0	0	0	0		
242																0	1546	150	0	0	17073	3556	8251	41	26870	0			0	0	0	0	0	0	0	0	0	0	0		
279																0	11972	384	417	1	62736	6623	23166	160	98291	0			275	1	0	0	0	0	0	0	0	0	0		
354																0	0	0	0	0	5663	793	2022	9	7685	0			0	0	0	0	0	0	0	0	0	0	0		
457																0	1242	104	0	0	18140	2656	7399	45	26781	0			317	1	0	0	0	0	0	0	0	0	0		
505																0	8116	464	263	1	146564	19593	111232	388	266175	0			18309	30	0	0	0	0	0	0	0	0	1497		
1155																0	12554	608	601	2	96009	12214	66588	176	175752	0	165004	0	20829	11	0	0	0	0	0	0	0	0	0		
1351																0	7027	245	864	2	38905	4943	67228	298	114025	0					0	0	0	0	0	0	0	0	0		
1454																0	19754	1536	1118	4	203344	32664	166226	624	390442	0			40402	55	0	0	0	0	0	0	0	0	0		
