"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1094	90	26	0	1126	148	0			0	0	
242	166	0	2	0	164	0	0			0	0	
279	472	75	0	0	444	47	0			0	0	
354	202	0	9	0	193	0	0			0	0	
457	288	128	8	0	217	65	0			0	0	
505	4168	525	20	0	3766	143	0			0	0	
1155	2024	440	2	0	1838	256	0			0	0	
1351	1073	60	9	0	1120	116	0	0	0	0	0	
1454	2686	300	344	0	2123	81	0			0	0	
1557	380	0	0	0	380	0	0	0	0	0	0	
1632	14088	12020	421	3512	10419	5260	0			0	0	
1669	1977	101	29	0	1951	104	0			0	0	
1829	3997	180	41	0	3937	161	0			0	0	
1856	200	18	50	0	132	0	0			0	0	
2040	2850	262	108	0	2525	45	0			0	0	
2161	559	17	13	0	558	29	0			0	0	
2376	20680	4505	0	0	18907	2732	0			0	0	
2451	1014	509	146	0	498	139	0			0	0	
2554	52	19	0	0	33	0	0			0	0	
2732	4594	2060	9	0	4064	1539	0			0	0	
2750	516	110	9	0	425	28	0			0	0	
2938	11637	6510	254	0	8610	6223	2486			0	0	
3252	1149	250	161	0	1006	268	0			0	0	
3458	422	525	9	0	318	430	0			0	0	
3720	1591	66	2	0	1565	42	0			0	0	
3953	2148	800	32	0	1371	55	0			0	0	
4138	2919	649	89	0	3912	1731	0			0	0	
4156	1779	669	86	0	1695	671	0			0	0	
4231	656	364	53	0	1060	821	0			0	0	
4437	2435	550	15	0	2539	669	0			0	0	
4839	3326	610	4	0	3242	530	0			0	0	
5005	6031	2370	0	0	3663	2	0			0	0	
5069	14204	5000	0	0	9204	0	0			0	0	
5135	3635	160	9	0	3521	55	0			0	0	
5210	9860	2350	165	0	7393	48	0			0	0	
5331	1146	325	32	0	1649	860	0			0	0	
5461	4067	600	317	0	3471	321	0			0	0	
5751	946	0	0	0	950	4	0			0	0	
6039	1260	430	5	0	1165	340	0			0	0	
6141	411	30	8	0	402	29	0			0	0	
6329	4952	4300	291	0	4564	4203	0			0	0	
6972	20100	4427	111	0	32112	16550	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	729	95	25	0	749	140	0			0	0	
7157	193	0	1	0	204	12	0			0	0	
7456	396	69	6	0	321	0	0	0	0	0	0	
7634	3026	2520	8	0	782	284	0			0	0	
8033	873	12	24	0	852	15	0			0	0	
8462	456	80	51	0	382	57	0			0	0	
8631	379	143	5	0	384	153	0			0	0	
9357	5984	800	6	0	5471	293	0			0	0	
9553	792	50	0	0	742	0	0			0	0	
9807	73931	21000	58	0	65591	12718	0			0	0	
9955	576	40	6	0	532	2	0			0	0	
10157	2289	2386	104	0	924	1125	0			0	0	
10250	4611	2640	38	0	3999	2066	0			0	0	
10849	4150	1435	5	0	4243	1533	0			0	0	
10858	7178	4835	100	0	5784	3541	0	0	0	0	0	
11145	1676	420	17	0	1643	404	0			0	0	
11640	1785	388	85	0	1511	199	0			0	0	
11837	1370	550	4	0	1497	681	0			0	0	
12030	8791	1500	2553	0	7465	2727	0			0	0	
12142	1588	150	74	0	1495	131	0			0	0	
12245	1104	90	3	0	1017	6	0			0	0	
12311	904743	690332	36340	0	889691	702433	-9187			0	93	
12647	710	120	0	0	593	3	0			0	0	
12656	193	16	1	0	178	2	0			0	0	
12937	1233	36	1	0	1213	17	0			0	0	
12946	5728	1271	75	0	5967	1585	0			0	0	
12955	898	75	16	0	868	61	0			0	0	
13037	2312	0	10	0	2340	38	0			0	0	
13103	9045	1185	34	0	8367	541	0			0	0	
13251	537	0	58	0	500	21	0			0	0	
13457	100	10	0	0	90	0	0			0	0	
14052	775	197	29	0	626	77	0			0	0	
14155	1453	418	123	0	1337	425	0			0	0	
14454	454	565	2	0	386	499	0			0	0	
