"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	
37	0	0	0	0	0	0	0	0	26	0			0	0	148	0	0	0											0	0	0	0			0	0	26	24	2	0	51	0			58	0	0	0	13	0	0	0				
242	0	0	0	0	0	0	0	0	2	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	2	0	0	0	0			0	0	0	0	0	0	0	0				
279	0	0	0	0	0	0	0	0	0	0			0	0	47	0	0	0											0	0	0	0			0	0	24	0	0	0	23	0			0	0	0	0	0	0	0	0				
354	0	0	0	0	0	0	0	0	9	3			0	1	0	0	0	0						0				1	0	0	0	0			0	0	0	5	0	0	0	0			0	0	0	0	0	0	0	0				
457	0	0	0	0	0	0	0	0	8	2			0	0	65	34	0	0						0				0	0	0	0	0			0	0	13	6	0	0	12	1			0	0	0	0	0	0	5	0				
505	0	0	0	0	0	0	0	0	20	7		0	0	1	143	0	0	3		0	0		0	0	0		0	0	0	0	0	0			0	0	79	12	0	0	59	0			0	0	0	0	0	0	2	0	0	0		
1155	0	0	0	0	0	0	0	0	2	0			0	1	256	157	0	7											0	0	0	0			7	0	21	1	0	0	0	1			0	0	0	0	8	0	55	0				
1351	0	0	0	0	0	0	0	0	9	4			0	0	116	21	0	0						0				0	0	0	0	0			0	0	60	4	1	0	0	0	0		0	0	0	0	0	0	35	0				
1454	7	0	0	0	0	0	0	0	344	18		0	0	5	81	17	0	11		0	0		0	0	0		0	0	0	0	0	0			0	0	46	5	0	0	0	0			0	316	0	0	0	0	0	0	0	0		
1557	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				
1632	0	0	0	0	0	0	0	0	421	26		0	0	50	8772	449	0	0		0	0		0	0	0		0	50	0	0	483	120			0	0	129	51	123	0	163	44			2037	0	5338	48	0	0	129	3	0	0		
1669	0	0	0	0	0	0	0	0	29	1			0	0	104	0	0	0											0	0	0	0			0	0	79	27	1	0	0	0			0	0	0	0	25	0	0	0				
1829	0	0	0	0	0	0	0	0	41	3		0	0	0	161	51	0	0		0	0		0	0	0		0	0	0	0	0	0			9	3	46	35	0	0	55	0			0	0	0	0	0	0	0	0	0	0		
1856	0	0	0	0	0	0	0	0	50	50			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
2040	0	0	0	0	0	0	0	0	108	97			0	0	45	17	0	0											0	0	0	0			3	3	25	4	0	0	0	0			0	0	0	0	0	2	0	2				
2161	0	0	0	0	0	0	0	0	13	0			0	0	29	0	0	0											0	0	0	0			8	1	21	12	0	0	0	0			0	0	0	0	0	0	0	0				
2376	0	0	260	0	0	0	0	0	0	0		0	0	0	2732	100	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			250	0	2000	0	0	0	122	0	0	0		
2451	0	0	0	0	0	0	0	0	146	6			0	140	139	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	27	112			0	0	0	0	0	0	0	0				
2554	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
2732	0	0	0	0	0	0	0	0	9	9		0	0	0	1539	552	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	12	0	0	0	112	0			0	0	863	0	0	0	0	0	0	0		
2750	0	0	0	0	0	0	0	0	9	0			0	2	28	0	0	1						1				2	0	0	0	0			0	0	27	6	1	0	0	0			0	0	0	0	0	0	0	0				
2938	26	0	0	0	0	0	0	0	254	54		0	0	62	6223	700	0	0		0	0		0	0	0		0	0	0	0	111	24			0	0	447	25	44	3	839	28			3669	4	0	16	374	22	29	0	0	0		
3252	0	0	0	0	0	0	0	0	161	53			0	10	268	65	0	50						50				10	0	0	0	0			0	0	153	95	3	0	0	0			0	0	0	0	0	0	0	0				
3458	0	0	0	0	158	9	0	0	9	0			0	0	430	0	0	0						0				0	0	0	0	0			0	0	1	0	0	0	0	0			0	0	181	0	0	0	90	0				
3720	0	0	0	0	0	0	0	0	2	0			0	0	42	31	0	0						0				0	0	0	0	0			0	0	1	2	0	0	0	0			0	0	0	0	0	0	10	0				
3953	15	13	0	0	0	0	0	0	32	0			0	0	55	26	0	0						0				0	0	0	0	0			0	0	14	1	18	0	0	0			0	0	0	0	0	0	0	0				
4138	0	0	0	0	0	0	0	0	89	7			0	31	1731	808	0	31											0	0	0	0			0	0	140	48	3	0	73	0			0	0	0	0	558	0	121	0				
4156	0	0	0	0	0	0	0	0	86	73			0	2	671	3	0	73						0				1	0	0	9	0			0	0	64	6	5	0	71	5			13	0	400	0	0	0	33	0				
4231	0	0	0	0	0	0	0	0	53	0			0	0	821	0	0	0											0	0	0	0			0	0	195	35	18	0	0	0			0	0	0	0	390	0	236	0				
4437	0	0	0	0	0	0	0	0	15	5			0	2	669	23	0	2											0	0	0	0			0	0	19	8	0	0	236	75			0	0	0	0	314	0	0	0				
4839	0	0	0	0	0	0	0	0	4	0			0	0	530	51	0	0											0	0	40	0			0	0	43	3	0	1	134	4			0	0	66	0	192	0	0	0				
5005	0	0	0	0	0	0	0	0	0	0		0	0	0	2	0	0	2		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
5069	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
5135	0	0	0	0	0	0	0	0	9	0		0	0	0	55	0	0	10		0	0		0	0	0		0	0	0	0	0	0			0	0	39	9	0	0	0	6			0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0	0	0	0	0	165	160		0	0	0	48	12	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	36	5	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	0	0	0	0	0	32	30		0	0	0	860	5	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	2	0	0			855	0	0	0	0	0	0	0	0	0		
5461	0	0	0	0	0	0	0	0	317	9		0	0	0	321	47	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	13	0	0	308	157	0			104	0	0	0	0	0	0	0	0	0		
5751	0	0	0	0	0	0	0	0	0	0			0	0	4	0	0	0						0				0	0	0	0	0			0	0	4	0	0	0	0	0			0	0	0	0	0	0	0	0				
6039	0	0	0	0	0	0	0	0	5	4			0	0	340	1	0	0											0	0	0	0			2	0	38	1	0	0	0	0			0	0	0	0	0	0	299	0				
6141	0	0	0	0	0	0	0	0	8	0			0	0	29	4	0	0						0				0	0	0	0	0			0	0	25	8	0	0	0	0			0	0	0	0	0	0	0	0				
6329	0	0	0	0	0	0	0	0	291	42		0	0	0	4203	1427	0	0		0	0		0	0	0		0	0	0	0	155	0			71	4	1054	239	3	1	583	49			287	0	131	2	125	0	321	0	0	0		
6972	0	0	0	0	0	0	0	0	111	41		0	0	0	16550	3068	0	0		0	0		0	0	0		0	0	830	0	300	10			0	0	51	0	0	0	180	0			6837	0	6114	0	0	0	0	60	0	0		
7009	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0	0	0	0	0	25	0			0	0	140	0	0	0						0				0	0	0	0	0			6	0	134	25	0	0	0	0			0	0	0	0	0	0	0	0				
7157	0	0	0	0	0	0	0	0	1	0			0	0	12	1	0	0						0				0	0	0	0	0			0	0	11	1	0	0	0	0			0	0	0	0	0	0	0	0				
7456	0	0	0	0	0	0	0	0	6	6			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				
7634	0	0	0	0	0	0	0	0	8	0			0	0	284	142	0	0											0	0	0	0			0	0	62	8	0	0	40	0			40	0	0	0	0	0	0	0				
8033	0	0	0	0	0	0	0	0	24	2			0	21	15	0	0	1						0				3	0	0	0	0			0	0	4	1	0	0	10	0			0	0	0	0	0	0	0	0				
8462	0	0	0	0	0	0	0	0	51	13			0	6	57	18	0	0						0				6	0	0	0	0			0	0	39	32	0	0	0	0			0	0	0	0	0	0	0	0				
