"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	7129	0	0	29770	0	584	129	1333	83651	67048	349	67397	0	1094	0	0	0	16254	1200	83651	0	0	11638	0	0	3500	0	7047	60001			0	45800	44706	-84	0	0	0	0	16254	
242																																							1221	779	0	0	8719	0	241	0	411	34227	26809	61	30170	0	167	0	3300	0	4057	120	34227	0	0	3742	0	0	120	0	4074	22735			0	20896	20729	75	2127	0	0	0	4057	
279																																							2043	2044	59	42374	23547	262	6613	42	2688	152507	98148	531	130399	0	472	0	31720	0	22108	1	152507	0	0	21972	0	0	0	0	5608	92541			0	68997	68525	135	4310	0	0	0	22108	
354																																							99	287	0	0	3654	0	58	0	172	8727	7667	22	7689	0	202	0	0	0	1037	25	8726	0	0	486	0	0	500	0	1707	5960			0	4366	4164	26	293	0	0	0	1037	
457																																							937	994	0	255	516	0	147	724	1128	33547	26728	206	30434	0	288	0	3500	0	3113	60	33547	0	0	597	0	0	2440	0	3075	23653			0	29134	28846	16	0	0	0	0	3113	
505																																							5920	1726	36	0	63726	0	4025	1286	7506	342228	265785	5222	316507	61	4168	1595	45500	0	25660	6480	342228	0	0	11132	0	0	10653	63	40055	225730			0	257513	253345	-2605	3000	0	0	0	25721	
1155																																							3927	13861	0	913	33252	0	4687	290	6347	207535	175379	1825	191526	0	2024	0	0	0	16009	1600	207535	0	0	9348	0	0	4400	592	31504	143875			0	145690	143666	661	0	0	0	14322	16009	
1351																																							0	2703	0	52615	4011	0	1135	0	1478	132849	113489	660	114149	0	1073	0	0	0	18700	240	132849	0	0	17925	0	0	530	0	11296	102193			0	69205	68132	5	2775	0	0	0	18700	
1454																																							15874	10991	7	0	180811	0	4842	643	9110	432891	390225	1175	391400	0	2686	0	0	0	41491	1000	432891	0	0	39275	0	0	1214	1833	87257	302968			0	211466	208780	2	0	0	0	0	41491	
