"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	URL	
37																								0	0	259	0	0	0	false	0	0	0	0	0	150	73	0	36	314	0	0	0	0	0	0	0	false	0	0		
242																								0	0	0	300	0	1632	false	0	0	0	0	0	0	0	0	0	431	1	0	0	620	712	0	0	true	0	0		
279																								54	240	0	7250	54	32339	false	0	0	240	0	0	0	0	0	0	122	0	54	0	1000	24089	0	0	false	0	0		
354																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	339	1	0	0	0	0	0	0	false	0	0		
439																								3060	0	153	0	0	0	false	0	0	0	3060	0	0	153	0	0	2226	1	0	0	0	0	0	0	false	0	0		
457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	420	1	0	0	0	0	0	0	false	0	0		
505																								227	0	0	2500	89	6500	true	0	0	0	138	0	0	0	0	0	3059	2	89	0	0	4000	0	0	true	0	0		
1146																								369	0	1042	1000	2	13901	true	0	0	0	367	0	0	1003	0	39	1000	1	2	0	0	12901	0	0	true	0	0		
1155																								0	0	223	0	0	3000	true	0	0	0	0	0	72	151	0	0	5648	6	0	0	0	3000	0	0	true	0	0		
1351																								0	0	203	0	0	0	false	0	0	0	0	0	0	70	0	133	471	0	0	0	0	0	0	0	false	0	0		
1454																								122	0	0	0	0	0	true	0	0	0	122	0	0	0	0	0	21221	5	0	0	0	0	0	0	true	0	0		
1557																								0	0	0	0	0	3	false	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	false	0	3		
1632																								0	0	0	10000	0	24000	true	0	0	0	0	0	0	0	0	0	12218	5	0	0	5000	9000	0	0	true	0	0		
1669																								2141	0	38	0	0	368	false	0	0	0	2141	0	0	38	0	0	2204	2	0	0	0	0	0	0	false	0	368		
1829																								0	0	30	2000	0	9000	false	0	0	0	0	0	0	30	0	0	1907	2	0	0	2000	5000	0	0	false	0	0		
1856																								0	0	0	13825	0	13825	false	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	false	0	0		
2040																								0	0	195	2000	0	16513	true	0	0	0	0	0	0	195	0	0	824	0	0	0	9300	5160	0	0	false	0	53		
2161																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	1627	0	0	0	0	0	0	0	false	0	0		
2376																								0	2745	637	0	0	125000	true	0	2745	0	0	0	0	66	391	180	11257	2	0	0	15000	110000	0	0	false	0	0		
2451																								0	0	36	1250	0	2500	false	0	0	0	0	2	0	34	0	0	378	3	0	0	0	1250	0	0	false	0	0		
2554																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	103	1	0	0	0	0	0	0	false	0	0		
2732																								1424	0	0	0	0	18	true	0	0	0	1424	0	0	0	0	0	7113	2	0	0	0	0	0	0	true	0	18		
2750																								0	0	0	500	0	2500	false	0	0	0	0	0	0	0	0	0	992	2	0	0	100	1900	0	0	false	0	0		
2938																								0	0	3551	0	0	40500	true	0	0	0	0	8	0	163	0	3380	20211	8	0	0	0	40500	0	0	true	2643	0		
2956																								0	0	116	0	0	0	false	0	0	0	0	0	0	116	0	0	7	0	0	0	0	0	0	0	false	0	0		
3252																								0	0	0	500	0	4418	false	0	0	0	0	0	0	0	0	0	366	0	0	0	500	3317	0	0	false	0	101		
3458																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0		
3506																								4291	4	0	0	0	10000	true	0	0	4	4291	0	0	0	0	0	8137	1	0	0	0	10000	0	0	true	0	0		
3579																								626	0	563	0	0	28254	true	0	0	0	626	0	0	563	0	0	15626	5	0	0	7779	19565	0	658	false	0	252		
3720																								0	0	64	0	0	8348	true	0	0	0	0	0	0	39	0	25	776	1	0	0	6000	2000	0	0	true	0	348		
3953																								0	0	329	0	0	648	false	0	0	0	0	0	193	52	0	84	842	1	0	0	200	448	0	0	false	0	0		
4138																								0	23	474	0	0	5274	false	0	23	0	0	10	0	304	0	160	5829	3	0	0	0	5274	0	0	true	0	0		
4147																								0	0	230	0	0	4000	true	0	0	0	0	0	0	230	0	0	2324	3	0	0	2500	1500	0	0	false	0	0		
4156																								0	0	156	4500	0	14000	true	0	0	0	0	0	0	156	0	0	912	1	0	0	500	9000	0	0	false	0	0		
4231																								0	0	68	0	0	0	false	0	0	0	0	0	0	68	0	0	744	1	0	0	0	0	0	0	false	0	0		
4437																								0	0	0	182	0	5438	false	0	0	0	0	0	0	0	0	0	5423	4	0	0	3383	1873	0	0	false	0	0		
4745																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	135	1	0	0	0	0	0	0	false	0	0		
4839																								0	225	60	1500	0	24900	false	0	0	225	0	0	0	60	0	0	12803	5	0	0	17400	6000	0	0	false	0	0		
5005																								0	0	0	4065	0	26509	true	0	0	0	0	0	0	0	0	0	165	0	0	0	3000	19444	0	0	true	0	0		
5050																								0	0	280	0	0	0	false	0	0	0	0	0	280	0	0	0	4055	5	0	0	0	0	0	0	false	0	0		
5069																								0	0	128	0	0	20000	false	73	0	0	0	55	0	0	0	0	150	0	0	0	0	0	0	0	false	0	20000		
5135																								0	0	1112	0	0	12000	false	0	0	0	0	126	0	302	0	684	10568	3	0	0	0	12000	0	0	false	0	0		
5210																								312	0	591	36700	0	124150	true	0	0	0	312	0	0	198	0	393	1995	0	0	0	67000	20000	0	0	false	0	450		
5247																								0	0	1626	0	0	2754	true	0	0	0	0	934	692	0	0	0	250	0	0	0	0	0	0	2000	false	0	754		
5274																								0	0	0	8500	0	9158	true	0	0	0	0	0	0	0	0	0	2191	2	0	0	0	500	0	158	false	0	0		
5331																								0	0	253	13000	0	40062	true	253	0	0	0	0	0	0	0	0	3481	3	0	0	9750	17250	0	0	false	0	62		
5461																								1345	799	0	0	0	4493	true	0	799	0	1345	0	0	0	0	0	1770	1	0	0	0	0	0	0	false	0	4493		
5751																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	true	0	0		
5939																								17236	0	1832	269250	3682	309535	true	0	0	0	13554	4	0	1503	0	325	0	0	4965	0	38750	732	803	0	false	0	0		
6039																								0	0	35	0	0	16	false	0	0	0	0	0	0	35	0	0	374	0	0	0	0	0	8	0	true	0	8		
6057																								0	0	73	0	0	900	false	0	0	0	0	0	0	60	0	13	24	0	0	0	400	500	0	0	false	0	0		
6141																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	false	0	0		
6329																								0	0	215	0	0	0	false	0	0	0	0	0	0	0	0	215	3323	1	0	0	0	0	0	0	false	0	0		
6972																								0	6324	283	0	0	2749	true	0	0	6324	0	0	0	0	0	283	2313	2	0	0	0	0	0	2749	false	0	0		
7009																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	5000	1	0	0	0	0	0	0	false	0	0		
7045																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1875	1	0	0	0	0	0	0	false	0	0		
7157																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	false	0	0		
7166																								125	0	0	7500	0	10500	true	0	0	0	125	0	0	0	0	0	1334	3	0	0	3000	0	0	0	false	0	0		
7456																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	false	0	0		
7634																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	568	1	0	0	0	0	0	0	false	0	0		
8033																								0	0	6	1000	0	6471	false	0	0	0	0	6	0	0	0	0	1964	1	0	0	2579	2892	0	0	true	0	0		
8417																								4209	0	0	0	0	0	false	0	0	0	4209	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0		
8462																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	false	0	0		
8547																								1585	0	781	1200	343	22200	true	0	0	0	1242	0	0	381	0	400	307	0	363	0	8000	13000	0	0	true	0	0		
8631																								0	0	78	0	0	0	false	0	0	0	0	0	0	78	0	0	430	1	0	0	0	0	0	0	false	0	0		
9115																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	13417	4	0	0	0	0	0	0	false	0	0		
9357																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	false	0	0		
9553																								0	0	0	4425	0	10728	false	0	0	0	0	0	0	0	0	0	636	0	0	0	200	6103	0	0	false	0	0		
9807																								0	21	768	2912	0	295615	true	0	0	21	0	0	0	0	0	768	50993	2	0	0	25000	267703	0	0	true	0	0		
9955																								2043	0	0	0	0	2294	true	0	0	0	2043	0	0	0	0	0	1255	1	0	0	429	1865	0	0	true	0	0		
10157																								0	0	113	500	0	5000	false	0	0	0	0	0	0	21	0	92	1185	1	0	0	0	4500	0	0	false	0	0		
10250																								0	0	162	0	0	0	true	0	0	0	0	0	0	162	0	0	373	0	0	0	0	0	0	0	true	0	0		
