"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	255	239	1224	22	22	0	0	0	0	0	708	0	0	0				
242																0	145	0	346	0	5				0	0	196	0	0	0				
279																0	1866	0	2568	67	123	0	0	0	0	0	579	32	0	0				
354																0	5	11	118	0	5	0	0	0	0	0	97	0	0	0				
439																0	317	325	1912	173	189	0	0	0	0	0	1081	0	0	0				
457																0	40	0	811	0	426	0	0	0	0	0	345	409	0	0				
505																0	1616	370	7240	303	4033	901	0	0	0	0	1221	0	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146																0	2853	0	16238	983	12646	4047	5405	0	0	0	739	0	0	0	ACCTS REC                                                                                                                                                                                        	LTC-TITLE PLANT INS                                                                                                                                                                              		
1155																0	463	244	1805	27	115	49	0	0	0	0	983	0	0	0	Computer Software                                                                                                                                                                                			
1351																0	0	460	1382	41	41	0	0	0	0	0	881	0	0	0				
1454																0	1087	0	3548	583	726	0	0	0	0	0	1735	0	0	0				
1557																0	23	0	589	82	148	0	0	0	0	0	418	0	0	0				
1632																0	1200	749	5225	0	1542	0	0	0	0	0	1734	1046	0	0				
1669																13	682	119	3048	142	155	0	0	0	0	0	2092	0	0	0				
1829																0	1350	0	3960	528	981	0	0	0	0	0	1629	0	0	0				
1856																0	766	0	1151	58	58	0	0	0	0	0	327	0	0	0				
2040																10	1024	0	2227	283	413	53	67	0	0	0	790	0	0	0	Petroleum cleanup receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                		
2161																0	198	0	2771	0	2174	0	0	0	0	0	399	1728	0	0				
2376																0	6250	623	12377	257	2259	0	0	0	0	0	3245	0	0	0				
2451																0	130	1	458	0	95	0	0	0	0	0	232	50	0	0				
2554																0	0	0	113	8	23	0	0	0	0	0	90	0	0	0				
2732																0	181	0	3258	8	766	401	124	0	0	0	2311	210	0	0	federal income taxes current                                                                                                                                                                     	leasehold purch                                                                                                                                                                                  		
2750																0	283	0	1863	0	722	0	0	0	0	0	858	578	0	0				
2938																44	2307	523	4779	157	201	0	0	0	0	0	1748	0	0	0				
2956																0	25	304	1201	0	10	0	0	0	0	0	862	0	0	0				
3252																0	267	0	2762	0	457	359	0	0	0	0	2038	0	0	0	LEASES                                                                                                                                                                                           			
3458																0	74	0	318	0	27	0	0	0	0	0	217	0	0	0				
3506																0	3627	3018	40595	0	27122	0	0	0	0	0	6828	21589	0	0				
3579																0	2837	0	6008	0	1693	777	0	0	0	0	1478	0	0	0	Prepaid pension contribution                                                                                                                                                                     			
3720																0	554	391	3820	0	2317	0	0	0	0	0	558	1652	0	0				
3953																0	288	0	2135	122	539	0	0	0	0	0	1308	417	0	0				
4138																0	809	0	2080	128	219	0	0	0	0	0	1052	0	0	0				
4147																0	2928	0	7232	0	3725	0	0	0	0	0	579	3399	0	0				
4156																36	725	0	4592	0	2600	0	0	0	0	0	1267	2534	0	0				
4231																0	0	294	1299	0	74	0	0	0	0	0	931	0	0	0				
4437																0	663	442	2191	126	327	58	0	0	0	0	759	86	0	0	DUE FROM HOLDING COMPANY                                                                                                                                                                         			
4745																0	0	0	96	3	3	0	0	0	0	0	93	0	0	0				
4839																0	1293	0	2716	138	300	98	0	0	0	0	1123	0	0	0	Accounts Receivable                                                                                                                                                                              			
5005																0	1909	0	10957	0	7441	0	0	0	0	0	1607	5997	0	0				
5050																14	388	10	937	51	65	0	0	0	0	0	474	0	0	0				
5069																0	0	0	3092	206	819	451	0	0	0	0	2273	0	0	0	Deferred Costs                                                                                                                                                                                   			
5135																29	630	309	5124	110	2430	80	166	0	0	0	1755	2014	0	0	Late Charges Assessed                                                                                                                                                                            	Omnivest Loan Receivable                                                                                                                                                                         		
5210																0	8208	2205	30887	0	15945	0	0	0	0	0	4529	14975	0	0				
5247																0	0	0	3842	272	274	0	0	0	0	0	3568	0	0	0				
5274																0	3617	251	4645	121	275	141	0	0	0	0	502	0	0	0	Investment in Sub                                                                                                                                                                                			
5331																0	3641	0	7234	1941	3273	1091	0	0	0	0	320	0	0	0	ACCRUED INTEREST ON SECURITIES PURCHASED                                                                                                                                                         			
5461																0	0	904	5438	360	2790	1635	0	0	0	0	1744	563	0	0	QZAB                                                                                                                                                                                             			
5751																0	0	0	2839	0	1953	0	0	0	0	0	886	1860	0	0				
5939																0	15786	16155	70105	2371	28338	4251	5970	0	0	0	9826	13124	0	0	FEDERAL INCOME TAX RECEIVABLE                                                                                                                                                                    	MBS PRINCIPAL RECEIVABLE                                                                                                                                                                         		
6039																0	168	231	1537	0	499	387	0	0	0	0	639	0	0	0	SPLIT DOLLAR LIFE INSURANCE                                                                                                                                                                      			
6057																7	82	0	359	53	68	0	0	0	0	0	209	0	0	0				
6141																0	0	0	331	49	54	0	0	0	0	0	277	0	0	0				
6329																171	801	289	4962	315	2468	1472	0	80	0	0	1404	244	0	0	PREPAID TAX                                                                                                                                                                                      		CONSTRUCTION IN PROGRESS                                                                                                                                                                         	
6972																0	683	0	7748	0	3865	0	0	0	0	0	3200	3293	0	0				
7009																0	0	55	10004	0	8594	7615	0	0	0	0	1355	0	0	0	Other receivables                                                                                                                                                                                			
