"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	986	135	66	0	909	124	0	0	0	0	
242	123	0	5	0	128	10	0	0	0	0	
279	348	7	4	0	352	15	0	0	0	0	
354	219	110	15	0	135	41	0	0	0	0	
439	1328	385	29	0	1005	91	0	0	0	0	
457	210	31	2	0	192	15	0	0	0	0	
505	2640	450	278	0	2056	144	0	0	0	0	
1146	2866	370	60	0	2890	454	0			0	
1155	1381	195	33	0	1345	192	0	0	0	0	
1351	419	60	22	0	380	43	0	0	0	0	
1454	805	30	31	0	828	84	0	0	0	0	
1557	353	176	2	0	380	205	0	0	0	0	
1632	2768	240	92	0	2618	182	0	0	0	0	
1669	1007	175	28	0	1528	724	0	0	0	0	
1829	2193	509	17	0	2088	421	0	0	0	0	
1856	94	0	2	0	109	17	0	0	0	0	
2040	1334	220	266	0	1237	389	0	0	0	0	
2161	494	55	4	0	511	76	0	0	0	0	
2376	6172	0	8	0	6164	0	0	0	0	0	
2451	148	45	0	0	131	28	0	0	0	0	
2554	45	2	0	0	43	0	0	0	0	0	
2732	2959	425	37	0	2525	28	0	0	0	0	
2750	653	48	12	0	776	183	0	0	0	0	
2938	3625	3927	63	0	3340	3705	0	0	0	0	
2956	728	38	9	0	875	194	0	0	0	0	
3252	1291	160	146	0	1224	239	0	0	0	0	
3458	359	0	20	0	342	3	0	0	0	0	
3506	9355	1280	44	0	7206	1105	1930			0	
3579	2630	214	33	0	1913	414	884	0	0	0	
3720	1153	87	6	0	1078	18	0	0	0	0	
3953	1210	400	25	0	844	59	0	0	0	0	
4138	1174	300	100	0	974	200	0	0	0	0	
4147	513	90	6	0	466	49	0	0	0	0	
4156	1164	173	108	0	1325	442	0	0	0	0	
4231	755	85	51	0	691	72	0	0	0	0	
4437	1196	340	20	0	1036	200	0	0	0	0	
4745	59	3	0	0	61	5	0	0	0	0	
4839	1895	405	51	0	1745	306	0	0	0	0	
5005	1371	135	1	0	1238	3	0	0	0	0	
5050	549	65	23	0	549	88	0	0	0	0	
5069	5764	270	0	0	5494	0	0	0	0	0	
5135	1535	158	61	0	1664	348	0	0	0	0	
5210	3927	180	37	0	3837	127	0	0	0	0	
5247	2331	135	22	0	2253	79	0	0	0	0	
5274	761	64	23	0	689	15	0	0	0	0	
5331	792	0	87	0	624	9	90	0	0	0	
5461	1769	0	21	0	1752	4	0	0	0	0	
5751	823	22	2	0	807	8	0	0	0	0	
5939	23241	-4517	4757	0	27987	4986	0	0	0	0	
6039	1069	200	15	0	940	86	0	0	0	0	
6057	156	28	12	0	176	60	0	0	0	0	
6141	228	45	55	0	316	188	0	0	0	0	
6329	2455	650	141	0	2615	951	0	0	0	0	
6972	5668	700	114	0	6257	1403	0	0	0	0	
7009	0	0	0	0	0	0	0	0	0	0	
7045	715	75	32	0	715	107	0	0	0	0	
7157	240	45	5	0	199	9	0	0	0	0	
7166	4901	900	33	0	4100	132	0	0	0	0	
7456	405	0	0	0	415	10	0	0	0	0	
7634	630	135	26	0	616	147	0	0	0	0	
8033	620	12	36	0	617	45	0	0	0	0	
8417	366	-67	0	0	433	0	0	0	0	0	
8462	335	25	19	0	336	45	0	0	0	0	
8547	3409	2845	214	0	3684	3334	0	0	0	0	
8631	298	42	26	0	333	103	0			0	
9115	9823	1650	129	0	8644	600	0	0	0	0	
9357	3255	435	10	0	2842	32	0	0	0	0	
9553	548	55	2	0	491	0	0	0	0	0	
9807	38331	2625	250	0	35475	19	0	0	0	0	
9955	423	0	50	0	407	34	0	0	0	0	
10157	698	300	66	0	589	257	0	0	0	0	
10250	2271	560	164	0	1735	188	0	0	0	0	
10849	1841	160	1	0	1689	9	0	0	0	0	
10858	7191	6878	48	0	5483	5218	0	0	0	0	
11145	1443	300	29	0	1197	83	0	0	0	0	
11640	1261	300	177	0	1163	379	0	0	0	0	
11837	1273	0	72	0	1213	12	0	0	0	0	
12030	4620	1125	1793	0	3505	1803	0	0	0	0	
12058	988	529	77	0	1076	694	0	0	0	0	
12142	988	310	120	0	1163	605	0	0	0	0	
12245	748	35	12	0	744	43	0	0	0	0	
12311	333117	136314	26796	0	323010	133586	-19417	0	0	0	
12357	86	0	0	0	86	0	0	0	0	0	
12647	467	38	1	0	431	3	0	0	0	0	
12656	291	0	16	0	303	28	0	0	0	0	
12937	876	54	0	0	830	8	0	0	0	0	
12946	3744	402	217	0	3843	718	0	0	0	0	
12955	812	13	46	0	825	119	47	0	0	0	
13037	1510	540	13	0	1519	562	0	0	0	0	
13103	4749	869	4	0	4004	128	0	0	0	0	
13251	330	0	61	0	275	6	0	0	0	0	
13309	61382	9828	6768	0	63250	18464	0	0	0	0	
13457	326	-51	53	0	344	20	0	0	0	0	
14052	808	123	9	0	725	49	0	0	0	0	
14155	1146	247	74	0	993	168	0	0	0	0	
14258	5698	585	256	0	5292	435	0			0	
14409	223873	45289	14932	0	211697	58403	10358	0	0	0	
14454	682	100	51	0	670	139	0	0	0	0	
14650	397	0	129	0	302	34	0			0	
14753	545	0	1	0	553	9	0	0	0	0	
14865	1010	337	13	0	753	93	0	0	0	0	
14931	145	5	6	0	146	12	0	0	0	0	
14940	1401	290	24	0	1205	118	0	0	0	0	
15536	12128	0	122	0	12648	642	0	0	0	0	
16337	1742	435	115	0	1587	395	0	0	0	0	
16458	1700	288	31	0	1547	166	0	0	0	0	
16551	1482	410	17	0	1218	163	0	0	0	0	
16748	395	100	16	0	438	159	0	0	0	0	
16766	5667	8	5	0	6662	1008	0			0	
16944	273	0	1	0	306	34	0	0	0	0	
16953	114	15	4	0	114	19	0	0	0	0	
17110	836	51	0	0	785	0	0	0	0	0	
17147	9358	4798	199	0	5648	1287	0	0	0	0	
17259	142	30	17	0	126	31	0	0	0	0	
17464	7828	942	380	0	7669	1163	0	0	0	0	
17549	2016	0	162	0	2141	287	0	0	0	0	
17839	1747	370	73	0	2010	706	0	0	0	0	
17950	559	36	1	0	528	6	0	0	0	0	
18050	2149	225	85	0	2012	173	0	0	0	0	
18135	699	243	78	0	675	297	0	0	0	0	
18368	6164	1050	238	0	5977	1101	0	0	0	0	
18377	77	0	0	0	77	0	0	0	0	0	
18827	1058	82	17	0	1099	102	-38	0	0	0	
18836	1100	570	84	0	788	342	0	0	0	0	
18854	145	18	5	0	142	20	0	0	0	0	
18863	5634	300	146	0	5442	124	-130	0	0	0	
18957	427	59	14	0	379	25	0	0	0	0	
19356	1006	50	73	0	1082	199	0	0	0	0	
19730	14131	0	392	0	11489	380	2630	0	0	0	
19936	1285	180	171	0	1167	233	0	0	0	0	
19972	85	0	0	0	85	0	0	0	0	0	
20053	177	18	1	0	158	0	0	0	0	0	
20147	498	15	20	0	520	57	0	0	0	0	
20259	250	77	9	0	241	77	0	0	0	0	
20370	977	350	149	0	1038	560	0	0	0	0	
20512	678	8	45	0	708	83	0	0	0	0	
20633	1812	0	53	0	1856	97	0	0	0	0	
20754	62	0	4	0	63	5	0	0	0	0	
20839	965	134	14	0	907	90	0	0	0	0	
20857	168	24	0	0	243	99	0	0	0	0	
20866	671	304	29	0	409	71	0	0	0	0	
21256	49	0	9	0	57	17	0	0	0	0	
21359	121	0	0	0	121	0	0	0	0	0	
21630	386	45	0	0	341	0	0	0	0	0	
21658	1510	150	30	0	752	228	806	0	0	0	
22048	1095	408	40	0	1234	587	0	0	0	0	
22235	2314	1040	18	0	2333	1077	0	0	0	0	
22356	1766	100	209	0	1740	283	0	0	0	0	
22459	870	63	18	0	853	64	0	0	0	0	
22543	422	37	3	0	390	8	0	0	0	0	
22552	509	54	7	0	490	42	0	0	0	0	
22730	783	0	55	0	778	50	0	0	0	0	
22936	1556	450	142	0	1426	462	0	0	0	0	
22954	610	86	32	0	582	90	0	0	0	0	
23036	3911	1084	60	29	3089	293	0	0	0	0	
23045	227	0	2	0	228	3	0	0	0	0	
23241	25520	3945	1984	0	24632	5041	0	0	0	0	
23456	506	90	10	0	479	73	0	0	0	0	
23504	2089	0	64	0	2294	269	0	0	0	0	
23540	385	9	22	0	393	39	0	0	0	0	
23643	1097	630	62	0	998	593	0	0	0	0	
23755	607	90	18	0	536	37	0	0	0	0	
23812	5473	1627	176	0	6230	2560	0	0	0	0	
24006	2153	333	28	0	1816	24	0	0	0	0	
24266	16871	260	886	0	17370	1645	0	0	0	0	
24453	354	0	4	0	363	13	0	0	0	0	
24659	222	56	0	0	222	56	0	0	0	0	
24668	1271	256	28	0	1024	37	0	0	0	0	
24855	21	39	6	0	51	75	0	0	0	0	
24949	4636	1003	48	0	3803	218	0	0	0	0	
25357	253	45	0	0	211	3	0	0	0	0	
25647	1575	-171	158	0	1883	295	0	0	0	0	
25852	4948	372	23	0	4638	85	0	0	0	0	
26149	302	166	15	0	504	383	0	0	0	0	
26233	4058	867	98	0	3664	571	0	0	0	0	
26242	1260	576	184	0	1126	626	0	0	0	0	
26457	214	0	11	0	204	1	0	0	0	0	
26756	828	18	201	0	858	249	0	0	0	0	
26765	169	90	8	0	121	50	0	0	0	0	
26859	2446	790	99	0	2037	480	0	0	0	0	
26916	2417	0	79	0	2670	332	0	0	0	0	
27548	2416	507	182	0	2080	353	0	0	0	0	
27614	1494	0	11	0	1550	67	0			0	
27838	1523	0	0	0	1523	0	0	0	0	0	
27847	1458	165	42	0	1367	116	0	0	0	0	
28013	2749	0	0	0	2749	0	0	0	0	0	
28152	237	0	2	0	236	1	0	0	0	0	
28255	463	0	46	0	464	47	0	0	0	0	
28349	674	50	52	0	658	86	0	0	0	0	
28406	1392	-70	1	0	1463	2	0	0	0	0	
28572	346	36	59	0	293	42	0	0	0	0	
28732	324	27	2	0	311	16	0	0	0	0	
29104	2751	262	17	0	2498	26	0	0	0	0	
29159	219	0	21	0	246	48	0	0	0	0	
29252	1046	50	59	0	952	15	0	0	0	0	
29636	4869	1467	242	0	4222	1062	0	0	0	0	
29850	252	45	12	0	264	69	0	0	0	0	
29944	212	0	16	0	353	157	0	0	0	0	
29953	812	100	60	0	740	88	0	0	0	0	
30025	4796	160	69	0	4667	100	0	0	0	0	
