RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
,,,false,,,false,,,false,false,,true,7227,true,195443,false,,,false,,,,,,,,16551,2017-09-30
4,0,,true,0,292,false,,,false,false,,false,,true,54078,false,,,false,,,,,,,,16748,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,17110,2017-09-30
911160,0,,,,,,,,,,,,,,,,,,,,,,,,,,17147,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17259,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17950,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17978,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18050,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18135,2017-09-30
71000,0,,,,,,,,,,,,,,,,,,,,,,,,,,18827,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18836,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,18854,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19356,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19936,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19972,2017-09-30
,,,false,,,false,,,false,false,,true,4071,true,36154,false,,,false,,,,,,,,20053,2017-09-30
,,,false,,,false,,,false,false,,false,,true,62344,false,,,false,,,,,,,,20633,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,20857,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,21256,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,21359,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,21630,2017-09-30
0,452,,,,,,,,,,,,,,,,,,,,,,,,,,21658,2017-09-30
3000,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22048,2017-09-30
4244,0,,,,,,,,,,,,,,,,,,,,,,,,,,22543,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22552,2017-09-30
,,,false,,,false,,,false,false,,true,4477,false,,false,,,false,,,,,,,,22730,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22936,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,23456,2017-09-30
370939,0,,,,,,,,,,,,,,,,,,,,,,,,,,23504,2017-09-30
