RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,37,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,242,2018-03-31
,,,false,,,false,,,false,false,,false,,true,3136,false,,,false,,,,,,,,279,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,354,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,457,2018-03-31
,,,false,,,false,,,false,false,,true,26122,true,27019,false,,,false,,,,,,,,505,2018-03-31
2084,0,,true,0,0,false,,,false,false,,false,,true,20368,false,,,false,,,,,,,,1155,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1351,2018-03-31
1270,0,,true,0,0,false,,,false,false,,true,5788,true,75250,false,,,false,,,,,,,,1454,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1669,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1856,2018-03-31
9985,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2040,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2018-03-31
415000,0,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2554,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2732,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2750,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,3252,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,3458,2018-03-31
511,0,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2018-03-31
,,,false,,,true,22066,2287,false,false,,true,288,true,281629,false,,,false,,,,,,,,3971,2018-03-31
,,,false,,,false,,,false,false,,true,1428,false,,false,,,false,,,,,,,,4156,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,4231,2018-03-31
8290,0,,true,0,0,false,,,false,false,,true,3368,false,,false,,,false,,,,,,,,4839,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,5069,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,5135,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,5461,2018-03-31
,,,false,,,false,,,true,false,,false,,false,,false,,,false,1009,0,,,,0,0,5751,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6329,2018-03-31
6000,0,,true,0,0,false,,,true,false,,false,,false,,false,,,false,5108,0,,,,-14640,0,7009,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,7045,2018-03-31
,,,false,,,false,,,false,false,,true,1374,true,173283,false,,,false,,,,,,,,7072,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,7456,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,7634,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,8033,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,8462,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,8631,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,9357,2018-03-31
,,,false,,,false,,,false,false,,true,1676,true,1676,false,,,false,,,,,,,,9553,2018-03-31
80000,0,,,,,,,,,,,,,,,,,,,,,,,,,,9807,2018-03-31
,,,false,,,false,,,false,false,,true,1424,true,1424,false,,,false,,,,,,,,9955,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,10250,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,10849,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11145,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,11640,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,11837,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,12030,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,12142,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,12179,2018-03-31
5312000,25171878,3194,,,,,,,,,,,,,,,,,,,,0,0,3912,-1292,0,12311,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12647,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,12656,2018-03-31
,,,false,,,false,,,false,false,,false,,true,44391,false,,,false,,,,,,,,12937,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12946,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13103,2018-03-31
,,,false,,,false,,,false,true,5806,true,5157,true,10685,false,,,false,,,,,,,,13251,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,13457,2018-03-31
,,,false,,,false,,,false,false,,false,,true,16894,false,,,false,,,,,,,,14052,2018-03-31
,,,false,,,false,,,false,false,,true,5789,true,824,false,,,false,,,,,,,,14155,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,14650,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,14753,2018-03-31
1807,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,14865,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,14977,2018-03-31
3652,0,,true,0,0,false,,,false,false,,true,6433,true,201385,false,,,false,,,,,,,,16551,2018-03-31
1,0,,true,0,85,false,,,false,false,,false,,true,52504,false,,,false,,,,,,,,16748,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,17110,2018-03-31
913636,0,,,,,,,,,,,,,,,,,,,,,,,,,,17147,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17259,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17950,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,17978,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18050,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18135,2018-03-31
71000,0,,,,,,,,,,,,,,,,,,,,,,,,,,18827,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,18836,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,18854,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19356,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19936,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,19972,2018-03-31
,,,false,,,false,,,false,false,,true,5841,true,36017,false,,,false,,,,,,,,20053,2018-03-31
,,,false,,,false,,,false,false,,false,,true,60715,false,,,false,,,,,,,,20633,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,20857,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,21256,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,21359,2018-03-31
0,1274,,,,,,,,,,,,,,,,,,,,,,,,,,21658,2018-03-31
3000,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22048,2018-03-31
1807,0,,,,,,,,,,,,,,,,,,,,,,,,,,22543,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22552,2018-03-31
,,,false,,,false,,,false,false,,true,4655,false,,false,,,false,,,,,,,,22730,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,22936,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,23456,2018-03-31
461112,0,,,,,,,,,,,,,,,,,,,,,,,,,,23504,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,23643,2018-03-31
790,406,,true,0,0,false,,,false,true,182424,true,171,true,182424,false,,,false,,,,,,,,23755,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,24006,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24378,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24453,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24659,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,24668,2018-03-31
,,,false,,,false,,,false,false,,false,,true,172197,false,,,false,,,,,,,,24949,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,25357,2018-03-31
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,25647,2018-03-31
,,,false,,,false,,,false,false,,false,,true,404,false,,,false,,,,,,,,26176,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,26242,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,26457,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,26765,2018-03-31
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,27070,2018-03-31
27331,0,,,,,,,,,,,,,,,,,,,,,,,,,,27548,2018-03-31
,,,false,,,false,,,false,false,,true,471,true,37969,false,,,false,,,,,,,,27614,2018-03-31
