"IDRSSD"	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONC980	RCONC981	RCONC982	RCONC983	RCONC984	RCONC985	
2390929	0	0	0	0	0	366724	458809	0	0	0	0	0	311644	0	0	0	5372	5372	0	0	0	5372	0	0	0	0	0	0	0	0	0	1390	11659	0	0	0	0	0	0	-1661	0	89751	1575	10062	0	0	0	7615	0	0	0	0	47896	263748	0	0	0	0	1	23459	0	0	1030	189	-4618	920	0	0	0	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12595	0	0	0	12595	0	0	0	1390	115740	57275	314938	0	23148	28638	314938	366724	0	13300	13300	37562	0	0	0	0	0	0	0	0	
2391252	0	0	0	0	820	387223	468499	0	0	0	0	0	395643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2907	4024	0	0	0	0	0	0	-1104	86	63096	0	815	0	0	0	8174	0	0	2617	3800	79533	309693	0	0	0	0	0	16985	0	998	3059	0	-6775	1209	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4748	0	0	0	4748	0	0	0	6608	73979	87707	329393	0	14796	43854	329393	388043	0	0	0	44555	0	0	0	0	0	0	0	0	
2391494	0	0	0	0	247	157656	205972	0	0	0	0	0	140421	0	0	0	1392	1392	0	0	0	1392	0	0	200	0	0	0	0	0	0	577	1597	0	0	0	18863	344	1023	-381	10259	14942	2134	3526	0	0	0	483	0	0	0	83	30819	109519	0	0	0	0	0	11784	200	0	957	0	-2402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5840	0	0	0	5840	0	0	0	10836	45431	33780	131927	0	9086	16890	131927	157903	0	8989	8989	14742	0	0	0	0	0	0	0	0	
2391588	0	0	0	0	201	56015	61461	0	0	0	0	0	55831	0	0	0	0	0	0	0	0	0	0	0	2949	0	0	0	0	0	0	355	1417	0	0	0	0	0	0	0	0	2951	0	0	0	0	0	0	0	0	0	451	8949	46431	0	0	0	0	0	5584	2949	214	0	0	2046	277	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	0	0	0	1309	0	0	0	569	6517	8949	50438	0	1303	4475	50438	56216	0	1698	1698	7015	0	0	0	0	0	0	0	0	
2392950	0	0	0	51	77	140410	153018	0	0	0	0	0	137851	0	0	0	1074	1074	0	0	0	1074	0	0	0	0	0	0	0	0	0	318	2912	0	0	0	0	0	0	65	193	1941	1522	449	0	0	0	0	0	0	0	0	21366	116485	0	0	0	0	0	7524	0	0	816	0	-1768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2949	0	0	0	2949	0	0	0	511	6888	22888	127665	0	1378	11444	127665	140487	0	1219	1219	14566	0	0	0	0	0	0	0	0	
2396547	0	0	0	0	0	139852	184949	0	0	0	0	0	135963	0	0	0	3760	3760	0	0	3760	0	0	0	827	0	0	0	0	0	0	2506	8221	0	0	0	0	0	0	0	0	26736	2661	0	0	0	0	0	1708	0	0	12726	25759	97479	0	0	0	0	0	14000	1230	0	1680	563	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3555	0	0	2682	873	0	0	0	2506	57758	35425	110587	0	11552	17713	110587	139852	0	8395	8395	15388	0	0	0	0	0	0	0	0	
2396583	0	0	0	0	198	92874	127736	0	0	0	0	0	80486	0	0	0	555	555	95	0	0	460	0	0	12023	0	0	0	0	0	0	991	6715	0	0	0	0	0	0	52	0	11911	100	0	0	0	0	461	0	0	2150	427	9974	67935	0	0	0	0	0	19071	12023	99	409	1214	10714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6025	5	0	0	6020	0	0	0	3340	37280	11749	79741	0	7456	5875	79741	93072	0	17818	17818	10880	0	0	0	0	0	0	0	0	
2396592	0	0	0	0	78	25124	42072	0	0	0	0	0	21681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1156	0	0	0	0	0	-243	0	17742	0	0	0	0	0	0	0	0	0	0	7165	14516	0	0	0	0	0	2007	0	0	0	0	-635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19698	7165	17679	0	3940	3583	17679	25202	0	1956	1956	3255	0	0	0	0	0	0	0	0	
2396604	0	0	0	0	0	71979	88943	0	0	0	0	6428	57885	0	0	0	296	296	0	0	0	296	0	0	0	0	0	0	0	0	0	213	0	4491	0	0	171	0	0	55	6843	11191	0	0	0	0	0	0	0	0	0	0	6739	51146	0	0	0	0	0	3224	0	82	279	86	-543	76	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024	0	0	0	1024	0	0	0	7138	11641	6825	66238	0	2328	3413	66238	71979	0	0	6428	7499	0	0	0	0	0	0	0	0	
2397713	0	0	0	0	0	132285	153544	0	0	0	0	0	128369	0	0	0	526	526	0	0	0	526	0	0	0	0	0	0	0	0	0	754	3383	6	0	0	0	0	0	-340	0	21459	0	0	0	0	0	0	0	0	294	0	20449	107626	0	0	0	0	0	3050	0	0	439	0	-1650	2109	0	0	0	2109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4126	0	0	0	4126	0	0	0	1048	25281	20449	117004	0	5056	10225	117004	132285	0	0	0	12038	0	0	0	0	0	0	0	0	
