"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	2030	0	0	27275	0	456	40	1373	79597	64387	527	64914	0	1115	0	0	0	14683	1200	79597	0	0	10218	0	3500	0	6935	57452		0	46573	45458	-235	2965	0	0	0	
242																																					100	762	0	0	7291	0	315	28	464	30023	23094	80	26296	0	159	0	2812	0	3727	120	30023	0	0	3522	0	120	0	3877	19217		0	20588	20429	-35	634	0	0	310	
279																																					83	2508	66	45473	21795	250	2960	437	2467	129799	81975	497	110203	0	446	0	27731	0	19596	0	129799	0	0	20081	0	0	0	4960	77015		0	53546	53100	-485	660	0	0	0	
354																																					0	111	0	0	3484	0	33	0	186	7956	6310	31	6983	0	186	0	0	0	974	25	7957	0	0	505	0	500	0	1435	4875		0	4328	4142	-56	0	0	642	0	
439																																					61	10294	3948	0	24453	0	3448	74	2816	189565	158442	1972	160414	0	1769	10119	0	0	29151	596	189565	0	0	1816	0	26808	0	40195	118247		0	128923	127154	-69	7198	0	0	0	
457																																					17	574	0	933	460	0	125	80	1042	28732	24691	266	26157	0	583	0	1200	0	2575	60	28732	0	0	227	0	2290	0	2829	21862		0	25337	24754	-2	747	0	0	0	
505																																					150	14013	114	0	75062	0	3973	236	7875	333525	275836	2248	310234	52	2444	1594	32150	0	23239	6480	333525	0	0	7227	0	10653	0	46948	228888		0	232952	230508	-1121	0	0	0	0	
1146																																					421	22202	496	150	54674	0	24398	3	14274	501851	406692	5953	461898	0	4473	196	39253	6000	39953	19	501851	0	0	31500	0	8854	40368	68448	338244		0	349142	344669	-420	0	0	4000	0	
1155																																					6854	4148	0	3108	36602	0	4910	0	6490	179857	136301	1694	166893	0	1729	0	3000	0	12964	1600	179857	0	0	7994	0	3400	365	13703	122598		0	119109	117380	-30	0	0	0	25898	
