"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								2030										
242								862										
279								2591										
354								111										
439								10355										
457								591										
505								14163	5	0	0	0	1393	11956	0	11956	809	
1146								22623	5238	0	0	0	2155	4631	0	4631	10599	
1155								11002										
1351								2227										
1454								28542	12818	0	0	0	5626	805	0	805	9293	
1557								1235										
1632								10888	217	0	0	0	2915	7756	0	7756	0	
1669								12483										
1829								9051	0	0	0	0	1597	1350	0	1350	6104	
1856								555										
2040								3657										
2161								6408										
2376								6461	0	0	0	0	1681	4622	0	4622	158	
2451								720										
2554								435										
2732								14646	3177	0	0	0	3365	3257	0	3257	4847	
2750								1637										
2938								14561	10711	0	0	0	2019	1831	0	1831	0	
3252								6640										
3458								3675										
3506								38047	22389	73	0	73	10939	809	0	809	3837	
3720								4139										
3953								2869										
4138								5588										
4147								2895										
4156								4961										
4231								1635										
4437								3932										
4839								5999										
5005								10621	0	0	0	0	1302	9246	0	9246	73	
5069								2378	0	63	0	63	161	2132	0	2132	22	
5135								6008										
5210								19604	11029	0	0	0	7190	1161	0	1161	224	
5331								6758	992	0	0	0	1537	1677	0	1677	2552	
5461								13999	8669	0	0	0	4823	284	0	284	223	
5751								1085										
6039								5613										
6057								237										
6141								1568										
6329								12042										
6972								25054	11289	0	0	0	6448	4686	0	4686	2631	
7009								12904	1	2000	2000	0	10	10868	0	10868	25	
7045								8728										
7157								715										
7456								1113										
7634								2260										
8033								2967										
8417								10619	0	0	0	0	0	7010	0	7010	3609	
8462								6245										
8631								2256										
9357								16290	11946	0	0	0	746	3125	0	3125	473	
9553								1331										
9807								104334	20888	0	0	0	6048	73816	0	73816	3582	
9955								6328										
10157								1295										
10250								9307	5274	0	0	0	1402	2631	2631	0	0	
10849								12432										
10858								11427	0	0	0	0	1993	8874	0	8874	560	
11145								5821										
11640								6526										
11837								1589										
12030								9939										
12058								4582										
12142								7100										
12245								2638										
12311	902973	736024	0	995	0	148015	17939	902973	567378	995			168646	148015			17939	
12647								2093										
12656								354	0	0	0	0	212	131	0	131	11	
12937								6679										
12946								9048	3877	0	0	0	4472	598	0	598	101	
12955								2754										
13037								3260										
13103								14925	0	0	0	0	2530	12152	0	12152	243	
13251								1201										
13457								576										
14052								2677										
14155								2891										
14258								13374	6504	0	0	0	4002	174	0	174	2694	
14409	327699	143887	0	0	0	170344	13468	327699	24634	0			119253	170344			13468	
14454								657										
14650								2576										
14753								651										
14865								6214										
15536								72074	21186	326	0	326	16364	28108	0	28108	6090	
16337								13090	1	0	0	0	4272	8817	0	8817	0	
16458								3528										
16551								1949										
16748								1718										
16944								2642										
16953								1122										
17110								38580										
17147								40399	7121	0	0	0	9619	22231	0	22231	1428	
17259								1031										
17464								65061	49846	0	0	0	8298	2479	0	2479	4438	
17839								4739										
17950								4040										
18050								8321										
18135								7102										
18368								14341	12583	0	0	0	1468	111	0	111	179	
18377								6426										
18827								6102										
18836								5007										
18854								525										
18957								1888										
19356								2485										
19730								66168	23064	0	0	0	36923	4569	0	4569	1612	
19936								6070										
19972								2021										
20053								3121										
20147								2940										
20259								3629										
20370								8883										
20512								3917										
20633								3526										
20754								625										
20839								6485										
20857								30076										
20866								4696										
21256								557										
21359								567										
21630								1802										
21658								1945										
22048								6116										
22235								8409	12	0	0	0	2764	5633	0	5633	0	
22356								5423										
22459								2384										
22543								2744										
22552								957										
22730								2024										
22936								5951										
22954								1927										
23036								9245	5385	0	0	0	2467	1393	0	1393	0	
23045								1252										
23241								67581	6734	0	0	0	23502	24833	0	24833	12512	
23456								953										
23504								12499	6551	0	0	0	3558	1413	0	1413	977	
23540								3247										
23643								10945										
23755								3333										
23812								23451	0	0	0	0	4933	17102	0	17102	1416	
24006								21685	9750	0	0	0	3138	2255	0	2255	6542	
24266								96450	47032	0	0	0	32152	3899	0	3899	13367	
24453								3003										
24659								1543										
24668								15404										
24855								2430										
24949								16876	0	0	0	0	4507	12319	0	12319	50	
25357								6976										
25647								3517										
25852								12821	1488	0	0	0	4004	7318	0	7318	11	
26149								809										
26233								16107	0	0	0	0	4446	5801	0	5801	5860	
26242								7320	0	0	0	0	2556	4276	0	4276	488	
26457								424										
26765								1646										
26859								20841	70	0	0	0	3651	16784	0	16784	336	
26916								6985	15	0	0	0	1731	5177	0	5177	62	
27548								17054	8802	0	0	0	4764	2699	0	2699	789	
27614								5514										
27838								6240										
27847								11565										
28013								40329	0	0	0	0	7103	33005	0	33005	221	
28152								2856										
28255								18019										
28349								2978										
28406								7369	3133	0	0	0	2314	1022	0	1022	900	
28572								2941										
28732								1306										
29104								18431	11230	0	0	0	4156	1097	0	1097	1948	
29159								1366										
29252								2079										
29636								19055	118	0	0	0	5874	13063	0	13063	0	
29850								3496										
29944								2532										
29953								1861										
30052								1707										
30155								4392										
30258								9429										
30418								71	68	0	0	0	0	3	0	3	0	
30502								11425	5977	317	0	317	4326	581	0	581	224	
30650								3312										
30810								409262	319456	0	0	0	554	88752	0	88752	500	
30856								6283										
31134								10118										
31255								4834	3312	0	0	0	919	478	0	478	125	
31657								2765										
31826								8811										
31835								3535										
32159								5541										
32234								3820										
32766								8258										
33147								12040										
33259								20569	8	0	0	0	1387	18570	0	18570	604	
33268								3683	2258	0	0	0	746	543	0	543	136	
33549								1040										
33727								13319	4449	0	0	0	4563	4268	0	4268	39	
33754								1931										
