"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
23456											427					4076	0	0	0	
23504											716					0	0	0	0	
23540											688					0	0	0	0	
23643											209					401	0	0	0	
23755											570					2000	0	0	0	
23812											5107					56411	10	0	0	
24006											1055					0	7	0	0	
24266											38549					48595	0	0	0	
24453											673					0	0	0	0	
24659											0					0	0	0	0	
24668											262					422	0	0	7520	
24855											19					0	0	0	0	
24949											2330					14800	0	0	3328	
25357											1993					32900	0	0	0	
25647											0					0	0	0	0	
25852											1729					20000	0	0	1971	
26149											0					0	0	0	1836	
26233											2615					7000	4597	28000	0	
26242											1845					7422	0	0	5936	
26457											0					0	0	0	0	
26765											271					0	0	0	0	
26859											615					3912	0	0	0	
26916											4132					62353	0	0	28152	
27548											4746					44960	0	0	36888	
27614											1412					3000	0	0	0	
27838											1804					5098	89	0	0	
27847											1044					16488	0	0	0	
28013											8711					22559	20448	0	131000	
28152											329					3462	0	0	0	
28255											375					0	0	0	0	
28349											644					1500	0	0	399	
28406											4044					10000	36263	0	0	
28572											1062					12673	1055	0	0	
28732											159					2000	0	0	0	
29104											6994					89587	9239	0	92901	
29159											268					0	0	0	0	
29252											1034					6000	0	0	0	
29636											3757					60718	0	0	0	
29850											0					100	0	0	0	
29944											779					16800	0	0	0	
29953											742					11348	0	0	0	
30052											55					546	0	0	0	
30155											1224					17703	973	0	0	
30258											800					16270	515	0	2474	
30418											0					0	0	0	423433	
30502											4314					54415	3113	0	29132	
30650											1058					13225	0	0	0	
30810											27300					697029	2000	0	0	
30856											1020					5897	0	0	2918	
31134											406					5000	0	0	0	
31255											497					1127	0	0	300	
31657											0					0	0	0	0	
31826											791					1000	100	0	0	
31835											860					16750	0	0	0	
32159											627					572	0	0	0	
32234											43					0	0	0	16102	
32766											24					0	0	0	0	
33147											1179					20000	0	0	0	
33259											1387					15000	0	0	766	
33268											42					0	0	0	0	
33549											10					0	0	0	0	
33727											1123					4936	0	0	0	
33754											0					0	0	0	0	
33772											16211					0	4000	0	15627	
33839											132					500	0	0	446	
33857											712					9542	0	0	0	
34153											4796					30389	2807	0	0	
34359											311					1063	0	0	0	
34425											2044					25000	0	0	6133	
34434											457					0	0	0	0	
34452											57					0	57	0	0	
34537											8831					14516	2297	0	107572	
34555											1453					650	0	0	0	
34742											2909					55078	0	0	0	
34836											0					0	0	0	0	
34863											0					0	0	0	0	
35057											853					8650	0	0	0	
35244											2900					21500	0	0	4216	
35301	3647560	5015962	3544231	6243194	61000	0	18084025	28322912	98887	65070591	31368	0	79276754	38227430	34406748	1536668	52820	693963	8901469	
35570											48893					277231	35000	0	1070000	
35646											136					0	388	0	0	
35842											314					0	0	0	0	
35936											0					0	0	0	0	
36054											5989					33877	0	0	0	
36344											2191					26000	0	0	17165	
36456											162					814	0	0	0	
36858											866					0	0	0	17803	
36933											837					1134	0	0	0	
37051											280					3000	0	0	0	
37341											19					0	0	0	0	
37350											474					6226	0	0	0	
37378											174					4475	6003	0	0	
37435											1587					10000	0	0	6411	
37640											11942					74636	0	0	32829	
37659											0					0	0	0	0	
37743											276					0	2900	0	0	
37949											1067					5248	0	0	2746	
38526											580					8913	0	0	0	
38535											1394					16000	375	0	11676	
38740											2125					30367	0	0	0	
39327											0					126	0	0	6089	
39420											3316					50088	0	0	14476	
39475											7534					81240	0	0	1464	
39756											1317					751	0	0	0	
39934											911					12500	0	0	0	
40033											411					0	5	0	0	
40305	2246	312251	117	210479	0	0	0	210028	0	735170	6860	0	3379651	162	3124480	18088	49	0	34602	
40350											232					2652	0	0	0	
40707											920					8094	0	0	0	
40855											406					5062	0	0	0	
41245											45					0	0	0	298	
41553											99					0	0	0	0	
41629											1089					16300	0	0	0	
41647											8596					36330	0	0	28303	
41759											66					0	0	0	0	
41825											0					0	0	0	0	
41937											256					71	0	0	0	
41955											173					1879	0	0	0	
42037											59					0	0	0	0	
42055											353					0	0	0	0	
42354											219					0	0	0	0	
42420											34452					636142	18729	0	400329	
42448											2182					30426	410	0	0	
42457											2					0	0	0	0	
43052											1935					2751	64	0	1014	
43155											1036					11000	0	0	0	
43173	0	203898	224587	624712	0	339100	192473	48445	0	1633215	88876	0	7805168	296141	6703050	731225	0	0	300000	
43324											994					3500	0	0	0	
43351											0					0	0	0	0	
43454											25					7	0	0	0	
43511											6351					126378	0	0	2610	
43641											618					272	0	0	0	
43744											870					2000	0	0	0	
43856											383					0	1004	0	0	
43959											52					0	2265	0	0	
44040											1262					25655	250	0	0	
