"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
2737841	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	633		0	0	26437		71521	155		
2737980	0	0	0	118		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5197		0	0	50770		135543	273		
2738857	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2738		0	0	81328		51423	298		
2742153	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7627		0	0	96582		95497	388		
2743244	0	428	6	24		0	0	0		0	66	102	0	0		0	0		0	0	0	0	0	0	0	11986		640	2	261573		171245	658		
2744063	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	14857		523	2	152252		395263	1028		
2744782	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3476		0	0	91711		113648	312		
2745426	0	0	0	222		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5051		262	1	92024		116327	258		
2745743	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	24963		2870	10	175745		198252	816		
2746227	16	0	0	0		0	0	0		11	0	0	0	0		0	0		0	0	0	0	0	0	0	2009		0	0	53310		62122	213		
2746245	0	0	0	0		0	0	0		0	2	1	0	0		0	0		0	0	0	0	0	0	0	6849		0	0	39329		17498	128		
2746263	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1711		0	0	54095		88399	321		
2746348	54	0	0	0		0	0	0		49	0	0	0	0		0	0		0	0	0	0	0	0	0	4548		1044	3	161217		134511	654		
2747242	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	43957		159973	202		
2747279	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3236		0	0	37249		29461	151		
2747420	0	0	0	73		0	0	1174		0	0	0	0	0		96	0		0	0	0	0	0	0	0	8009		0	0	111411		224318	632		
2747466	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2698		0	0	54068		11696	57		
2747587	41	0	0	0		0	0	0		121	0	0	0	0		0	0		0	0	0	0	0	0	0	25950		1271	4	152494		232834	954		
2748502	1	0	0	0		0	0	0		18	0	0	0	0		0	0		0	0	0	0	0	0	0	3635		0	0	63714		91406	309		
2748650	0	0	0	1745		0	0	0		0	0	0	0	0		0	0	270118	0	0	0	0	0	0	0	26911		401	1	391678		419508	1676		
2749059	4	0	0	0		0	0	0		158	0	0	0	0		0	0		0	0	0	0	0	0	0	4760		0	0	56480		40780	206		
2750448	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	856		0	0	36962		45258	217		
2750699	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	16606		1167	4	166819		179532	541		
