"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	
37																																	0	547	1588	0	8522		183		54	0			1239	0	10410	0	2080	46573	0	0			0	21890	60	0	15804	962	3530	10458	3343	3480	93	5115	6380	7059	4701	1010	276								0	0			0	0	
242																																	0	0	1872	0	4224		7		2604	0			1480	0	2640	0	0	20588	0	0			0	7716	45	0	6112	560	1192	4713	486	707	0	3152	6199	2140	1334	47	0								0	0			0	0	
279																																	0	5802	227	1335	8583		13		490	0			1960	696	4040	0	0	53546	11	291			174	29555	565	697	8270	1025	482	1153	2147	12279	12468	5511	3208	2847	4054	6892	1490								0	0			0	0	
354																																	0	0	1089	0	35		0		582	0			171	0	693	0	0	4328	0	0			0	1758	0	1665	844	19	1642	70	0	0	0	207	1860	328	160	11	0								0	0			0	0	
439																																	0	11106	17109	137	42221		0		1591	0			20323	0	5636	0	3873	128923	0	0			0	26020	907	4447	60599	6363	5277	10748	2897	530	25	30250	24109	34130	13265	1068	0								0	0			0	0	
457																																	0	1490	2683	0	3457		22		5577	0			3100	0	3506	0	114	25337	0	0			0	5070	318	4848	13062	992	1291	2198	483	0	0	4665	6683	7320	1288	155	0								0	0			0	0	
505																																	0	5473	0	8146	24449	0	16	16	0	0	13891	0	13891	12941	46749	0	5739	232952	7972	0	0	0	0	115796	7212	39335	21340	0	38817	769	3679	36509	36022	30341	6693	11630	37264	27530	11425	0	0	0	0	0	0	0	0	512	0		0	0	
1146																																	0	104536	2878	10367	81599	9	859	850	0	0	30483	0	30483	14101	9993	0	0	389510	5	0	0	0	0	87700	11581	16344	207993	43990	6461	11174	4351	36	21642	103550	40779	106428	43658	3398	443	0	0	0	0	0	0	0	35300	118	0		0	0	
1155																																	0	8625	3836	233	33886		1615		5386	0			34046	1127	6571	0	882	119474	0	0			0	17339	5152	885	33019	2328	2282	4390	6672	1121	546	30356	9145	30029	25675	4815	1743								526	250			0	0	
