"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	160	365	1119	48	56	0	0	0	0	0	538	0	0	0				
242																0	163	0	399	7	11	0	0	0	0	0	225	0	0	0				
279																2	1475	216	2352	50	55	0	0	0	0	0	556	50	0	0				
354																0	5	34	158	0	52	0	0	0	0	0	67	0	0	0				
439																0	340	0	2238	231	596	341	0	0	0	0	1302	0	0	0	Investment - Midland Tax Credit			
457																0	40	0	841	0	21	0	0	0	0	0	324	456	0	0				
505																0	2532	1573	8372	2098	2562	0	0	0	0	0	1340	365	0	0				
1146																0	2021	0	13531	1757	10238	6233	0	0	0	0	1272	0	0	0	LTC-TITLE PLANT INVTS			
1155																0	725	806	6296	82	140	17	0	0	0	0	1430	3195	0	0	Computer Software			
1351																0	0	0	1167	45	93	48	0	0	0	0	1074	0	0	0	computer software			
1454																0	1096	0	4531	677	1131	382	0	0	0	0	2304	0	0	0	ACCOUNTS RECEIVABLE			
1557																0	129	0	775	42	43	0	0	0	0	0	603	0	0	0				
1632																0	2469	1454	9267	0	389	0	0	0	0	0	3706	1249	0	0				
1669																0	426	846	8900	127	130	0	0	0	0	0	1802	5696	0	0				
1829																0	1014	183	4308	728	1366	0	0	0	0	0	1745	0	0	0				
1856																0	4420	0	5261	225	225	0	0	0	0	0	616	0	0	0				
2040																11	1149	321	3791	379	485	87	8	0	0	0	759	1077	0	0	Computer software	Petroleum cleanup receivables		
2161																0	251	188	3385	154	2291	2137	0	0	0	233	422	0	0	0	Cash Surrender Value-Life Ins			
2376																0	9173	5287	44432	414	1940	0	0	0	0	0	3885	24147	0	0				
2451																0	492	0	991	0	151	0	0	0	0	0	348	0	0	0				
2554																0	0	0	123	5	34	15	0	0	0	0	89	0	0	0	software-net of amortization			
2732																0	181	790	4550	70	193	99	0	0	0	0	3129	257	0	0	Leasehold Purchase			
2750																0	423	0	1996	99	100	0	0	0	0	0	835	638	0	0				
2938																10	1428	1956	7234	69	79	0	0	0	0	0	3771	0	0	0				
3252																0	289	135	2575	263	549	191	76	0	0	0	1602	0	0	0	leases	np dda debits		
3458																0	175	22	417	33	37	0	0	0	0	0	183	0	0	0				
