"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	1855	0	0	27432	0	493	48	1119	81127	66492	365	66857	0	1010	0	0	0	14270	1200	81127	0	0	9859	0	3500	0	6962	59530	1	0	45198	44188	-289	5992	0	0	0	
242																																					100	848	0	0	8164	0	337	28	399	30159	23156	79	26461	0	158	0	2612	0	3698	120	30159	0	0	3566	0	120	0	3486	19670	3	0	20078	19920	-108	363	0	114	500	
279																																					289	2031	71	49476	23374	249	2929	437	2352	128733	81059	391	109401	0	456	0	27951	0	19332	0	128733	0	0	19764	0	0	0	4733	76326	1	0	45811	45355	-432	2170	0	0	0	
354																																					0	233	0	0	3881	0	32	0	158	8124	7162	26	7188	0	191	0	0	0	936	25	8124	0	0	477	0	500	0	1553	5609	4	0	3981	3790	-66	30	0	0	0	
439																																					0	8251	4174	0	25468	0	3516	137	2238	187824	158742	1339	160081	0	1628	10119	0	0	27743	596	187824	0	0	487	0	26808	0	40216	118526	1	0	125729	124101	-148	9820	0	0	0	
457																																					0	316	0	1195	460	0	117	0	841	27685	24812	238	25050	0	324	0	0	0	2635	60	27685	0	0	286	0	2290	0	2894	21918	4	0	24973	24649	-1	107	0	0	0	
505																																					152	6667	127	0	83922	0	4202	157	8372	319382	260466	2667	297233	52	2364	1594	34100	0	22097	6480	319382	0	0	6735	0	10653	0	43025	217441	2	0	216553	214189	-1771	0	0	0	0	
1146																																					3190	24683	542	190	68996	0	24366	77	13531	482851	397631	9308	444363	0	4239	196	27424	6000	38488	18	482851	0	0	30184	0	8854	31350	80153	317478	2	0	319969	315730	-568	0	0	4000	0	
1155																																					2517	5479	0	3507	33504	0	4411	210	6296	175531	143551	1286	163024	0	1992	0	3000	0	12507	1600	175531	0	0	7713	0	3400	738	21130	122421	5	0	120861	118869	-206	0	0	0	15187	
