"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	
37																																	0	286	1685	0	9109		101		51	0			1279	0	9554	0	951	45198	0	0			0	22119	63	0	14012	1376	3064	9518	4227	3782	94	2419	7254	7441	4014	1583	280								0	0			0	0	
242																																	0	0	2098	0	3877		6		2269	0			1591	0	2610	0	0	20078	0	0			0	7564	63	0	5224	463	1342	4632	572	555	0	3483	5392	2213	1304	95	0								0	0			0	0	
279																																	0	4553	312	1079	6858		17		357	0			1046	540	3597	0	0	45811	11	270			184	26797	396	782	6622	1000	358	1414	1464	10693	11868	3478	3515	2000	2657	6468	907								0	0			0	0	
354																																	0	0	980	0	40		0		578	0			239	0	558	0	0	3981	0	0			0	1586	0	1486	793	0	1559	0	0	0	0	253	1688	269	136	0	0								0	0			0	0	
439																																	0	6569	18356	147	47700		0		1951	0			17786	0	5778	0	3069	125729	0	0			0	23718	655	3339	53475	4931	4373	9763	3634	786	25	39057	17093	31802	12201	1632	0								0	0			0	0	
457																																	0	2034	2490	0	3303		28		4713	0			3391	0	3751	0	117	24973	0	0			0	4876	270	4388	13081	731	1354	2689	102	0	0	4379	6617	7311	1665	123	0								0	0			0	0	
505																																	0	8711	0	5220	25486	0	9	9	0	0	13898	0	13898	10507	43976	0	6657	216553	8038	0	0	0	0	103854	5759	34520	21212	0	32765	704	3451	37237	29697	25581	12203	10647	34215	26868	11069	0	0	0	0	0	0	0	0	514	0		0	0	
1146																																	0	87869	3065	9584	75139	9	1142	1133	0	0	29528	0	29528	12640	13109	0	0	351319	6	0	0	0	0	81032	10018	17228	176109	35680	4453	10620	7364	651	22264	105758	24183	90650	47103	1990	326	0	0	0	0	0	0	0	28064	135	0		0	0	
1155																																	0	12234	5581	235	29964		4330		4737	0			32236	1098	6806	0	899	121599	0	0			0	17249	5518	897	38959	2573	2294	3510	6420	1688	549	38076	9374	23681	26248	4910	1750								459	253			0	0	
1351																																	0	0	9314	0	10814		86		4861	0			15609	0	8552	0	0	58453	0	182			0	9035	0	8429	49019	2303	6196	275	88	111	0	14171	26349	5268	3025	182	0								0	0		0	0	0	
1454																																	0	10064	4905	4536	45765	0	42	42	2816	0	34053	0	34053	1716	28796	0	0	189382	436	136	136	0	0	48869	5560	3365	38266	2948	3530	2793	4157	25662	9736	42774	8774	20034	41665	24412	3064	0	0	0	0	0	0	0	1452	1108	0		0	0	
1557																																	0	0	3392	0	1766		4		9374	0			634	0	779	0	0	18244	0	0			0	2295	0	0	7306	0	128	818	1051	298	0	1191	5987	3488	4682	226	375								0	0		0	0	0	
1632																																	0	159559	8828	7786	99853	1153	2074	921	4556	0	62152	0	62152	24707	10592	0	592	444989	0	0	0	0	0	58294	5331	17875	190461	23082	10183	18202	4471	609	1747	239059	31447	66583	32750	15235	1415	0	0	0	0	0	0	0	0	665	0		0	0	
1669																																	0	369	67	0	7557		80		1603	0			7981	0	9159	0	50	69050	0	0			0	40391	1793	24941	6501	2609	5734	4684	2699	15618	8987	3556	7156	5923	7377	4541	67								0	0			0	0	
