"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
836852	1758	45	0	0	1662	34	85			0	0	
837000	3515	236	0	0	3282	3	0			0	0	
837037	1130	-40	3	0	1171	4	0			0	0	
837046	312	0	0	0	319	7	0			0	0	
837149	661	0	4	0	658	1	0			0	0	
837158	821	75	15	0	745	14	0			0	0	
837260	91346	2500	402	0	90720	2276	0			0	0	
837354	1123	3	8	0	1113	1	0			0	0	
837448	859	-9	4	0	869	5	0			0	0	
837541	1010	23	13	0	977	3	0			0	0	
837550	332	0	0	0	332	0	0			0	0	
837653	298	0	0	0	298	0	0			0	0	
837840	472	88	12	0	468	96	0			0	0	
837952	364	0	0	0	364	0	0			0	0	
838155	143	0	4	0	143	4	0			0	0	
838427	211	0	1	0	224	14	0			0	0	
838632	3066	100	18	0	2948	0	0			0	0	
839068	488	0	0	0	490	2	0			0	0	
839246	864	86	2	0	891	115	0			0	0	
839255	1760	0	19	0	1830	89	0			0	0	
839657	656	189	2	0	532	67	0			0	0	
839817	444	0	4	0	457	17	0			0	0	
840019	1204	162	51	0	1198	207	0			0	0	
840251	336	0	0	0	340	4	0			0	0	
840354	395	0	5	0	393	3	0			0	0	
840363	3599	0	40	0	3478	58	139			0	0	
840532	390	0	2	0	528	140	0	0	0	0	0	
840578	53	0	0	0	53	0	0	0	0	0	0	
840747	1246	77	19	0	1200	50	0			0	0	
840859	1776	0	16	0	1796	36	0			0	0	
841052	532	0	26	0	535	29	0			0	0	
841258	276	15	0	0	261	0	0			0	0	
841436	1318	45	7	0	1325	59	0			0	0	
841472	942	15	2	0	926	1	0			0	0	
841539	2477	0	41	0	2495	59	0			0	0	
841753	942	8	15	0	941	22	0	0	0	0	0	
841838	1067	45	4	0	1082	64	0			0	0	
841865	1614	0	0	0	1614	0	0			0	0	
842004	5178	6	19	0	5213	30	-30			0	0	
842031	800	0	15	0	807	22	0			0	0	
842116	409	0	1	0	408	0	0			0	0	
842358	1669	126	16	0	1544	17	0	0	0	0	0	
842376	969	-39	0	0	1008	0	0	0	0	0	0	
842460	12859	2250	170	0	12002	1563	0			0	0	
842853	206	0	1	0	205	0	0			0	0	
843159	830	30	12	0	820	32	0			0	0	
843270	1363	100	1	0	1288	0	-26	0	0	26	0	
843542	822	30	3	0	799	10	0			0	0	
843711	1053	18	9	0	1037	11	0			0	0	
843935	473	0	3	0	500	30	0			0	0	
843953	189	0	1	0	192	4	0			0	0	
844053	5443	81	50	0	5619	307	0			0	0	
844138	293	45	4	0	278	34	0			0	0	
844343	15182	953	174	0	12449	424	2030			0	0	
844455	254	6	28	0	225	5	0			0	0	
844567	1996	300	26	0	1768	98	0			0	0	
844820	2441	7	13	0	2464	43	0			0	0	
845247	2757	125	54	0	2617	39	0			0	0	
845443	1228	45	9	0	1179	5	0			0	0	
845452	209	0	1	0	208	0	0			0	0	
845751	330	0	0	0	330	0	0			0	0	
846132	142	0	1	0	141	0	0			0	0	
846262	7841	22	0	0	7819	0	0			0	0	
846356	4262	155	23	0	4147	63	0			0	0	
846619	2202	66	31	0	2168	63	0			0	0	
846945	580	15	2	0	568	5	0	0	0	0	0	
847157	953	45	13	0	899	4	0			0	0	
847447	1080	0	0	0	1080	0	0			0	0	
847540	489	0	12	0	489	12	0	0	0	0	0	
847643	8848	180	115	0	8812	259	0			0	0	
848248	1158	45	20	0	1093	0	0			0	0	
848453	691	281	1	0	450	41	0			0	0	
848752	1756	45	1	0	1711	1	0			0	0	
849151	294	0	4	0	303	13	0			0	0	
849348	871	11	7	0	856	3	0			0	0	
849357	1180	27	71	0	1102	20	0			0	0	
849432	469	46	6	0	470	53	0			0	0	
849450	773	85	2	0	687	1	0			0	0	
849647	835	100	9	0	850	124	0			0	0	
849665	1905	75	2	0	1831	3	0			0	0	
849777	1682	0	0	0	1694	12	0			0	0	
849834	1192	75	1	0	1116	0	0			0	0	
850036	17760	1200	38	0	18100	1578	0			0	0	
850054	918	15	1	0	902	0	0			0	0	
850456	678	0	41	0	639	2	0			0	0	
850616	967	50	1	0	959	0	-43			0	0	
851024	1686	18	1	0	1681	14	0			0	0	
851060	191	32	0	0	159	0	0			0	0	
851239	1490	443	194	595	1448	0	0			0	0	
851631	555	12	2	0	550	9	0			0	0	
852133	224	11	1	0	215	3	0			0	0	
852218	5042000	469000	143000	3000	4857000	434000	10000	86000	1000	0	0	
852254	330	7	2	0	391	70	0			0	0	
852263	3997	0	1	0	3992	0	4			0	0	
852320	559536	25342	9157	0	560067	35030	0	0	387	0	0	
852357	1161	30	3	0	1128	0	0			0	0	
852544	1803	60	32	0	1787	76	0			0	0	
852704	733	0	39	0	702	8	0			0	0	
852713	2506	0	19	0	2526	39	0			0	0	
852973	1052	60	0	0	992	0	0	0	0	0	0	
853112	2998	135	28	0	2894	59	0	0	0	0	0	
853158	450	39	25	0	407	21	0			0	0	
853251	1037	54	21	0	1124	162	0			0	0	
853372	3424	105	7	0	3312	0	0			0	0	
853644	421	12	11	0	405	7	0			0	0	
853747	1515	45	50	0	1438	18	0			0	0	
853804	4814	250	0	0	4564	0	0			0	0	
853934	604	0	17	0	602	15	0			0	0	
853952	12443	354	310	0	12021	242	0			0	0	
