"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	255	240	1228	11	11	0	0	0	0	0	722	0	0	0				
242																0	147	0	325	0	5				0	0	173	0	0	0				
279																0	1866	0	2641	54	114	0	0	0	0	0	661	34	0	0				
354																0	4	42	145	0	8	0	0	0	0	0	91	0	0	0				
439																0	317	430	2072	0	87	0	0	0	0	0	1238	0	0	0				
457																0	40	0	719	0	422	0	0	0	0	0	257	413	0	0				
505																0	1616	26	6766	2437	3952	0	0	0	0	0	1172	0	0	0				
1146																0	1808	0	12121	1096	9623	5405	0	0	0	0	690	0	0	0	LTC-TITLE PLANT INVESTMENT                                                                                                                                                                       			
1155																0	463	224	3737	45	2087	49	0	0	0	0	963	1958	0	0	Computer Software                                                                                                                                                                                			
1351																0	0	482	1633	31	31	0	0	0	0	0	1120	0	0	0				
1454																0	1082	0	3481	509	602	0	0	0	0	0	1797	0	0	0				
1557																0	23	0	493	0	37	0	0	0	0	0	433	0	0	0				
1632																0	1200	1	4255	0	1383	0	0	0	0	0	1671	1075	0	0				
1669																0	682	45	8033	87	5139	0	0	0	0	0	2167	5038	0	0				
1829																0	1275	0	3909	347	957	292	0	0	0	0	1677	0	0	0	Prepaid Taxes                                                                                                                                                                                    			
1856																0	766	0	1456	46	48	0	0	0	0	0	642	0	0	0				
2040																0	1041	103	2298	237	407	64	69	37	0	0	747	0	0	0	Petroleum cleanup receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                	Accrued taxes                                                                                                                                                                                    	
2161																0	224	0	2696	0	2119	0	0	0	0	0	353	1747	0	0				
2376																0	6250	668	10772	231	826	0	0	0	0	0	3028	0	0	0				
2451																0	164	1	517	0	123	25	30	0	0	0	229	50	0	0	BEVERLY INSURANCE AGENCY RECEIVABLES                                                                                                                                                             	LEGAL FEES RECEIVABLE                                                                                                                                                                            		
2554																0	0	0	113	3	35	0	0	0	0	0	78	0	0	0				
2732																0	181	9	2710	91	554	122	99	24	0	0	1966	218	0	0	leashold purchase                                                                                                                                                                                	current fed inc tax                                                                                                                                                                              	safe deposit receivable                                                                                                                                                                          	
2750																0	302	0	1692	0	681	0	0	0	0	0	709	586	0	0				
2938																415	2307	614	5266	48	463	0	0	0	0	0	1882	0	0	0				
2956																0	25	339	1286	0	0	0	0	0	0	0	922	0	0	0				
3252																0	267	93	2562	254	789	314	0	0	0	0	1413	0	0	0	Leases                                                                                                                                                                                           			
3458																0	74	0	275	23	24	0	0	0	0	0	177	0	0	0				
3506																0	4067	734	42344	0	30364	0	0	0	0	0	7179	21853	0	0				
3579																0	2866	0	6528	0	2059	777	0	0	0	0	1603	0	0	0	Prepaid pension contribution                                                                                                                                                                     			
3720																0	554	397	4143	0	2708	0	0	0	0	0	484	1682	0	0				
3953																0	288	0	1936	99	532	0	0	0	0	0	1116	433	0	0				
4138																0	825	0	1915	120	152	0	0	0	0	0	938	0	0	0				
4147																0	3072	0	7341	0	3815	0	0	0	0	0	454	3462	0	0				
4156																36	725	0	4607	0	2737	0	0	0	0	0	1145	2563	0	0				
4231																0	0	247	1133	0	31	0	0	0	0	0	855	0	0	0				
4437																0	757	433	2251	116	339	0	0	0	0	0	722	91	0	0				
4745																0	0	0	109	20	20	0	0	0	0	0	89	0	0	0				
4839																0	1316	0	2716	186	272	0	0	0	0	0	1128	0	0	0				
5005																0	1909	0	10696	0	7489	0	0	0	0	0	1298	6056	0	0				
5050																20	388	9	1079	91	111	0	0	0	0	0	571	0	0	0				
5069																0	0	0	2300	0	748	440	0	0	0	0	1552	0	0	0	Deferred costs                                                                                                                                                                                   			
5135																0	630	211	4846	120	2431	79	166	26	0	0	1574	2035	0	0	Late Charges Assessed                                                                                                                                                                            	Omnivest Loan Receivable                                                                                                                                                                         	Credit Card Advance Clearing                                                                                                                                                                     	
5210																0	7047	1751	28346	0	14932	0	0	0	0	0	4616	14163	0	0				
5247																0	0	0	3737	175	374	199	0	0	0	0	3363	0	0	0	Accounts Receivable                                                                                                                                                                              			
5274																0	3680	249	4690	115	269	143	0	0	0	0	492	0	0	0	Investment in Sub                                                                                                                                                                                			
5331																0	4250	0	7924	1974	3379	1149	0	0	0	0	295	0	0	0	ACCRUED INTEREST ON SECURITIES PURCHASED                                                                                                                                                         			
5461																0	0	935	5145	265	2557	1635	0	0	0	0	1653	563	0	0	QZAB                                                                                                                                                                                             			
