"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																							0	1558	0	22974	0	0	521	245	0	1228	78570	65146	0	244	65390	0	970	0	0	0	13180	1200	78570	0	0	8480	0	3500	0	5722	59424		0	46197	45227	0	6817	0	0	0	
242																																							100	1313	0	0	4850	0	259	0	0	325	26900	21492	0	44	23168	0	157	0	1632	0	3732	120	26900	0	0	3475	0	120	0	2932	18560		0	19946	19789	17	264	0	0	0	
279																																							445	1616	59	64484	25840	241	1172	0	0	2641	128356	78729	0	327	110544	0	381	0	31488	0	17812	0	128356	0	0	17603	0	0	0	1810	76918		0	31154	30773	209	1085	0	0	0	
354																																							0	152	0	0	3045	0	34	0	0	145	8462	7305	0	23	7328	0	195	0	0	0	1134	25	8462	0	0	586	0	500	0	1260	6045		0	4860	4665	23	421	0	0	0	
439																																							0	6673	2991	3554	26502	0	2446	80	0	2072	162754	142979	0	1321	144300	0	1419	0	0	0	18454	596	162754	0	0	10446	0	7404	0	32685	110294		0	114236	112817	8	5619	0	0	0	
457																																							0	1321	0	1774	0	0	107	0	0	719	25611	22870	0	218	23088	0	225	0	0	0	2523	60	25611	0	0	523	0	1940	0	3013	19857		0	19615	19390	0	2300	0	0	0	
505																																							253	7935	148	0	113478	0	4681	0	0	6766	284008	242582	0	1087	260169	56	2243	1594	16500	0	23783	6480	284008	0	0	6273	0	10653	0	43190	199392		0	151396	149153	377	0	0	0	0	
1146																																							320	15290	582	340	67970	0	13051	979	0	12121	365659	308225	0	8418	334833	0	3041	138	12190	6000	30826	19	365659	0	0	21886	0	8854	24534	67901	240324		0	233375	230334	67	0	0	0	0	
1155																																							24	4007	0	7671	28502	0	4664	72	0	3737	143219	117944	0	423	132303	0	1433	0	3000	0	10916	1600	143219	0	0	5692	0	3400	0	11955	105989		0	95975	94542	224	0	0	700	10236	
1351																																							0	2293	0	34504	3459	0	1018	169	0	1633	100614	85618	0	1374	86992	0	417	0	0	0	13622	240	100614	0	0	12878	0	530	0	9611	76007		0	55367	54950	-26	2588	0	0	0	
