"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
925653																															0	2235	1139	0	2646		817		2369	0			8946	0	4452	0	0	25667	0	0			0	3063	0	0	12583	462	753	211	203	1060	374	6157	5970	2871	4051	2738	545								0	0		0	
925710																															0	102400	1553	13526	784716	0	18223	18223	0	0	229342	0	229342	80225	29859	0	13313	1382079	0	0	0	0	0	48105	57034	12131	259113	7728	2709	3478	12328	7106	14100	383332	75579	195467	423926	200076	34682	0	0	0	0	0	0	0	0	3783	0	0	
925840																															0	70670	242	31652	401446	899	6558	5659	167	0	143492	0	143492	76658	38096	0	994	876464	9	403	403	0	0	99882	4117	99882	237675	14291	18825	42950	14885	3786	2534	364187	62345	193586	130893	16534	1326	0	0	0	0	0	0	0	0	2096	0	0	
925859																															0	0	7557	0	1025		66		2827	0			634	1	1688	0	0	18470	0	41			0	4631	0	0	7418	525	662	2724	543	177	0	1629	4602	4711	2580	317	0								0	0		0	
926155																															0	290	6345	0	9569		143		2361	0			5369	0	14680	0	57	54225	0	0			0	15098	98	11751	8226	2401	8679	698	223	2232	807	5383	13600	9445	6115	2744	1076								215	0		0	
926203																															0	764	0	2334	133111	0	235	235	0	0	13126	0	13126	21393	764	0	0	223288	0	0	0	0	0	34209	17222	28151	16603	215	4217	7363	12635	9121	659	41339	7911	40680	57640	33563	7432	0	0	0	0	0	0	0	0	130	0	0	
926342																															0	221	946	0	1394		0		400	0			955	0	416	0	103	6295	0	0			0	1675	160	1372	5386	427	1075	129	23	21	0	693	3191	552	184	0	0								25	0		0	
926360																															0	18028	0	1491	40939		425		0	481			5782	4285	1521	0	0	78505	415	0			0	5413	189	4701	18215	1663	2688	79	223	355	405	14747	10845	8708	5804	16531	16842								719	128		0	
926632																															0	4155	335	6627	17542		1969		0	239			15550	15461	2876	0	0	94103	0	1285			0	25176	3127	3983	29585	1866	4373	11895	5261	924	794	11041	13725	21249	20861	1332	0								0	0		0	
926650																															0	0	2971	0	63		25		6862	0			874	0	696	0	0	11732	0	0			0	241	0	0	10140	45	0	154	34	8	0	7043	3052	427	248	77	211								0	0		0	
926959																															0	31	854	0	6221		112		559	0			1323	0	6378	0	0	28466	32	0			0	12756	264	76	4991	285	701	1996	1712	5499	2362	3305	2429	3748	3897	2141	104								0	0		0	
927134																															0	505	20935	290	8458		167		23208	0			12955	4960	919	0	2133	80786	0	0			1102	6040	199	1244	35261	880	1624	2033	1270	42	191	43590	9567	6413	10836	3277	635								0	17		0	
927255																															0	192	2476	103	1985		47		6776	0			2836	0	3621	0	55	21655	0	0			0	3244	0	3	7944	32	175	794	1306	937	0	10091	2379	3339	1716	695	105								293	27		0	
927479																															0	0	0	0	0		0		0	0			0	2840	127	0	0	156353	0	0			0	150700	2686	837	186	32	116	553	4739	86544	58716	110	10	100	231	5202	0								0	0		0	
928038																															0	0	3577	94	2701		30		3946	0			2952	0	1018	0	550	17147	0	0			280	2279	0	344	10115	44	373	1208	129	133	392	5569	4129	3255	1221	324	39								0	0		0	
928056																															0	3033	26215	3784	22579		235		49539	0			43169	1252	21181	0	0	205114	0	2408			0	31225	494	26682	65181	4117	11871	10062	1557	1647	1441	54340	44222	34606	20493	16974	1174								0	0		0	
928421																															0	47662	219	1832	78106	0	196	196	264	0	31863	0	31863	13069	91186	0	893	388942	0	0	0	0	12	115155	7403	51154	96796	42955	4360	6642	22316	35368	3514	93033	18431	49694	83460	20484	5544	0	0	0	0	0	0	0	999	95	0	0	
