"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1558										
242								1413										
279								2061										
354								152										
439								6673										
457								1321										
505								8188										
1146								15610	4953	0	0	0	1888	5339	0	5339	3430	
1155								4031										
1351								2293										
1454								18763										
1557								2077										
1632								7554										
1669								13948										
1829								16533										
1856								398										
2040								4185										
2161								12846										
2376								26426	0	0	0	0	2768	23562	0	23562	96	
2451								333										
2554								1149										
2732								23648	2752	0	0	0	3728	12936	0	12936	4232	
2750								2234										
2938								14282										
2956								3463										
3252								7765										
3458								4921										
3506								31435	15816	51	0	51	11695	191	0	191	3682	
3579								7847	2872	0	0	0	3724	421	0	421	830	
3720								4996										
3953								3535										
4138								4019										
4147								4203										
4156								2683										
4231								2490										
4437								6054										
4745								434										
4839								4177										
5005								4439										
5050								2163										
5069								2718										
5135								7649										
5210								33414	9816	0	0	0	9539	1294	0	1294	12765	
5247								32115	42	0	0	0	6767	17564	0	17564	7742	
5274								5252										
5331								10899										
5461								26527										
5751								2846										
5939								86571	49947	135	0	135	10419	1249	0	1249	24821	
6039								3346										
6057								411										
6141								3254										
6329								7293										
6972								61279	3633	0	0	0	6839	44620	0	44620	6187	
7009								7685	0	5000	5000	0	10	2650	0	2650	25	
7045								6450										
7157								2052										
7166								18375	13950	0	0	0	2133	2268	0	2268	24	
7456								1223										
7634								1697										
8033								3628										
8417								148869	0	0	0	0	0	140388	0	140388	8481	
8462								5521										
8547								11752	1	0	0	0	3396	4894	0	4894	3461	
8631								2280										
9115								83174	50725	0	0	0	26800	223	0	223	5426	
9357								64404	14230	0	0	0	1848	47157	0	47157	1169	
9553								4242										
9807								130496	19389	0	0	0	5555	96126	0	96126	9426	
9955								7899										
10157								4238										
10250								11475										
10849								24291										
10858								13469	350	0	0	0	1692	11179	0	11179	248	
11145								4694										
11640								10564										
11837								1845										
12030								4088										
12058								3554										
12142								11799										
12245								2741										
12311	912039	662012	0	0	0	147640	102387	912039	459922	0			202090	147640			102387	
12357								3173										
12647								7073										
12656								298										
12937								8417										
12946								8872	4970	0	0	0	3300	271	0	271	331	
12955								3117										
13037								3499										
13103								13118	0	0	0	0	3151	8710	0	8710	1257	
13251								2216										
13309								45736	5148	0	0	0	13890	2679	0	2679	24019	
13457								574										
