"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
1557																																						1750	522	0	5646	7862	0	191	0	995	40939	33740	531	36032	0	380	0	1761	0	4907	200	40939	0	0	3765	0	800	0	5548	28192	4	1231	0	23843	23463	142	510	0	0	0	4907	
1632																																						76	12684	0	0	51476	0	14306	4168	15409	752807	623307	8113	687400	0	9022	0	30000	0	65407	1900	752807	0	0	25054	0	37199	3944	76304	547003	2	1231	0	659766	650744	1254	0	0	25980	0	65407	
1669																																						17061	6972	1173	79505	49453	0	1544	0	8473	248375	204988	1227	206424	0	1963	0	209	0	41951	800	248375	0	0	39473	0	800	0	28476	176512	4	1231	0	79016	77053	878	7141	0	0	0	41951	
1829																																						29365	4234	727	0	87457	0	3151	133	8768	399290	311539	2110	359825	0	3953	8144	35206	0	39466	390	399291	0	0	35429	0	3100	0	54998	256541	1	1231	0	261264	257311	547	0	0	0	10970	39466	
1856																																						33	587	0	99356	126914	0	418	0	7041	248076	146409	252	235121	0	136	98	87825	0	12955	500	248076	0	0	63	0	17782	0	4642	141767	4	1231	0	13267	13131	-5390	498	0	635	0	12955	
2040																																						3	2732	0	0	39474	0	3785	0	7041	207846	161622	1263	189552	0	2655	0	23943	0	18294	480	207846	0	0	14121	0	4270	1492	12105	149517	4	1231	0	152486	149831	-577	3488	0	0	2724	18294	
2161																																						1500	8374	0	4	36697	0	1868	0	3625	110919	97434	1362	98796	0	561	0	0	0	12123	1000	110919	0	0	9393	0	1253	0	16903	80531	1	1231	0	58142	57581	477	1270	0	0	0	12123	
2376																																						51960	5570	0	133584	260065	3547	13760	1337	82219	1761748	1015219	23418	1569338	65	21307	0	524453	0	192345	500	1761748	0	0	199864	0	4138	0	47271	967948	2	0630	-14108	1231013	1209706	1951	0	0	6248	0	192410	
2451																																						5409	1185	456	0	0	0	368	709	1944	40987	34244	78	37692	0	780	0	3370	0	3295	50	40987	0	0	-644	0	3889	314	2926	31318	5	1231	0	29617	28837	0	1765	0	0	0	3295	
2554																																						2782	190	0	0	1397	0	117	0	145	10119	8935	69	9004	0	42	290	0	0	1115	50	10119	0	0	83	0	975	0	1877	7058	9	1231	0	4331	4289	7	909	0	0	0	1115	
2732																																						20440	17623	1112	0	58063	0	5706	0	4059	530072	451572	6079	457950	0	4142	0	299	0	72122	0	530072	0	0	65249	0	5789	0	68312	383260	2	1231	0	427211	423069	1084	0	0	0	0	72122	
2750																																						397	467	0	0	11465	0	530	0	2360	53793	41503	347	48621	0	511	0	6600	0	5172	86	53793	0	0	5123	0	93	0	2623	38880	4	12-31-08	0	39085	38574	-130	0	0	171	0	5172	
2938																																						296	8516	0	0	100256	0	11923	4442	10864	649284	557338	4891	600925	0	10485	0	29000	0	48359	2050	649284	0	0	11722	0	32115	0	76312	481026	2	1231	0	504395	493910	2472	19077	0	0	9696	48359	
