"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
37	5644	0	2997	6491	0	13244	0	0	0	0	0	0	51425	0	932	14205		29263	2313	4247	14030	9042	0	0	3099	10931	7719	7515	2036	7006	2411	2751	10247	50493	0	0	374	
242	3343	0	473	3733	0	9193	0	0	0	0	0	0	16797	0	1674	3294		7138	3023	1442	4663	2720	0	0	1783	2880	1992	482	2069	651	366	208	8720	15123	0	0	0	
279	12018	0	0	5721	0	16813	0	0	0	0	0	0	80252	0	0	28519		38315	1400	11313	25848	20101	0	0	7476	18372	10828	1640	4694	15407	7689	728	16813	80252	0	0	3877	
354	1200	0	68	1874	0	1874	0	0	0	0	0	0	5873	0	1623	800		2807	1066	0	2807	800	0	0	735	2072	0	0	700	100	0	0	1806	4250	0	0	0	
457	3217	0	174	2565	0	4527	0	0	99	0	99	0	21087	0	1337	2094		9725	6051	1174	8123	1689	99	0	1626	6497	1450	152	577	1112	405	0	4353	19651	0	99	105	
505	100241	3	1436	9657	0	16333	0	0	759	100	1596	0	251310	0	66619	31250		51330	68489	7758	38832	23255	759	837	11889	26943	11889	609	13912	9343	7723	272	14894	184574	0	117	1603	
1155	375	11	1084	27349	0	71173	0	0	0	0	0	0	95731	0	7305	29152		50356	15848	11846	29789	18914	0	0	26351	12437	9734	1834	14187	8720	4828	1417	70074	88426	4	0	4346	
1351	3989	5	6994	11845	0	23376	0	0	0	0	0	0	91006	0	3066	24783		42102	20132	7746	32331	19952	0	0	10030	22301	9771	0	6023	13929	4831	0	16377	87940	0	0	2695	
1454	1180	99	7866	104786	0	187683	0	0	0	0	0	0	231949	15	16183	52893		56949	120927	20372	41866	23664	0	0	21013	23450	8676	3810	30675	14966	4711	2541	179718	215751	0	0	4270	
1557	4095	2	1256	5548	0	10077	0	0	0	0	0	0	23663	0	3225	6433		11121	2014	1894	8492	5923	0	0	2725	5767	2310	319	3735	2188	510	0	8819	18688	0	1750	136	
1632	8405	14	336	25067	0	55884	0	0	1701	44092	45793	0	567423	0	18541	176415		140179	242425	38480	126384	162982	1030	30418	34980	91404	10635	3160	42190	120792	9643	3790	55534	548882	0	0	19826	
1669	14100	28	19514	28397	0	77799	0	0	0	0	0	0	127189	0	3001	33638		53592	25858	12408	42855	27429	0	0	15859	27979	5559	4195	4540	22889	4149	2060	58149	124148	108	40	3175	
1829	38575	7	48	54998	0	71538	0	0	8720	243	15847	0	240001	0	5864	47146		106215	48064	23900	70219	31635	7110	7127	26714	43505	24792	11204	15671	15964	10605	4906	71483	233964	0	173	8594	
1856	881	0	631	4642	0	6340	0	0	0	106033	106033	0	140069	0	23111	38219		98774	2195	19	16212	25656	0	0	1719	14494	28139	54422	21488	4168	12563	0	5709	116958	0	0	0	
2040	10823	21	13193	12105	0	42280	0	0	48928	0	50997	0	119342	0	2789	11184		78070	19265	9022	41198	8640	21159	2069	15174	26025	21368	15504	4268	4372	1620	923	29066	115997	0	556	1668	
2161	14234	0	4922	14826	0	40322	0	0	0	0	0	0	57112	0	10840	20978		18213	3687	7517	16983	20384	0	0	7512	9471	990	240	10397	9987	425	169	35400	46272	0	0	1834	
2376	212886	0	1204	12980	0	21461	0	0	0	0	0	0	993758	0	3391	219269		434134	127470	65285	371435	189508	0	0	143011	228433	57615	5075	74282	115226	28037	1724	20257	990367	0	0	18610	
2451	1383	0	527	2926	0	4184	0	0	13216	0	13216	0	30060	0	1223	3587		21933	3157	626	17807	3169	13117	0	2522	15285	4041	85	1221	1948	418	0	3657	25064	0	3773	0	
2554	632	0	162	42	0	3384	0	0	0	0	0	0	5551	0	2028	2115		2718	86	86	2217	2115	0	0	834	1383	363	138	1315	800	0	0	3222	3523	0	0	0	
2732	31091	5	2411	68312	0	106044	0	0	15994	0	15994	0	345528	0	50168	197940		68779	47718	11252	45113	190413	9155	0	27411	29460	10779	1129	116214	76965	4469	292	103628	295360	0	0	2665	
2750	7427	0	849	2623	0	7817	0	0	127	649	776	0	33686	0	6909	11489		13680	1090	1921	8261	6747	0	100	2710	5943	4649	378	2936	3811	4515	227	6968	26395	0	382	256	
2938	18945	29	2001	25495	0	41648	0	0	7900	86747	94647	0	515690	0	52723	170505		92958	233281	21141	82720	157220	6408	57536	17041	65679	8197	2041	49799	107421	8426	4859	39618	451568	0	11399	7948	
3252	9511	1	513	11679	0	72282	0	0	0	0	240	0	47359	0	1853	15046		18049	4753	5459	15079	12119	0	240	4086	10993	2402	569	5873	6486	1923	763	71768	45506	0	0	0	
3458	1191	0	2781	2456	0	8255	0	0	0	0	0	0	14666	0	2358	4397		7503	1574	505	5570	4007	0	0	1644	3926	1754	179	1202	2805	390	0	5474	12308	0	0	0	
3720	20594	0	6943	14730	0	56308	0	0	0	0	0	0	90565	0	7223	27781		38809	3381	6857	35752	27436	0	0	11489	24263	2970	87	8695	18741	206	139	49365	83342	0	0	2733	
3953	5301	40	979	22784	0	30180	0	0	297	0	3412	0	74543	0	1554	21145		17746	30351	337	17050	19698	297	3115	6575	10812	280	79	3914	15784	104	1343	29161	72989	0	0	0	
4138	24450	9	6613	22887	0	40504	0	0	0	0	0	0	140860	0	8927	52633		43409	20369	11750	41718	49901	0	0	12915	28803	1664	25	14782	35119	2037	697	33882	131933	0	0	2910	
4156	8785	0	6878	20292	0	38433	0	0	0	0	0	0	112918	0	16591	45298		44366	14469	6588	30949	29106	0	0	8562	22473	9961	3370	18417	19487	6483	911	31555	96327	0	0	2480	
4231	7795	3	6257	13737	0	24165	0	0	0	9574	9574	0	82141	0	1421	41606		28284	4456	17076	20712	26146	0	6318	5326	15387	5835	1737	7388	18858	12726	2634	17905	80720	0	0	11306	
4437	49013	1	2404	17292	0	45134	0	0	7575	448	8023	0	153933	0	8623	34339		52901	17680	10423	31896	12980	6757	448	8545	23351	20367	638	2739	10241	20557	802	42729	144704	0	606	0	
4839	25477	2	17	33800	0	39463	0	0	19739	0	19739	0	204697	0	6509	65702		86468	27050	14806	63674	59195	12712	0	21402	42272	21831	963	23435	35760	6506	0	39444	176016	0	22172	6710	
5005	60543	3	5	27716	0	40643	0	0	0	0	0	0	307682	0	5	97284		135023	14832	24515	89593	59288	0	0	11798	77795	44681	749	5860	53428	37608	388	40635	300634	0	7043	6964	
5069	44083	0	0	13146	0	19925	0	0	38069	122470	160539	0	364684	0	12184	240870		77564	2167	824	64925	224043	31532	114865	19961	44964	10824	1815	80203	143840	16133	694	19925	334196	0	18304	353	
5135	9101	0	21882	38000	0	63507	0	0	0	0	64421	0	190747	0	4776	122205		45005	14436	12431	43245	121079	0	64421	11257	31988	1760	0	35462	85617	1126	0	41625	108214	0	77757	4125	
5210	221210	54	11024	51730	0	74177	0	0	17313	200	18234	0	637697	0	21654	63321		247998	105168	59437	163697	43715	12695	921	31722	133429	77292	5554	7749	36137	18853	582	63099	615341	0	702	8860	
5331	19038	6	0	36245	0	45432	0	0	11011	5144	16155	0	176306	0	0	35656		52220	69393	7983	45871	34788	11011	5144	15325	30546	4463	1886	16473	18315	0	868	45426	176306	0	0	1159	
5461	127842	24	2484	31117	0	41966	0	0	1162	0	1162	0	306816	0	9483	41661		15799	121514	6113	14387	39247	1000	0	5870	8517	1216	196	12529	26718	671	1743	39458	297333	0	0	2608	
5751	4177	6	1979	6950	0	18520	0	0	0	0	0	0	74468	0	25787	16888		12480	40923	4959	7823	14585	0	0	2570	6253	3463	194	9620	4965	2202	101	16535	48681	0	0	1010	
6039	6231	0	5321	10184	0	22379	0	0	0	0	0	0	51769	0	2131	14040		27443	4055	8151	24656	13043	0	0	5823	18833	2787	0	2691	10352	997	0	17015	49632	43	6	2850	
6141	1805	8	5921	13037	0	24959	0	0	0	0	0	0	17369	0	1640	7368		7252	944	970	5625	5307	0	0	1644	3981	1300	327	1034	4273	1384	678	19030	15729	0	0	100	
6329	13811	2	10403	66915	0	97690	0	0	31232	0	31232	0	315610	0	3625	144955		136010	20834	14421	106589	137542	5141	0	40468	66121	17930	11491	47310	90232	5929	1484	87285	311985	0	0	4920	
6972	50846	18	4126	51450	0	78545	0	0	69485	200	107079	0	687890	27	46289	105056		171377	360611	32665	149025	92290	68150	37594	48975	105468	14074	2860	52619	41803	6888	3746	74248	638259	153	3315	9142	
7009	0	50	8	51955	0	51955	0	0	0	0	0	0	548322	0	0	0		0	548322	6217	0	0	0	0	0	0	0	0	0	0	0	0	51897	548322	0	0	0	
7045	10252	2	24390	14132	0	51282	0	0	0	0	0	0	59526	0	5515	11630		25386	12258	5414	15510	7443	0	0	2996	12514	8353	1523	1686	5757	3836	351	26890	54011	0	0	1393	
