"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
2236821								0	59854		2597	8	417230		364571	2161	844251	0			11855	15		
2239288								0	31852		1116	4	400562		494911	1713	928441	0			43980	41		
2239372								4214	0		0	0	0		0	0	0	0			0	0	Bank of Oklahoma, N.A.	
2243977								0	11281		0	0	204656		66530	317	282467	0			5559	8		
2253725								0	11785		258	1	154066		101919	526	268028	0			5144	10		
2253891	29785822	1329728	29977112	1426136	1329728	1426136	1753009	0	0		0	0	23701386		4754708	30017					0	0		
2262718								873	0		0	0	0		0	0	0	0					COLUMBUS BANK & TRUST COMPANY	
2263313								0	8863		0	0	72965		62039	266	143869	0			5353	9		
2265335							0	0	2458	209	0	0	26019	3284	47115	180	75592	0	0	0	2243	5		
2265456								0	77931		1915	5	388147		400024	1149	868017	0			0	0		
2267012								0	1267		0	0	28610		22829	106	52706	0			2331	2		
2267683								0	9141		0	0	42892		124506	280	176539	0			5238	9		
2269847								0	4934		261	1	152028		147815	696	305038	0			12398	30		
2280552							246985	0	58671		4570	14	473422		446897	2548	983560	0	961550	0	8331	14		
2281371								0	0		0	0	35753		50202	135	85955	0			23194	33	+	
2285708								0	15228		256	1	119531		93624	386	228640	0			0	0		
2286554								0	10654		366	1	186172		154820	698	352012	0			10910	14		
2290122								0	7583		0	0	103682		43046	273	154311	0			671	2		
2290887								0	10513		254	1	137849		89155	390	237771	0			3373	7		
2292368								0	1080		502	2	34442		141277	490	177301	0			22299	45		
2297998								0	0		0	0	133711		217631	787	351342	0			13782	21		
2298995								0	43688		1259	4	251018		250520	1105	546485	0			30089	40		
2302379							138003	0	66608		2218	8	866946		301270	1624	1243558	6516	1229466	6519	9545	22		
2303086								0	19136		666	2	255232		235645	1076	510679	0			21152	34		
2304234								0	3471		0	0	33937		30284	116	67692	0			3057	7		
2304382								0	5803		253	1	88728		71749	470	166534	0			649	2		
2304636								0	4198		316	1	42617		26853	145	73984	0			5168	10		
2305969								0	4694		255	1	88867		66712	392	160210	-319			4857	7		
2308326								0	6197		647	2	75471		34889	190	117206	0			1656	1		
2316714								0	10662		4680	2	108632		76493	358	200467	0			0	0		
2317672								0	595		408	1	81752		124703	331	207458	0			3511	7		
2319676							360022	0	29538		259	1	1027954		399166	1827	1456917	0	1507467	0	69708	107		
2325882								0	0		0	0	0		0	0	0	0						
2328137								0	24984		1882	6	285840		124600	622	437306	0			14857	30		
2328249								0	1836		0	0	66818		48897	302	117551	0			0	0		
2328285								0	0		0	0	0		0	0	0	0						
2329200								0	3041		1210	2	22892		53219	174	80363	0			311	1		
2330895								0	1354		0	0	30922		7035	39	39311	0			0	0		
2331838								0	6033		0	0	153283		167355	600	326671	0	343982	0	10554	26		
2332666								0	3079		307	1	114467		64773	344	182625	0			0	0		
2332808							65048	0	0		0	0	550		65148	1	65698	0	71769	0	0	0		
2332910								0	0		0	0	99190		273176	1221	372366	0			0	0		
2333140								0	2909		0	0	61983		62194	235	127086	0			5719	4		
