"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											143					0	0	0	0	
242											201					3300	3	0	0	
279											1599					30979	6	0	0	
354											4					0	0	0	0	
457											235					2000	0	0	0	
505											3298					47700	0	0	0	
1155											1111					0	0	0	11738	
1351											0					0	0	0	0	
1454											1092					0	9	0	0	
1557											144					1761	0	0	0	
1632											2757					30000	0	0	0	
1669											428					209	0	0	0	
1829											2862					35206	1918	0	10970	
1856											4620					87825	0	0	0	
2040											1546					23943	0	0	2724	
2161											276					0	0	0	0	
2376											24971					524453	5644	0	0	
2451											1030					3370	0	0	0	
2554											0					0	0	0	0	
2732											174					299	0	0	0	
2750											526					6600	0	0	0	
2938											2408					29000	0	0	9696	
3252											320					3604	0	0	0	
3458											181					0	0	0	4610	
3720											710					5300	0	0	4009	
3953											1044					5802	4	0	0	
4138											919					1680	32	0	461	
4156											2441					19488	0	0	0	
4231											0					0	0	0	0	
4437											1175					11168	0	0	4611	
4839											2045					38400	0	0	7856	
5005											4728					69726	9932	0	0	
5069											0					0	13347	0	0	
5135											1646					23885	0	0	0	
5210											9170					110877	0	0	39014	
5331											3842					30040	0	10000	93500	
5461											2214					38162	0	0	0	
5751											328					0	0	0	0	
6039											583					0	6	0	0	
6141											0					0	0	0	0	
6329											1135					0	0	0	0	
6972											4933					103330	0	0	7217	
7009											0					0	5447	0	0	
7045											0					0	0	0	0	
7157											23					0	0	0	0	
7456											296					0	0	0	0	
7634											1180					5000	0	0	0	
8033											1523					23022	0	0	0	
8462											21					0	0	0	0	
8631											158					0	0	0	0	
9357											4901					38600	970	0	6138	
9553											755					3537	0	0	0	
9807											18386					305993	0	0	63134	
9955											455					2865	0	0	0	
10157											583					0	0	0	0	
10250											2993					40000	0	0	0	
10849											2528					24265	0	0	0	
10858											1453					21168	15	0	19503	
11145											1085					12361	0	0	0	
11640											3277					30007	0	0	0	
11837											936					7000	0	0	0	
12030											1788					0	0	0	0	
12142											738					2000	0	0	5558	
12245											395					6000	207	0	0	
12311	49921	1061274	119734	1172703	0	539236	1014987	726267	4750	4693154	427772	0	51061394	1536014	46045043	3730446	4282	0	926655	
12647											310					6200	0	0	0	
12656											29					0	0	0	0	
12937											776					11	0	0	0	
12946											2723					24845	648	0	0	
12955											763					7000	0	0	0	
13037											527					0	0	0	0	
13103											12036					152469	61353	0	9787	
13251											140					0	0	0	0	
13457											0					0	1334	0	0	
14052											247					4000	0	0	0	
14155											834					12025	0	0	0	
14454											162					850	0	0	0	
14650											112					0	0	0	0	
14753											9					0	0	0	0	
14865											560					21507	0	0	0	
14977											185					222	0	0	0	
15536											33103					1412500	4204	0	0	
16337											2358					29000	0	0	6023	
16458											788					0	0	0	0	
16551											3377					23931	0	0	0	
16748											294					2000	0	0	0	
16944											0					0	0	0	0	
16953											0					0	0	0	0	
17110											219					0	11106	0	0	
17147											11320					136621	0	0	56791	
17259											420					3500	0	0	0	
17464											10472					249519	427	0	3703	
17950											962					12221	0	0	0	
18050											599					651	0	0	0	
18135											1708					26095	0	0	9939	
18377											120					0	0	0	0	
18827											976					14000	14399	0	0	
18836											930					5652	15	0	0	
18854											386					0	0	0	0	
18957											453					1942	0	0	0	
19356											159					1576	0	0	0	
19730											18195					109920	2265	0	1408	
19936											860					10000	0	0	11719	
19972											214					0	0	0	0	
20053											503					2942	408	0	136	
20147											491					4679	0	0	0	
20370											363					5000	0	0	0	
20512											1060					10000	0	0	0	
20633											1413					12000	1000	0	0	
20857											1274					27602	0	0	0	
20866											1584					18340	0	0	0	
21256											87					500	0	0	0	
21359											114					356	0	0	0	
21630											398					4881	0	0	2431	
21658											442					1340	0	0	0	
22048											747					9986	0	0	3067	
22356											932					734	10	0	13606	
22459											729					6696	0	0	826	
22543											170					0	0	0	0	
22552											300					0	0	0	0	
22730											317					2671	0	0	3860	
