"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	143	139	1070	61	64	0	0	0	0	0	724	0	0	0				
242																0	201	0	413	13	13	0	0	0	0	0	199	0	0	0				
279																2	1599	0	2455	89	91	0	0	0	0	0	699	66	0	0				
354																0	4	65	138	0	0	0	0	0	0	0	69	0	0	0				
457																0	235	0	1080	0	26	0	0	0	0	0	316	503	0	0				
505																0	3298	1926	7730	329	786	0	0	0	0	0	1720	0	0	0				
1155																0	1111	0	7054	216	458	0	0	0	0	0	1891	3594	0	0				
1351																0	0	0	1597	44	86	42	0	0	0	0	1511	0	0	0	computer software			
1454																0	1092	0	9283	878	1167	0	0	0	0	0	2562	4462	0	0				
1557																0	144	0	995	47	58	0	0	0	0	0	793	0	0	0				
1632																0	2757	4333	15409	0	3215	2609	0	0	0	0	4321	783	0	0	Reserve for Federal Taxes			
1669																3	428	126	8473	114	126	0	0	0	0	0	1772	6021	0	0				
1829																0	2862	1571	8768	830	2567	0	0	0	0	0	1768	0	0	0				
1856																0	4620	0	7041	952	952	0	0	0	0	0	1469	0	0	0				
2040																3	1546	344	7041	442	1890	61	1357	0	0	0	968	2293	0	0	Computer Software	Accrued Tax Asset		
2161																0	276	0	3625	225	2628	2403	0	0	0	291	430	0	0	0	Cash Surrender Value-Life Ins			
2376																0	24971	20080	82219	540	1165	625	0	0	0	0	6908	29095	0	0	Suspense and clearing			
2451																0	1030	350	1944	96	279	0	0	0	0	0	285	0	0	0				
2554																0	0	0	145	12	49	36	0	0	0	0	96	0	0	0	software			
2732																0	174	299	4059	61	713	530	0	0	0	0	2560	313	0	0	Federal Income Taxes Current			
2750																0	526	0	2360	176	189	0	0	0	0	0	869	776	0	0				
2938																0	2408	2376	10864	0	1620	883	0	0	0	0	4460	0	0	0	Reserve for Current Taxes			
3252																0	320	0	2804	322	464	142	0	0	0	0	2020	0	0	0	Non Post Debits-DDA			
3458																0	181	0	418	0	32	0	0	0	0	0	205	0	0	0				
3720																0	710	447	5885	280	342	0	0	0	0	0	1006	3380	0	0				
3953																0	1044	0	4270	125	1253	1127	0	0	0	0	1202	771	0	0	supercedius bond			
4138																14	919	1201	4119	167	790	0	0	0	0	0	1209	0	0	0				
4156																0	2441	0	7320	0	0	0	0	0	0	0	1733	3146	0	0				
4231																0	0	263	1584	0	124	0	0	0	0	0	1197	0	0	0				
4437																0	1175	562	6417	268	455	0	0	0	0	0	1179	3046	0	0				
4839																0	2045	0	3629	179	209	28	0	0	0	0	1375	0	0	0	Accounts receivable			
