"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	101	83															5	208	3	380	0	0	3	87	1	134	0	0	false	true	
242	64	109													65	94	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			39	1652	27	3634	10	4095	104	1103	4	407	5	1215			2	48	2	218	1	298	26	256	0	0	0	0	false	false	
354			0	0	0	0	0	0	4	32	1	58	1	222			8	156	8	964	0	0	25	561	1	103	0	0	false	false	
457			12	560	7	967	5	1782	43	910	13	1293	10	3400			24	921	9	1543	4	890	54	1442	12	1485	8	2678	false	false	
505			16	1026	29	3856	42	19136	103	3476	31	3225	15	4390															false	false	
1155			58	1970	40	5334	43	14483	163	3478	39	4391	43	12080			11	431	7	1012	4	1348	43	1008	11	1192	11	2565	false	false	
1351			104	2833	18	2666	14	4488	288	4554	32	3459	14	4708			58	2453	23	2965	6	1598	135	2135	12	1305	0	0	false	false	
1454			75	2598	80	9005	40	15358	409	7143	49	4903	27	7047			14	678	10	1190	4	851	67	1365	4	657	2	284	false	false	
1557	25	79															26	1249	13	1887	11	4201	328	6230	34	4184	23	6019	false	true	
1669			219	2918	18	1613	12	3334	71	1939	18	2365	9	2396			3	45	3	263	0	0	140	1739	1	228	0	0	false	false	
1829			60	2211	42	5555	71	25869	162	4409	31	2850	36	8494															false	false	
1856			11	369	2	248	2	550	42	1190	29	3452	6	2139			7	302	3	217	0	0	24	276	2	211	0	0	false	false	
2040			49	2406	35	6474	55	24998	96	2728	11	885	12	3785			10	532	5	910	5	1464	24	324	2	120	2	605	false	false	
2161			75	1638	7	1004	1	250	700	4270	30	4574	7	2970			5	73	0	0	0	0	169	1528	2	274	1	280	false	false	
2376			6	339	34	5447	248	111068	40	2125	4	709	4	2027															false	false	
2554	3	0													30	60	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2732			10	513	40	6495	123	60582	151	3064	71	5436	104	27367			0	0	1	157	0	0	0	0	0	0	0	0	false	false	
2750			10	451	2	240	0	0	36	1043	5	594	3	950			10	511	12	1633	10	2771	38	878	21	2906	9	2114	false	false	
3252			16	775	11	1594	5	2076	215	6109	17	2213	3	870			27	942	20	2689	22	6750	615	19776	45	5245	15	3767	false	false	
3458			3	15	1	150	0	0	30	453	7	880	7	1824			39	1384	11	1433	5	1346	67	650	0	0	1	336	false	false	
3720			55	1949	41	4931	43	16978	154	2563	22	2054	8	2726			55	1473	25	3166	6	2107	57	1228	16	2135	5	1688	false	false	
3953			21	694	16	2074	32	9034	221	6190	58	5744	38	13650			35	1218	10	1366	7	1779	92	174	21	1931	14	2612	false	false	
4138			146	5360	85	12946	43	21672	344	4642	16	1689	11	3937			3	105	2	258	0	0	0	0	0	0	0	0	false	false	
4156			53	1635	21	2641	19	10008	155	2600	22	1876	15	4725			111	3765	28	3188	9	2713	320	5279	25	2770	3	786	false	false	
4231			148	5057	46	6179	31	11814	77	1677	10	1462	1	257			168	4709	29	3515	13	4245	33	526	4	665	1	270	false	false	
4437			73	3103	43	5384	59	22219	129	2877	44	4370	21	4914			7	374	4	691	3	742	4	6	0	0	1	327	false	false	
4839			104	4791	91	13673	151	111163	137	2158	9	1368	13	5485															false	false	
5005			8	435	19	2706	65	26699	32	484	10	1153	9	2133															false	false	
5069			1	47	8	1217	61	36661	6	285	0	0	4	2161															false	false	
5135			108	3477	56	6277	57	21203	370	6663	29	3371	20	8188			118	4383	57	7570	28	8305	180	4928	51	5755	22	5387	false	false	
5210			97	3797	154	18834	148	58360	245	5340	60	6245	28	9537			18	775	31	3716	10	2507	49	884	4	342	2	661	false	false	
5331			5	293	4	535	19	11467	12	405	5	611	2	1258															false	false	
5461			22	1088	66	9694	128	58494	207	6495	79	6763	67	20555			0	0	3	543	5	1721	6	62	3	119	1	440	false	false	
5751	15	112															14	578	9	1127	3	499	113	3053	36	3596	24	5795	false	true	
6039			69	1952	12	1479	18	8459	93	1998	12	1504	10	3999			49	1320	6	671	6	1468	106	2213	12	1322	4	915	false	false	
6141			29	1159	12	1799	4	1102	24	483	2	232	2	664			38	1714	9	1369	1	180	67	1401	5	664	5	922	false	false	
6329			152	11959	92	12448	66	25280	947	23046	77	8575	17	6486	80	166													true	false	
6972			9	495	22	2801	74	31844	340	7810	95	8675	111	31289			0	0	0	0	1	312	4	89	0	0	1	128	false	false	
7009			0	0	0	0	0	0	0	0	1	50	11	5157															false	false	
7045			43	1985	34	5103	17	5711	40	1071	6	579	5	1307	40	81	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
7157			23	609	8	1193	0	0	56	1271	10	1045	4	1935			18	729	9	1411	0	0	131	1697	4	685	0	0	false	false	
7456			12	371	4	647	5	2041	44	1051	11	1116	17	5408			12	487	10	1435	3	710	44	1171	22	1990	14	2989	false	false	
7634			42	1518	23	3164	11	3352	90	1602	9	1027	4	1315			17	657	4	513	3	588	27	631	2	280	1	306	false	false	
8033			11	566	25	3693	17	5230	145	2779	34	3359	17	4429			4	104	9	1198	4	958	23	467	8	750	10	1557	false	false	
8462			18	654	6	861	1	460	114	2295	12	958	19	5487			17	712	10	1143	2	873	42	1145	19	2021	12	2229	false	false	
8631			12	370	11	1453	6	2008	55	1301	8	888	14	4897			1	80	0	0	0	0	8	91	0	0	0	0	false	false	
9357			4	206	12	1438	44	19196	214	4955	107	9490	128	31149			0	0	0	0	0	0	1	5	0	0	0	0	false	false	
9553			6	198	5	666	0	0	40	932	10	999	6	1675			32	1221	45	5468	31	8156	71	1617	40	3685	48	10716	false	false	
9807			13	717	40	5660	120	54491	240	4226	45	7913	36	17139															false	false	
9955			19	399	5	631	12	6094	134	1092	8	841	11	4077	0	0	92	2988	32	4221	10	2338	110	2461	18	1516	6	1496	false	false	
10250			31	1210	88	14554	99	47916	547	13228	134	13580	66	22808			0	0	0	0	2	718	0	0	0	0	0	0	false	false	
10849			58	1375	35	5010	36	14789	58	1099	8	949	7	1666			34	1232	12	1614	7	1161	60	1357	11	1036	3	1211	false	false	
10858			56	2261	35	4642	68	29801	354	8213	90	9920	55	13237			59	3000	70	10022	20	5738	291	7518	98	10020	36	8616	false	false	
11145			151	6568	85	11645	53	22854	84	1419	2	180	2	730	0	2													true	false	
11640			77	2313	33	3818	37	12504	318	6813	52	5856	22	6203			77	1809	42	5048	21	6275	165	4281	59	6322	48	9233	false	false	
11837			13	748	9	1081	17	5362	11	265	6	405	2	1053			13	536	2	147	1	309	4	101	0	0	1	258	false	false	
12030			268	10966	97	17192	79	37688	618	12366	38	4824	20	9098			183	7131	71	12602	37	8017	129	2823	6	590	3	648	false	false	
12142			47	1736	33	4064	36	14186	154	3298	31	3445	13	4119			16	532	6	843	4	915	37	1030	3	434	8	1933	false	false	
12245			119	6486	78	10741	27	7765	96	2081	12	898	0	0			12	324	1	13	2	712	6	116	0	0	0	0	false	false	
12311			3698	149377	3569	444920	4059	1513281	15297	440699	3078	312312	2827	836520			319	12878	234	27323	82	20472	593	15557	139	13414	44	9345	false	false	
12647			18	473	29	4008	22	9328	156	3229	29	3136	18	6184			19	902	11	1668	9	2544	43	873	14	1515	4	512	false	false	
12656	15	41													20	58	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
12937			15	1050	21	3740	41	20702	38	1388	6	910	5	2557			0	0	2	389	0	0	0	0	0	0	0	0	false	false	
12946			114	4405	94	12821	79	28943	667	11278	89	7946	46	11545			58	2082	25	2183	19	4867	19	273	4	562	5	1065	false	false	
12955			78	2666	36	5554	48	22846	110	2749	24	3630	21	5835			2	69	1	200	1	448	1	37	0	0	0	0	false	false	
