"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
743679								12722	2915	0	0	0	3961	5449	0	5449	397	
743857								31637	3592	0	0	0	1391	418	0	418	26236	
743950								1813										
744238								2671										
744256								17381										
744854								56226										
745150								8231										
745347								13535										
745570								26116	282	0	0	0	1309	283	0	283	24242	
745646								6713										
745954								505										
746157								8022										
746223								5242										
746429								8704										
746513								8389	2087	0	0	0	4207	555	0	555	1540	
746755								4475										
746942								1990										
747051								5504										
747257								4876										
747743								5081										
747846								6901										
748254								36109										
748357								5325										
748441								3426										
748964								41402										
749046								30127	2486	0	0	0	4389	5598	0	5598	17654	
749242								295474	0	0	0	0	29766	29278	0	29278	236430	
749635								15444	4121	0	0	0	5962	5357	0	5357	4	
749840								3905										
749943								6701										
749952								1559										
750051								6878										
750127								10994	0	0	0	0	1648	9247	0	9247	99	
750154								7811										
750239								90019	0	0	0	0	4323	45790	0	45790	39906	
750305								66388	47	0	0	0	5530	46604	0	46604	14207	
750341								39420										
750444								5743										
750846								2362										
750864	426832	1819	0	29423	0	228308	167282	426832	975	29423			844	228308			167282	
751254								34534										
751656								37383	11154	0	0	0	7981	4892	0	4892	13356	
751759								62376	17541	0	0	0	10894	14069	0	14069	19872	
751852								31182										
751955								3591										
752644								11357										
752653								13203										
752831								6039										
753052								3127										
753324								12440	2288	0	0	0	3099	899	0	899	6154	
753548								2609										
753641								5906										
753856								5262										
754068								10942										
754246								1233										
754536								13565										
754826								25972	3453	0	0	0	6851	298	0	298	15370	
754853								51813	8615	0	0	0	5391	27529	0	27529	10278	
754929								67906	6185	0	0	0	5922	10087	0	10087	45712	
755047								38688	2665	0	0	0	2111	33431	0	33431	481	
755252								21773										
755421								1458										
755458								3195										
755850								15074	1312	0	0	0	568	12537	0	12537	657	
756343								9377										
756848								8351	0	0	0	0	1564	6787	0	6787	0	
757377								4648	1613	0	0	0	1315	495	0	495	1225	
757452								2850										
757612								26309										
757779								12337										
758703								142625	188	0	0	0	3425	8924	0	8924	130088	
758842								9730										
758851								4467										
759045								4938	0	0	0	0	731	3954	0	3954	253	
759250								736	0	0	0	0	205	531	0	531	0	
759540								5387										
759625								26756	19	0	0	0	2025	7187	0	7187	17525	
760210								7094										
760331								55196	22	0	0	0	5781	17207	0	17207	32186	
760340								11539										
760434								6670										
760649								8235										
760854								15934	3589	0	0	0	6368	736	0	736	5241	
760939								1640										
760957								2390										
761178								10865										
761244								7775										
761347								10912										
761459								7930										
761543								8284	10	0	0	0	1221	5731	0	5731	1322	
761806	237789	89890	0	0	0	52741	95158	237789	25066	0			64824	52741			95158	
761833								12067										
761851								6772										
761954								4022										
762045								2632										
762054								16557										
762353								4347	1574	0	0	0	152	2621	0	2621	0	
762447								215379	7835	0	0	0	8156	12714	0	12714	186674	
762625								21587										
763211								4074										
763556								2998										
763752								8228										
763930								35894	3	0	0	0	4781	13750	0	13750	17360	
764030								322660	16342	0	0	0	19290	283540	0	283540	3488	
764058								68708	6083	0	0	0	2107	311	0	311	60207	
764067								10097										
764142								2632										
764151								4054										
764441								4407										
764647								10403										
764816								4194										
764843								1799										
764982								43619	0	0	0	0	6724	35312	0	35312	1583	
765019								53103	12460	0	0	0	4474	22234	0	22234	13935	
765046								5559										
765130								43243										
765318								3001										
765354								2628										
765505								21928	4078	0	0	0	2850	441	0	441	14559	
765662								3093										
766052								8867										
766164								22532										
766258								52821	8979	0	0	0	2886	5092	0	5092	35864	
766735								40365										
767040								7613										
767152								3505										
767246								5614										
767255								15781										
767554								2954										
767611								17209										
767705								13247										
767732								26943	1975	0	0	0	4202	20564	0	20564	202	
767769								7062										
767817								6865										
768074								139863	681	0	0	0	284	9546	0	9546	129352	
768252								25520										
768458								4044										
768953								14243										
769156								6852										
769334								3034										
770068								7494										
770367								93851	23398	0	0	0	2480	709	0	709	67264	
770433								8216										
770451								4599										
770545								1295										
770639								35250										
770657								8523	3055	0	0	0	3781	1472	0	1472	215	
770853								14612										
771047								1500										
771140								12539										
771458								85947	11748	0	0	0	4263	611	0	611	69325	
771609								12009	15	0	0	0	2743	8661	0	8661	590	
771636								6742										
771748								2387										
772008								9396	9	0	0	0	2820	5175	0	5175	1392	
772240								12674										
772446								11432										
772558								26603	729	0	0	0	1038	313	0	313	24523	
772745								1121										
772754								5239										
773032								19799										
773247								62821	1	0	0	0	8261	29034	0	29034	25525	
773443								31788	670	0	0	0	2206	456	0	456	28456	
773546								12089										
773742								52631										
774105								7554										
774132								21263	0	0	0	0	3052	17974	0	17974	237	
774235								9726										
774253								2779										
774262								172294	12935	0	0	0	11817	23643	0	23643	123899	
774347								3445										
774655								13033										
774851								3108										
775054								2774										
775214								43299	25213	424	0	424	15654	20	0	20	1988	
775241								5304	0	0	0	0	730	4203	0	4203	371	
775456								20594	5791	0	0	0	1960	179	0	179	12664	
775540								1952										
776248								5109										
776275								3439										
776369								21611										
776547								5487										
776659								13432										
776734								2496										
776752								3404										
777254								1708										
777366	124813	3562	0	13529	0	7299	100423	114347	2376	3082			1167	7299			100423	
777441								18805										
777553								6632										
777870								35256										
777964								1217										
778466								38900	14627	0	0	0	3304	12160	0	12160	8809	
778738								16167	4	0	0	0	4176	11627	0	11627	360	
779016								13330										
779351								129313	47	0	0	0	5317	17337	0	17337	106612	
779360								18340	576	0	0	0	3181	4099	0	4099	10484	
779641								1069										
779650								34350										
779968								97263	1814	0	0	0	709	15393	0	15393	79347	
780049								12212										
780218								37728	3465	0	0	0	2880	7773	0	7773	23610	
780263								27925										
780562								13608										
780722								14165	2419	0	0	0	3514	8182	0	8182	50	
780955								4268										
781028								24691	7	0	0	0	4312	9702	0	9702	10670	
782016								8199										
782351								12947										
782548								1249										
782650								3459										
783161								132029	0	0	0	0	2860	9455	0	9455	119714	
783246								8549										
783349								1669										
783648	96902	37088	0	0	0	879	58935	96902	14617	0			22471	879			58935	
783844								59408	0	0	0	0	3818	2523	0	2523	53067	
783910								11158										
783956								1486										
783965								3369										
784159								4441										
784430								5768										
784944								8744										
785062								894660	45479	0	0	0	30572	31272	0	31272	787337	
785147								39024	0	0	0	0	3603	19123	0	19123	16298	
785259								227208	11484	0	0	0	9372	5485	0	5485	200867	
785857								23749										
785923								40628	10200	0	0	0	5936	19260	0	19260	5232	
785932								25155										
785950								11189										
786210								41004	5381	0	0	0	3630	1063	0	1063	30930	
786256								428										
786340								10044										
786443								2720										
786555								5542										
786612								57202	4022	0	0	0	2628	50173	0	50173	379	
786733								9786	679	0	0	0	2235	68	0	68	6804	
786742								13593										
786948								3552										
787141								4086										
787253								129367	4723	0	0	0	4725	1147	0	1147	118772	
787440								3359	5	0	0	0	324	3030	0	3030	0	
787459								8038										
787842								2040										
788559								3814										
788652								11401										
789051								1396										
790150								1276	0	0	0	0	714	555	0	555	7	
790271								10487										
790534								76985	8012	40236	0	40236	4356	4503	0	4503	19878	
790543								40151	4514	0	0	0	3577	997	0	997	31063	
790703								2756										
790721								26867	146	0	0	0	7176	4802	0	4802	14743	
790851								43085	1414	0	0	0	673	1665	0	1665	39333	
790918								21848	42	0	0	0	4634	13586	0	13586	3586	
791072								8325										
791205								1144										
791353								11645										
791746								2714										
791821								7797	1400	0	0	0	2506	294	0	294	3597	
791942								22991										
792248								925										
792453								8759										
792640								8845										
792659								8830										
792743								1650										
793571								22352	22	0	0	0	1304	6228	0	6228	14798	
794149								12924										
794336								28893	7	0	0	0	1301	20232	0	20232	7353	
794345								3645										
794608								7388	0	0	0	0	1513	5874	0	5874	1	
794653								1156										
795249								1210										
795548								3681										
795959								5108										
795968	444527	254487	0	5540	0	3072	181428	419216	141417	5540			87995	2836			181428	
796125								25716	53	0	0	0	2888	18405	0	18405	4370	
796152								10537										
796451								10726	0	0	0	0	2171	562	0	562	7993	
796657								12939										
796769								5848										
797140								2750										
797319								5103										
797467								51702	118	0	0	0	4926	11939	0	11939	34719	
