"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	7382	0	0	28972	0	556	50	1175	82441	64396	544	64940	0	870	0	0	0	17501	1200	82441	0	0	12213	0	0	3500	0	6703	57693			0	45176	44306	588	0	0	0	0	17501	
242																																							398	936	0	0	8415	0	231	0	553	32321	23222	35	27857	0	177	0	4600	0	4464	120	32321	0	0	3997	0	0	120	0	4508	18714			0	21728	21551	227	237	0	0	0	4464	
279																																							4253	2196	45	45106	17472	263	6469	0	3441	156512	104349	621	133231	0	474	0	28261	0	23281	1	156512	0	0	22665	0	0	0	0	5988	98361			0	76621	76147	615	1120	0	0	0	23281	
354																																							99	249	0	0	4760	0	45	0	174	9590	8540	14	8554	0	215	0	0	0	1035	25	9589	0	0	461	0	0	500	0	2167	6373			0	4296	4081	49	182	0	0	0	1035	
457																																							589	1766	0	179	501	0	114	173	1356	39320	31343	203	36046	0	418	0	4500	0	3274	60	39320	0	0	773	0	0	2440	0	2819	28524			0	30769	30351	1	4291	0	0	0	3274	
505																																							62294	2027	65	0	68136	0	4146	767	9824	388414	309630	3313	358443	58	4504	1595	45500	0	29913	6480	388414	0	0	13057	0	0	10653	388	46945	262685			0	240676	236172	-277	3000	0	0	0	29971	
1155																																							6211	6157	0	246	27402	0	4411	2727	7076	197384	165471	1772	177886	0	2131	0	0	0	19498	1600	197384	0	0	12106	0	0	4900	1725	19397	146074			0	143560	141429	892	0	0	0	10643	19498	
1351																																							0	2412	0	62772	4924	0	1044	104	1835	146709	125867	677	126544	0	1432	0	0	0	20165	240	146709	0	0	19222	0	0	530	0	12476	113391			0	71405	69973	173	3645	0	0	0	20165	
1454																																							36301	14306	0	0	210351	0	4672	0	10627	491852	438583	1068	439651	0	3318	0	0	0	52201	1000	491852	0	0	44580	0	0	1214	1596	113019	325564			0	217317	213999	5407	0	0	0	0	52201	
1557																																							1990	1720	0	11114	4204	0	269	0	1295	55301	47429	571	49964	0	381	0	1964	0	5337	200	55301	0	0	4049	0	0	1000	0	8914	38515			0	30914	30533	88	4176	0	0	0	5337	
1669																																							16960	8258	909	84411	41271	0	1603	4	9972	248986	202771	802	203635	0	2054	0	62	0	45351	800	248986	0	0	42409	0	0	800	0	25806	176965			0	84121	82067	1342	3531	0	0	0	45351	
1829																																							52123	4469	518	0	76756	0	3158	40	8737	415081	331404	1754	373000	0	3979	8144	27757	0	42081	390	415081	0	0	37290	0	0	3100	0	63929	267474			0	265115	261136	1301	0	0	0	12085	42081	
1856																																							33062	728	0	24093	72249	0	367	0	4544	174598	99105	198	153303	0	202	98	54000	0	21295	500	174598	0	0	264	0	0	17782	0	1896	97210			0	39659	39457	2749	0	0	0	0	21295	
2040																																							47	2483	0	0	43360	0	3415	545	7292	207163	162241	1000	186996	0	3493	0	20000	0	20168	480	207164	0	0	15235	0	0	4270	0	12638	149602			0	153376	149883	183	138	0	169	3586	20168	
2161																																							8038	11208	0	1	40226	0	1659	0	4542	124614	108786	1938	110724	0	588	0	0	0	13890	1000	124614	0	0	10804	0	0	1253	0	19501	89285			0	59528	58940	833	0	0	0	0	13890	
2376																																							110517	9222	0	56194	600005	0	14715	6294	99638	2429371	1290934	32790	2032601	65	27007	0	526579	0	396705	500	2429371	0	0	406712	1553	0	16864	0	62898	1228036			-29727	1558240	1531233	2356	0	0	182298	0	396770	
2554																																							3524	276	0	70	12	0	108	0	214	10047	8522	38	8925	0	83	289	0	0	1122	50	10047	0	0	97	0	0	975	0	1762	6760			0	5637	5554	0	0	0	365	0	1122	
2732																																							39216	23281	1112	0	64798	0	5154	2341	5745	529550	452700	2962	455801	0	4610	0	139	0	73749	0	529550	0	0	66651	0	0	5789	0	84646	368054			0	392513	387903	1309	0	0	0	0	73749	
2750																																							199	2215	0	0	13812	0	286	255	2526	56869	44229	269	51300	0	613	0	6300	0	5569	83	56869	0	0	5187	0	0	93	0	3044	41185			0	37774	37161	206	415	0	502	0	5569	
3252																																							2406	4645	0	100	70624	0	663	0	3837	157370	134487	357	138351	0	1306	0	3507	0	19019	200	157370	0	0	17300	0	0	300	0	12416	122071			0	71601	70295	1219	4800	0	0	0	19019	
3458																																							3163	2422	0	2804	6780	0	364	344	599	31247	25014	264	28073	0	283	0	0	0	3174	100	31247	0	0	1855	0	0	1101	0	2692	22322			0	14282	13999	118	772	0	0	2795	3174	
3720																																							13076	4599	0	4614	47984	0	3358	141	6144	192555	154389	1384	164868	0	1505	0	5109	0	27687	2400	192555	0	0	13504	0	0	10800	230	15945	138444			0	113914	112409	983	0	0	0	3986	27687	
3953																																							20	2174	0	0	4	0	3516	495	3362	120757	103470	1078	112313	0	2735	0	7765	0	8444	500	120757	0	0	4264	0	0	3680	8691	21528	81942			0	105230	102495	0	0	0	0	0	8444	
4138																																							12914	3563	0	0	30552	23	6654	2827	3421	179023	159413	322	162859	0	2902	0	1229	0	16164	300	179023	0	0	13181	0	0	1800	0	19438	139975			0	121921	119019	883	50	0	0	1895	16164	
4156																																							68	5386	0	0	28192	0	7392	352	8143	187198	137324	653	168041	0	2130	1783	28000	0	19157	1200	187198	0	0	11087	0	0	5981	970	19374	117950			0	137042	134912	889	0	0	1220	844	19157	
4231																																							500	7744	0	0	32325	0	977	1612	1785	128207	112352	1057	113409	0	760	0	0	0	14798	500	128207	0	0	2040	0	0	12100	0	17096	95256			0	84024	83264	158	0	0	0	0	14798	
4437																																							7182	4581	0	630	77010	0	5782	2386	7864	263937	228718	973	238037	0	3196	0	4265	0	25900	963	263937	0	0	19613	0	0	3750	0	20473	208245			0	159097	155901	1574	2601	0	0	4081	25900	
4839																																							193	4869	0	0	47474	84	5913	8339	4759	309087	250498	1197	278081	0	4076	0	19000	0	31006	1875	309087	0	0	15213	0	0	12929	0	36628	213869			0	238582	234506	989	2950	0	0	7386	31006	
5005																																							24544	3142	726	288	52367	0	7153	12152	20939	388120	301821	4480	362616	0	2581	2646	56315	0	25504	0	388120	0	0	-3504	0	0	28132	0	29798	272023			0	260821	258240	876	5923	0	0	0	25504	
5069																																							53975	3066	0	0	27031	0	17931	6725	8625	495294	376475	7079	383554	0	30128	0	0	0	111740	4500	495294	0	0	101362	0	0	4129	0	17959	358516			0	408069	377941	1749	0	0	0	0	111740	
