"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	870	135	31	0	963	259	0			0	0	
242	178	0	11	0	167	0	0			0	0	
279	474	90	2	0	527	145	0			0	0	
354	215	0	19	0	196	0	0			0	0	
457	418	393	25	0	436	436	0			0	0	
505	4504	445	16	0	4348	305	0			0	0	
1155	2131	1196	26	0	2207	1298	0			0	0	
1351	1432	667	46	0	1120	401	0	0	0	0	0	
1454	3318	450	83	0	2943	158	0			0	0	
1557	381	0	0	0	381	0	0	0	0	0	0	
1669	2054	194	36	0	1955	131	0			0	0	
1829	3979	475	8	0	4121	625	0			0	0	
1856	202	45	1	0	229	73	0			0	0	
2040	3493	812	163	0	2895	377	0			0	0	
2161	588	35	13	0	562	22	0			0	0	
2376	27007	6950	0	0	22164	2107	0			0	0	
2554	83	19	0	0	70	6	0			0	0	
2732	4610	2150	13	0	4505	2058	0			0	0	
2750	613	213	3	0	520	123	0			0	0	
3252	1306	605	259	0	1089	647	0			0	0	
3458	283	45	7	0	263	32	0			0	0	
3720	1505	53	14	0	1641	203	0			0	0	
3953	2736	2470	192	0	1931	1857	0			0	0	
4138	2901	1521	85	0	2766	1471	0			0	0	
4156	2130	887	439	0	2539	1735	0			0	0	
4231	760	910	21	0	1138	1309	0			0	0	
4437	3196	1120	13	0	3094	1031	0			0	0	
4839	4076	1150	56	0	3519	649	0			0	0	
5005	2581	4105	150	0	8634	10308	0			0	0	
5069	30128	6000	4801	0	19337	10	0			0	0	
5135	3530	635	18	0	3607	730	0			0	0	
5210	15278	4610	42	0	11981	1355	0			0	0	
5331	2400	1450	1	0	2236	1287	0			0	0	
5461	4377	1217	72	0	3718	650	20			0	0	
5751	1068	0	3	0	1076	11	0			0	0	
6039	1177	220	28	0	1006	77	0			0	0	
6141	343	45	23	0	409	134	0			0	0	
6329	8754	12050	277	0	5414	8987	0			0	0	
6972	22100	27166	2996	12644	26150	21568	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	841	175	22	0	776	132	0			0	0	
7157	367	450	8	0	192	283	0			0	0	
7456	431	10	5	0	426	10	0	0	0	0	0	
7634	1192	699	47	0	2899	2453	0			0	0	
8033	917	0	49	0	897	29	0			0	0	
8462	470	25	24	0	458	37	0			0	0	
8631	448	118	4	0	387	61	0			0	0	
9357	6179	150	9	0	6268	248	0			0	0	
9553	823	50	1	0	783	11	0			0	0	
9807	54495	5000	2844	0	61520	14869	0			0	0	
9955	807	165	13	0	730	101	0			0	0	
10250	9831	12245	230	0	6283	8927	0			0	0	
10849	4146	2250	307	0	6069	4480	0			0	0	
10858	2977	765	185	0	9752	1092	-6633	0	0	0	0	
11145	2005	825	49	0	1783	652	0			0	0	
11640	2762	481	278	0	2374	371	0			0	0	
11837	1059	950	14	0	1220	1125	0			0	0	
12030	9528	4225	3233	0	9867	7797	0			0	0	
12142	1641	45	96	0	1741	241	0			0	0	
12245	1398	543	24	0	1153	322	0			0	0	
12311	1314557	524813	94922	0	1464576	769754	0			0	0	
12647	716	190	25	0	752	251	0			0	0	
12656	235	20	10	0	212	7	0			0	0	
12937	1513	327	14	0	1254	82	0			0	0	
12946	8329	4198	192	0	7176	3237	0			0	0	
12955	951	485	57	0	991	582	0			0	0	
13037	2232	400	18	0	2041	227	0			0	0	
13103	9922	3700	140	0	9705	3623	0			0	0	
13251	622	0	22	0	600	0	0			0	0	
13457	119	6	0	0	113	0	0			0	0	
14052	984	305	24	25	737	57	0	0	0	0	0	
14155	1667	325	288	0	1414	360	0			0	0	
14454	280	60	1	0	592	373	0			0	0	
14650	193	68	19	0	187	81	0			0	0	
14753	503	0	0	0	515	12	0			0	0	
14865	3220	465	12	0	3434	691	0			0	0	
14977	328	0	0	0	328	0	0			0	0	
16337	20022	16409	951	0	13007	10345	0			0	0	
16458	2119	383	27	0	2106	397	0			0	0	
16551	2277	725	70	0	2365	883	0			0	0	
16748	448	30	13	0	447	42	0			0	0	
16944	220	67	9	0	224	80	0			0	0	
16953	77	8	10	0	125	66	0			0	0	
17110	319	0	0	0	720	401	0			0	0	
17147	83660	39405	5828	0	92131	53704	0			0	0	
17259	133	111	36	0	190	204	0			0	0	
17464	51533	19000	7861	0	58586	33914	0			0	0	
17950	2232	456	17	0	1800	41	0			0	0	
18050	2435	390	77	0	2240	272	0			0	0	
18135	1347	398	15	0	1341	407	0			0	0	
18377	152	0	0	0	152	0	0			0	0	
18827	3939	1330	17	0	2907	315	0			0	0	
18836	2542	1522	150	0	1700	830	0			0	0	
18854	1146	380	10	0	773	17	0			0	0	
18957	751	545	10	0	552	356	0			0	0	
19356	841	0	21	0	874	54	0			0	0	
19730	51535	30300	259	0	42606	21630	0			0	0	
19936	3280	2350	20	0	3607	2697	0			0	0	
19972	240	0	0	0	240	0	0	0	0	0	0	
20053	1009	932	90	0	904	917	0			0	0	
20370	5997	5478	206	0	4393	4080	0			0	0	
20512	552	2	24	0	628	102	0			0	0	
20633	2774	270	67	0	2530	93	0			0	0	
20857	621	486	0	0	364	229	0			0	0	
21256	143	7	1	0	135	0	0			0	0	
21359	150	34	0	0	141	25	0			0	0	
21630	348	0	0	0	349	1	0			0	0	
21658	1376	376	11	0	1435	446	0			0	0	
22048	2744	909	223	0	2512	900	0			0	0	
22356	2498	1453	21	0	1679	655	0			0	0	
22459	1112	54	124	0	989	55	0			0	0	
22543	877	160	34	0	709	26	0			0	0	
22552	638	275	4	0	457	98	0			0	0	
22730	682	45	14	0	695	72	0			0	0	
22936	6204	4656	201	0	3567	2220	0			0	0	
22954	1150	205	67	0	1092	214	0	0	0	0	0	
23045	216	0	1	0	219	4	0			0	0	
23241	95539	98220	2321	0	88670	80806	-12866			0	0	
23456	702	204	10	0	753	265	0			0	0	
23504	7792	2600	67	0	6045	920	0			0	0	
23540	1258	626	12	0	861	241	0			0	0	
23643	1694	450	175	0	1918	849	0			0	0	
23755	1327	278	25	0	1552	528	0			0	0	
23812	22101	982	1059	0	23217	3157	0			0	0	
24006	4389	2898	16	0	4721	3246	0			0	0	
24453	8853	14811	2	0	3924	9884	0			0	0	
24659	382	257	7	0	349	231	0			0	0	
24668	1462	0	45	0	1466	49	0			0	0	
24855	77	0	0	0	77	0	0			0	0	
24949	13095	7780	653	0	17139	12477	0			0	0	
25357	755	145	11	0	645	46	0			0	0	
25647	1694	399	9	0	1595	309	0			0	0	
26149	673	370	0	0	360	57	0			0	0	
26242	2519	455	198	0	2419	553	0			0	0	
26457	188	0	0	0	192	4	0			0	0	
26765	3697	419	498	174	5543	2589	0			0	0	
26859	4886	2725	85	0	5480	3404	0			0	0	
26916	6713	1663	189	0	8960	4099	0			0	0	
27548	6368	3433	135	0	5471	2671	0			0	0	
27614	1499	270	33	0	1387	191	0			0	0	
27847	4206	1275	78	837	3690	0	0			0	0	
28152	773	0	3	0	771	1	0			0	0	
28255	1538	418	22	0	1155	57	0			0	0	
28349	2469	1200	17	0	1382	130	0			0	0	
28406	2433	237	6	0	3067	877	0			0	0	
28572	1083	490	20	0	1070	497	0	0	0	0	0	
28732	907	427	4	0	500	24	0			0	0	
29104	8770	3028	16	0	8711	2985	0			22	0	
29636	6295	1717	188	0	5526	1136	0			0	0	
29953	1316	220	15	0	1084	3	0			0	0	
30052	230	4	0	0	226	0	0			0	0	
30258	12238	7583	2264	0	12685	10294	0			0	0	
30418	79	0	0	0	79	0	0			0	0	
30502	8774	2645	253	0	8077	2201	0			0	0	
30650	3256	1061	86	0	3142	1033	0			0	0	
30810	3697831	2770286	350515	23000	3855191	3255161	0	0	797976	0	0	
31134	654	225	27	0	570	168	0			0	0	
31255	3132	490	230	0	2952	540	0			0	0	
31657	551	70	53	0	600	172	0			0	0	
31826	4036	1700	51	0	2565	280	0			0	0	
31835	1410	225	113	0	1268	196	0			0	0	
32234	314	26	0	0	290	2	0			0	0	
32766	206	56	5	0	196	51	0			0	0	
33147	5241	900	198	0	5642	1499	0			0	0	
33259	14931	16400	97	0	10919	12485	0			0	0	
33268	671	0	7	0	682	18	0			0	0	
33727	7177	3149	77	0	6191	2240	0			0	0	
33754	72	0	0	0	72	0	0			0	0	
33839	74	1	0	0	80	7	0			0	0	
33857	786	125	46	0	615	0	0			0	0	
34153	21258	5225	1814	0	19521	5352	50			0	0	
34359	358	0	10	0	478	130	0	0	0	0	0	
34425	3330	524	200	0	3769	1163	0			0	0	
34434	1054	128	6	0	958	38	0			0	0	
34452	412	82	1	0	362	33	0			0	0	
34537	38447	27705	2092	0	45192	36542	0			0	0	
34555	1179	139	33	0	1051	44	0			0	0	
34742	2452	242	45	0	2945	780	0			0	0	
