"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4483	363	0	0	56963	5192	3130	8	64576	0			0	0	0	0	0	0	0	0	0				
242																0	1901	160	0	0	20641	2765	715	2	23257	0			0	0	0	0	0	0	0	0	0	714	2.00		
279																0	12163	366	420	1	88972	7080	2905	10	104460	0			0	0	0	0	0	0	0	0	0	0	0.00		
354																0	0	0	0	0	7647	795	908	2	8555	0			0	0	0	0	0	0	0	0	0	353	1.00		
457																0	1997	120	0	0	24662	2606	4728	10	31387	0			0	0	0	0	0	0	0	0	0				
505																0	8648	477	275	1	194030	19694	106939	108	309892	0			0	0	0	0	0	0	0	0	1517				
1155																0	13457	630	878	3	126732	12537	24681	44	165748	0	172305	0	0	0	0	0	0	0	0	0	0	11447	10.00		
1351																0	7868	264	909	2	70827	5020	46710	101	126314	0			0	0	0	0	0	0	0	0	0				
1454																0	21433	1558	1464	5	284254	32134	131565	165	438716	0			0	0	0	0	0	0	0	0	0				
1557																0	2037	341	0	0	34685	2594	10781	15	47503	0			0	0	0	0	0	0	0	0	0				
1669																0	12557	534	0	0	137941	12500	52546	38	203044	0			0	0	0	0	0	0	0	0	0	6068	11.89		
1829																0	20860	1766	3999	7	244063	25410	63461	100	332383	0			0	0	0	0	0	0	0	0	2889	10694	20.00		
1856																0	0	0	0	0	96392	694	2897	3	99289	0			0	0	0	0	0	0	0	0	0	0	0.00		
2040																0	8469	517	0	0	121006	8740	33198	47	162673	1	166638	1	0	0	0	0	0	0	0	0	9881				
2161																0	7442	316	354	1	73226	6967	27847	34	108869	0			0	0	0	0	0	0	0	0	0				
2376															85000	0	77590	3896	2131	7	1028733	60148	189562	420	1298016	0	1309362	0	0	0	0	0	0	0	0	0	0	11543	15.60		
2554																0	89	1	0	0	7183	510	1250	2	8560	40			0	0	0	0	0	0	0	0	0	0	0.00		
2732																0	14462	565	569	2	233715	10331	204672	225	453418	0			0	0	0	0	0	0	0	0	0	29083	46.00		
2750																0	1875	113	0	0	32595	2247	9827	19	44297	0			0	0	0	0	0	0	0	0	0				
3252																0	5845	263	0	0	54764	6652	74052	62	134661	0			0	0	0	0	0	0	0	0	0	45912	44.29		
3458																0	593	25	0	0	19295	1767	5153	6	25041	0			0	0	0	0	0	0	0	0	0				
3720																0	7216	301	633	2	106600	12303	40069	63	154518	0			0	0	0	0	0	0	0	0	0	9551	24.00		
3953																0	343	18	0	0	87622	6713	15554	28	103519	0			0	0	0	0	0	0	0	0	0	5709	9.76		
4138																0	11136	381	592	2	129434	13356	18401	39	159563	0			0	0	0	0	0	0	0	0	0	3411	10.00		
4156																0	6565	293	270	1	111799	9344	18939	34	137940	367			0	0	0	0	0	0	0	0	0				
4231																0	12830	328	7606	21	81249	6985	11362	23	113047	0			0	0	0	0	0	0	0	0	0	2480	7.00		
4437																0	12064	570	336	1	175373	13929	41094	81	228867	0	232675	0	0	0	0	0	0	0	0	0	5375				
4839																0	9530	397	1628	2	101828	10039	137753	500	250871	131			0	0	0	0	0	0	0	0	0	5561	11.99		
5005																0	23962	1261	288	1	243633	18752	38429	78	306312	0			0	0	0	0	0	0	0	0	0	12460	20.67		
5069																0	782	25	557	2	252534	4628	124812	403	378685	0			0	0	0	0	0	0	0	0	0				
5135																0	12466	617	811	3	155652	10673	93056	100	261985	0			0	0	0	0	0	0	0	0	0	8406	11.00		
5210																0	60483	7859	1687	6	611276	14844	93988	162	767434	0			0	0	0	0	0	0	0	0	13628				
5331																0	8376	794	260	1	189138	12118	42604	82	241802	1424			0	0	0	0	0	0	0	0	11369	7692	12.00		
5461																0	4669	211	1477	2	199787	12488	203483	240	409416	0			0	0	0	0	0	0	0	0	10315				
5751																0	5355	220	0	0	47380	3396	37997	39	90732	0			0	0	0	0	0	0	0	0	0	1737	3.32		
6039																0	7759	578	288	1	51840	4852	11919	19	71806	0			0	0	0	0	0	0	0	0	0	867	3.00		
6141																0	1061	50	0	0	26797	2314	20123	24	47981	0			0	0	0	0	0	0	0	0	0				
6329																0	13607	616	1977	5	358755	27929	79494	157	453833	0			0	0	0	0	0	0	0	0	0				
6972																0	29961	1581	772	3	480779	41775	226919	347	738431	0			0	0	0	0	0	0	0	0	40421	82151	97.88		
7009																0	1121	22	1289	3	129877	4309	399592	348	531880	0			0	0	0	0	0	0	0	0	0	48970	3.50		
7045																0	5328	396	940	2	67877	16473	40263	43	114408	0			0	0	0	0	0	0	0	0	0				
7157																0	3418	115	0	0	32275	3125	8187	13	43880	0			0	0	0	0	0	0	0	0	0	948	2.00		
7456																0	2762	388	0	0	35528	4014	8733	16	47023	0			0	0	0	0	0	0	0	0	0				
7634																0	3864	169	515	2	55426	2855	3089	7	62894	0			0	0	0	0	0	0	0	0	0				
8033																0	4742	162	0	0	87697	4742	23685	30	116124	0			0	0	0	0	0	0	0	0	0				
8462																0	3937	164	0	0	51682	4932	47589	55	103208	0			0	0	0	0	0	0	0	0	0				
8631																0	2949	118	413	1	39615	3833	5669	13	48646	0			0	0	0	0	0	0	0	0	0	2108	4.00		
9357																0	757	95	0	0	77304	3705	184971	195	263032	0			0	0	0	0	0	0	0	0	0	40067	70.89		
9553																0	7371	306	0	0	49659	4284	9205	22	66235	0			3000	63	6	509	0	0	0	0	0	0	0.00		
9807															295362	0	80488	4633	4360	13	1294353	59891	530786	528	1909987	0	1950042	0	0	45997	0	0	0	0	0	0	0	138040	192.00		
9955																0	2241	212	0	0	61084	6427	19281	29	82606	0			0	0	0	0	0	0	0	0	0				
10250																0	54641	2563	2273	8	268463	38165	66379	114	391756	0			0	0	0	0	0	0	0	0	12756	6294	17.00		
10849																0	9932	341	0	0	195509	9961	38546	60	243987	0			0	0	0	0	0	0	0	0	0	2250	6.21		
10858																0	7835	776	279	1	182925	20886	114390	134	305429	0			0	0	0	0	0	0	0	0	12799	18418	25.73		
11145																0	7048	376	1604	3	96566	14016	36829	57	142047	0			0	0	0	0	0	0	0	0	0	1991	7.00		
11640																0	13403	549	2026	6	134429	10157	95769	108	245627	0			0	0	0	0	0	0	0	0	0	9627	18.67		
11837																0	3623	240	252	1	54115	3747	25951	21	83940	0			0	0	0	0	0	0	0	0	0	569	1.72		
12030																0	23184	1170	2400	8	213657	18171	44796	83	284037	0			0	0	0	0	0	0	0	0	0	11920	22.00		
12142																0	7923	309	0	0	101938	10183	29185	64	139046	0			0	0	0	0	0	0	0	0	0	595	1.63		
12245																0	7503	353	0	0	76824	9585	17023	26	101350	0			0	0	0	0	0	0	0	0	2034	3992	3.00		
12311	45538136	4914316	44731702	4714926	67104	0	0	35000	0	64896	148979	1276668	4914316	4714926	12290915	0	1522017	102664	23928	76	25816030	2586989	13261845	12118													509954	0	0.00		
12647																0	4531	203	564	2	39864	3992	31974	20	76933	0			0	0	0	0	0	0	0	0	0	665	1.00		
12656																0	720	41	0	0	13740	1411	326	1	14786	0			0	0	0	0	0	0	0	0	0	0	0.00		
12937																0	3966	220	2443	4	63943	4485	89492	89	159844	0			0	0	0	0	0	0	0	0	8270	0	0.00		
12946																0	28776	1008	2823	7	340623	26416	188418	204	560640	0			0	0	0	0	0	0	0	0	709	36153	35.00		
12955																0	5558	277	0	0	64665	7689	42601	49	112824	0			0	0	0	0	0	0	0	0	0				
13037																0	8908	569	274	1	114496	12061	6700	20	130378	0			0	0	0	0	0	0	0	0	0	3954	10.22		
13103															190686	0	57715	3351	6842	17	562726	48224	305329	404	932612	0	926084	0	0	0	0	0	0	0	0	0	0	40182	71.00		
13251																0	2222	21	591	1	23316	1547	8303	19	34432	0			0	0	0	0	0	0	0	0	0				
13457																0	1020	60	0	0	11534	1561	1666	4	14220	0			0	0	0	0	0	0	0	0	0				
14052																0	2548	121	524	2	45908	5975	5230	13	54210	0			0	0	0	0	0	0	0	0	783	540	2.00		
14155																0	4523	314	263	1	68783	8954	16289	24	89858	0			0	0	0	0	0	0	0	0	2680	3836	3.00		
14454																0	879	59	0	0	13292	2436	1510	2	15681	0			0	0	0	0	0	0	0	0	0	0	0.00		
14650																0	1379	61	0	0	17625	2521	3464	5	22468	0			0	0	0	0	0	0	0	0	0				
14753																0	4059	148	0	0	26966	3343	5230	9	36255	0			0	0	0	0	0	0	0	0	0	2027	4.00		
14865																0	9657	522	0	0	164245	17289	47995	72	221897	0			0	0	0	0	0	0	0	0	18340	16534	23.00		
14977																0	2816	111	0	0	26449	1660	4515	15	33780	0	33591	0	0	0	0	0	0	0	0	0	0				
16337																0	32770	1057	524	2	298540	25610	35868	45	367702	0			0	0	0	0	0	0	0	0	0	13724	22.14		
16458																0	9593	673	1581	4	151915	14991	78843	84	241932	0			53	0	0	0	0	0	0	0	0	20391	25.54		
16551																0	16504	540	2059	7	84055	10731	29320	38	131938	0			0	0	0	0	0	0	0	0	0	4078	8.00		
16748																0	4793	272	0	0	38376	4406	5146	10	48315	0			0	0	0	0	0	0	0	0	0	0	0.00		
16944																0	1138	58	0	0	26969	2964	3306	7	31475	63			0	0	0	0	0	0	0	0	0	643	1.48		
16953																0	636	23	0	0	25569	2994	2322	6	28528	1			0	0	0	0	0	0	0	0	0	949	1.92		
17110																0	4208	59	870	2	47677	589	40396	50	93151	0			0	0	0	0	0	0	0	0	0				
17147															428254	0	156282	9324	8702	28	1540973	217602	1588264	4262	3295119	899	3294955	943	0	0	0	0	0	0	0	0	0	90735	223.00		
17259																0	23360	311	0	0	28896	3229	0	0	52256	0			0	0	0	0	0	0	0	0	0				
17464															126561	0	23683	1398	1458	5	1035086	65769	430315	524	1490542	0	1526673	0	0	0	0	0	0	0	0	0	0	102941	206.00		
