"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
4437																																							2100	3669	0	630	50543	0	5246	1489	6514	251588	210668	1131	226776	0	3033	0	10966	0	24812	963	251588	0	0	18948	0	0	3750	0	16196	194472			0	179518	176485	1151	4912	0	0	4011	24812	
4839																																							257	6161	0	0	63988	75	6121	3676	3940	316953	242972	1648	289298	0	3584	0	38400	0	27654	1875	316952	0	0	13946	0	0	10579	0	33442	209530			0	235519	231935	1254	800	0	0	6278	27654	
5005																																							887	4765	608	308	57304	0	7694	10315	19236	425738	324957	4169	396176	0	10804	2305	67050	0	29562	0	425738	0	0	-7303	0	0	37351	0	28596	296361			0	331431	320627	-486	1689	0	0	0	29562	
5069																																							26134	2393	0	0	21302	0	18233	7971	5940	502378	393050	7831	400881	0	18204	0	0	0	101497	4500	502378	0	0	92326	0	0	4129	0	10057	382993			0	438609	420405	542	0	0	0	0	101497	
5135																																							29730	2906	0	0	25958	0	4005	237	10439	310265	253054	857	275778	0	3688	1042	21867	0	34487	651	310265	0	0	14393	0	0	19349	0	32508	220546			0	239636	235948	94	0	0	0	0	34487	
5210																																							24424	14665	0	10060	213613	0	14680	585	42780	952152	717362	10337	875077	0	10994	0	92339	0	77075	4798	952152	0	0	65635	0	0	5455	285	49364	667998			0	642054	631060	1187	0	0	0	55039	77075	
5331																																							11	7766	0	0	182929	0	12699	4532	9064	364005	241657	2781	337954	0	2058	0	16	0	26051	2580	364005	0	0	16203	0	0	11610	0	39002	202655			0	144062	142004	-4342	5000	0	0	93500	26051	
5461																																							4342	10985	414	0	55368	611	12075	146	9556	441688	380242	2801	398137	0	4441	0	15094	0	43551	2059	441688	0	0	35498	0	0	4241	0	109433	270809			0	352632	348191	1753	0	0	0	0	43551	
5751																																							0	1472	0	0	59251	0	249	0	3593	113879	84102	634	89250	0	1266	0	3700	0	24629	600	113879	0	0	21955	0	0	700	0	6451	77651			0	50580	49314	1374	0	0	814	0	24629	
6039																																							9898	1472	0	0	4216	0	1739	1683	1861	83824	73996	503	74499	0	1293	0	0	0	9325	469	83824	0	0	3232	0	0	5600	0	10851	63145			0	63648	62355	24	600	0	0	0	9325	
6141																																							0	3686	0	12396	0	0	199	14	565	45906	41146	208	41354	0	432	0	0	0	4552	400	45906	0	0	452	0	0	3700	0	10419	30727			0	22028	21596	0	7450	0	0	0	4552	
6329																																							12712	14357	0	406	38448	0	17033	2532	12621	475820	437015	3191	440206	0	4435	0	0	0	35614	2600	475820	0	0	17052	0	0	15400	0	96735	340280			0	372834	368399	562	9312	0	0	0	35614	
6972																																							165	14668	238	58746	40568	0	21382	148	16916	910943	739196	11564	822769	0	22700	0	68700	0	88174	2600	910943	0	0	46526	0	0	41562	0	160498	578698			0	780812	758112	-2514	0	0	0	3309	88174	
7009																																							2000	1317	0	0	328848	0	571	0	10082	553506	499908	6558	506466	0	0	0	0	0	47040	500	553506	0	0	41439	0	0	552	0	43329	456579			0	210688	210688	4549	0	0	0	0	47040	
7045																																							0	6654	0	20176	20194	0	1770	0	1245	118153	103365	476	103841	0	714	0	0	0	14312	100	118153	0	0	11575	0	0	2325	0	16123	87242			0	68828	68114	312	0	0	0	0	14312	
7157																																							0	632	0	0	15194	0	125	39	577	41735	36798	586	37384	0	192	0	0	0	4351	200	41735	0	0	3754	0	0	200	0	3697	33101			0	24102	23910	197	1258	0	0	0	4351	
7456																																							32	881	0	510	12825	0	529	30	994	50820	44389	139	46028	0	426	0	1500	0	4792	400	50820	0	0	1129	0	0	2900	0	8503	35886			0	30172	29746	363	5273	0	0	0	4792	
7634																																							70	7687	0	14	6918	0	792	615	1224	81480	72697	202	76899	0	2226	0	4000	0	4581	200	81480	0	0	-1154	0	0	5450	0	6073	66624			0	66386	64160	85	0	0	0	0	4581	
8033																																							991	1825	0	0	6394	0	3027	383	4186	124432	89442	1501	111146	0	900	0	20203	0	13286	774	124432	0	0	7983	0	0	4476	0	18877	70565			0	102176	101276	53	6350	0	0	0	13286	
8462																																							994	13348	0	0	65009	0	378	0	748	117878	102637	310	102947	0	445	0	0	0	14931	350	117878	0	0	12627	0	0	350	118	25650	76987			0	30678	30233	1604	7050	0	0	0	14931	
8631																																							257	1801	0	0	13089	0	1581	393	2336	53493	46734	286	47020	0	377	0	0	0	6473	500	53493	0	0	5139	0	0	800	0	14285	32449			0	33644	33267	34	769	0	0	0	6473	
9357																																							1219	7262	3201	0	26560	0	959	64	6155	343990	218035	1800	285525	0	6156	23238	34000	0	58465	500	343990	0	0	5974	0	0	51848	105777	73480	144555			0	175536	169380	143	175	0	0	31690	58465	
9553																																							5282	1713	0	0	6430	0	521	14	3914	87569	67196	1040	79055	0	752	0	10459	0	8514	400	87569	0	0	6904	0	0	1200	0	8883	58313			0	70447	69695	10	0	0	360	0	8514	
9807																																							384477	18660	0	287669	126270	14	9869	73833	107786	2800382	2203166	11950	2590283	1500	72879	0	305995	0	208599	20000	2800382	0	0	134702	0	0	112272	0	89904	2113262			0	1864683	1791804	-58375	0	0	0	69172	210099	
9955																																							20419	2381	728	0	17054	0	1770	0	1930	94142	74398	201	82709	0	520	0	8110	0	11433	110	94142	0	0	7981	0	0	3023	0	12065	62333			0	50380	49860	319	0	0	0	0	11433	
10157																																							34	881	0	156	13224	0	223	600	819	36775	32330	112	34162	0	1901	0	1720	0	2613	250	36775	0	0	-227	0	0	2560	0	7083	25247			-42	22739	20838	72	0	0	0	0	2613	
10250																																							579	10870	0	0	73562	0	12665	10256	6185	487724	411932	1811	450243	0	5874	0	36500	0	37481	1500	487724	0	0	8433	0	0	25000	0	45289	366642			0	378563	372689	2548	918	0	0	0	37481	
10849																																							105	4112	0	61582	233	0	4364	5204	6932	329019	274759	524	301876	0	6348	694	22183	0	27144	16	329020	0	0	16380	0	0	10746	0	21687	253072			0	252141	245793	2	0	0	4410	0	27144	
10858																																							14433	5394	0	32672	17078	0	6516	105	7537	430877	331127	4276	392389	0	8179	2957	27762	0	38488	2500	430877	0	0	20966	0	0	14755	655	45157	285970			0	351709	343530	267	0	0	0	29224	38488	
11145																																							4980	5423	0	0	18182	75	4838	1735	2079	164582	137182	603	147766	0	1787	450	9981	0	16816	1000	164582	0	0	11467	0	0	4000	0	17637	119545			0	128107	126320	349	500	0	0	0	16816	
11640																																							1058	9256	0	0	69878	0	5878	499	14483	311519	219165	3020	283185	0	2041	0	60000	0	28334	650	311519	0	0	10038	0	0	16800	0	35738	183427			0	212508	210467	846	0	0	1000	0	28334	
