"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					148	0	30612					0	0	11491	0	11533	0	0	0									
242	0	0					201	0	8928					3575	0	4466	0	4459	3	0	0									
279	0	0					1600	45969	22766					30338	8911	0	8153	2872	6	0	0									
354	0	0					4	0	3458					0	0	3458	0	0	0	0	0									
457	0	0					319	254	515					5400	0	515	252	0	0	0	0									
505	0	0					3227	0	67826					45500	0	5215	0	17864	0	0	0									
1155	0	1535					1119	387	33286					0	0	20217	225	11534	0	0	12924									
1351	0	0					0	53508	5765					0	28245	5765	25102	0	0	0	0									
1454	0	5035					1092	0	186155					0	0	95842	0	61034	10	0	0									
1557	0	0					145	5487	6114					1095	0	6070	5487	44	0	0	0									
1632	0	0					4107	0	40824					60000	0	20825	0	1421	0	0	0									
1669	0	0					428	95240	34204					58	72908	34198	16928	0	0	0	0									
1829	0	0					2879	0	85184					31732	0	20539	0	18669	1525	0	9669									
1856	0	0					4620	58629	73362					54000	11963	10408	1934	2696	0	0	0									
2040	0	0					1546	0	42059					23300	0	333	0	19198	0	0	3796									
2161	0	0					276	3	38375					0	0	2080	0	10405	0	0	0									
2376	0	0					25515	105975	390965					522944	0	267635	0	0	5610	0	0									
2451	0	0					607	76	0					1522	0	0	76	0	0	0	0									
2554	0	0					0	0	12					0	0	0	0	0	12	0	0									
2732	0	0					174	0	62070					146	0	10263	0	51257	0	0	0									
2750	0	0					530	0	10035					5200	0	2007	0	2447	0	0	0									
2938	0	0					2456	0	81110					29000	0	36167	0	2282	0	0	8050									
3252	0	0					320	315	62657					3613	0	6158	315	8365	0	0	0									
3458	0	0					184	2030	8666					0	0	7694	2008	0	0	0	3645									
3720	0	0					615	7336	42514					5123	0	12222	7336	8081	0	0	3280									
3953	0	0					680	0	4					9492	0	0	0	0	4	0	0									
4138	0	0					991	0	32106					1572	0	14750	0	5969	138	0	927									
4156	0	0					2471	0	40380					25488	0	13611	0	26769	0	0	0									
4231	0	0					0	0	28680					0	0	4105	0	8888	0	0	0									
4437	0	0					1175	630	50543					10966	0	15931	630	25972	0	0	4011									
4839	0	0					2075	0	63988					38400	0	12390	0	19918	0	0	6278									
5005	0	0					4637	308	57304					67050	0	5029	0	8436	9422	0	0									
5069	0	1126					0	0	21302					0	0	0	0	3343	10669	0	0									
5135	0	0					1639	0	25958					21867	0	23385	0	1898	0	0	0									
5210	0	0					9170	10060	213613					92339	10060	16589	0	42677	0	0	55039									
5331	0	0					3740	0	182929					16	0	107758	0	36493	0	0	93500									
5461	0	0					2214	0	55368					15094	0	30670	0	21292	0	0	0									
5751	0	0					302	0	59251					3700	0	14159	0	12466	0	0	0									
6039	0	0					162	0	4216					0	0	3304	0	393	6	0	0									
6141	0	0					0	12396	0					0	5972	0	4142	0	0	0	0									
6329	0	0					769	406	38448					0	0	7805	406	12123	0	0	0									
6972	0	0					4933	58746	40568					68700	13363	20006	44187	20060	0	0	3309									
7009	0	0					0	0	328848					0	0	249175	0	71781	7892	0	0									
7045	0	0					0	20176	20194					0	0	14979	20176	5215	0	0	0									
7157	0	758					23	0	15194					0	0	6317	0	7949	0	0	0									
7456	0	0					299	510	12825					1500	0	3236	510	0	0	0	0									
7634	0	0					430	14	6918					4000	0	3482	0	2962	0	0	0									
8033	0	0					1524	0	6394					20203	0	4403	0	1477	0	0	0									
8462	0	0					21	0	65009					0	0	30559	0	6928	0	0	0									
8631	0	0					158	0	13089					0	0	13089	0	0	0	0	0									
9357	0	0					4901	0	26560					34000	0	25543	0	0	1001	0	31690									
9553	0	0					762	0	6430					10459	0	4170	0	2260	0	0	0									
9807	0	24683					20318	287669	126270					305995	500	0	29970	0	0	0	69172									
9955	0	0					457	0	17054					8110	0	6498	0	10556	0	0	0									
10157	0	0					277	156	13224					1720	0	1346	0	1434	0	0	0									
10250	0	0					2993	0	73562					36500	0	7832	0	28684	0	0	0									
10849	0	0					1793	61582	233					22183	6741	0	26058	233	0	0	0									
10858	0	2004					1438	32672	17078					27762	19300	0	1683	0	101	0	29224									
11145	0	284					1081	0	18182					9981	0	2383	0	14196	0	0	0									
11640	0	0					4011	0	69878					60000	0	17936	0	37421	0	0	0									
11837	0	0					613	0	39739					7000	0	18765	0	7068	0	0	0									
12030	0	0					1385	999	5723					0	999	5723	0	0	0	0	0									
12142	0	0					739	1168	36383					4000	0	4453	1163	7399	0	0	6042									
12245	0	0					397	0	33568					7900	0	1852	0	14820	843	0	0									
12311	0	150785	0	0	0	641066	427772	0	8037808	0	51988299	2249262	45984795	3259642	0	2501168	0	137593	45315	0	799316	0	1099992	0	2494020	0	963219	0	4650	
12647	0	0					310	6617	0					6200	911	0	4056	0	0	0	0									
12656	0	0					29	706	0					0	706	0	0	0	0	0	0									
12937	0	0					830	0	808					0	0	0	0	0	0	0	0									
12946	0	0					2945	0	68195					19620	0	5720	0	38435	476	0	0									
12955	0	0					443	3251	8					6950	0	0	3251	0	0	0	0									
13037	0	0					545	0	36986					0	0	21135	0	3851	0	0	0									
13103	0	0					12036	930	199200					134463	0	50977	0	0	56872	0	10925									
13251	0	0					143	0	6235					0	0	2122	0	4105	0	0	0									
13457	0	0					0	0	3671					0	0	1242	0	2385	44	0	0									
14052	0	0					247	0	8465					1000	0	986	0	2200	0	0	0									
14155	0	0					833	0	6261					10800	0	903	0	3805	0	0	0									
14454	0	1000					162	2108	7317					1000	0	0	1676	0	0	0	0									
14650	0	0					68	3149	31					0	3149	0	0	0	0	0	0									
14753	0	0					9	7430	11622					0	2049	4407	2949	5640	0	0	0									
14865	0	0					560	0	26998					10000	0	8419	0	8880	0	0	0									
14977	0	0					185	73	6634					194	0	0	0	0	0	0	0									
15536	0	1281					33298	0	235831					561000	0	0	0	12432	9663	0	0									
16337	0	0					2358	0	77222					29000	0	35308	0	17551	0	0	2318									
16458	0	2529					790	19970	50011					254	1029	22044	18513	18478	0	0	0									
16551	0	0					3377	219	16478					22850	0	3234	219	7471	0	0	0									
16748	0	0					294	6285	12266					3000	0	637	6285	0	0	0	0									
16944	0	0					0	0	12584					0	0	3335	0	7950	0	0	0									
16953	0	0					0	110	12080					0	0	12080	110	0	0	0	0									
17110	100	0					219	100	6570					0	0	0	0	0	6570	0	0									
17147	0	400					37882	8726	478357					208985	0	8233	8721	257545	0	0	125045									
17259	0	0					361	5	25222					3500	0	4637	0	10744	0	0	0									
17464	0	0					10472	2009	100324					244954	0	2090	2009	1577	453	0	0									
17950	0	0					1007	173	87094					12189	0	5890	150	16722	0	0	0									
18050	0	0					600	18061	68634					582	0	17650	18061	1732	0	0	0									
18135	0	0					1687	0	45400					26095	0	29075	0	16325	0	0	7929									
18377	0	0					140	0	8190					0	0	202	0	0	0	0	0									
18827	0	0					1095	0	66634					14000	0	16445	0	27809	14052	0	0									
18836	0	0					930	0	9377					5468	0	3262	0	2927	24	0	0									
18854	0	0					393	0	5539					0	0	5539	0	0	0	0	0									
18957	0	0					311	0	5253					1898	0	0	0	2602	0	0	0									
19356	0	0					160	0	28202					2156	0	5767	0	2536	0	0	0									
19730	0	0					18195	8169	84196					95795	0	10937	3601	0	2237	0	0									
19936	0	0					860	4278	24759					5000	0	1144	299	1266	0	0	4317									
19972	0	0					214	13688	0					0	5315	0	8104	0	0	0	0									
20053	0	0					503	0	11492					3004	0	8074	0	100	728	0	0									
20370	0	0					477	0	4208					5000	0	0	0	3947	0	0	0									
20512	0	0					1060	250	43946					10510	0	3025	250	13325	0	0	0									
20633	0	1001					1413	11908	28919					12000	4789	16919	0	1322	870	0	0									
20857	0	0					1274	0	91222					6509	0	16218	0	53500	0	0	17800									
20866	0	0					1629	0	13009					10329	0	7495	0	0	0	0	0									
21256	0	0					87	6	154					250	0	0	6	0	0	0	0									
21359	0	0					114	0	5138					347	0	989	0	2627	0	0	0									
21630	0	0					396	0	41373					4720	0	3091	0	5172	0	0	2023									
21658	0	0					442	0	26699					1297	0	21575	0	5056	0	0	0									
22048	0	0					834	0	41627					15922	0	11203	0	1247	0	0	2875									
22356	0	0					1064	0	50407					503	0	0	0	22198	11	0	15763									
22459	0	0					749	0	16458					6537	0	12930	0	3528	0	0	0									
22543	0	1784					184	0	7314					0	0	1781	0	2935	750	0	0									
22552	0	0					300	429	4979					0	0	4296	429	674	0	0	0									
22730	0	0					317	0	23378					0	0	6648	0	12304	0	0	4223									
22936	0	301					1306	0	6985					13940	0	6087	0	505	0	0	0									
22954	0	0					1192	0	11304					11407	0	4624	0	3065	61	0	0									
23036	0	0					0	0	80811					0	0	36405	0	1152	0	0	6415									
23045	0	0					212	530	22540					0	0	22540	530	0	0	0	0									
23241	0	0					29124	0	339227					307310	0	0	0	27069	2732	0	143011									
23456	0	0					292	896	14243					217	0	1262	0	8958	0	0	0									
23504	0	10000					1205	62534	291308					0	0	32407	48051	42325	0	0	15000									
23540	0	0					625	19982	55185					0	19982	10260	0	31475	3011	0	0									
23643	0	0					266	300	40233					138	0	38164	300	1765	0	0	0									
23755	0	0					723	0	30071					2000	0	1030	0	8581	0	0	0									
23812	0	5021					10871	0	77857					198123	0	6376	0	5896	120	0	0									
24006	0	7412					1177	273413	71571					0	237975	38072	16783	6645	12	0	0									
24453	0	0					3661	0	9364					49734	0	9005	0	0	0	0	0									
24659	0	0					0	150	335					0	0	0	150	335	0	0	0									
24668	0	0					1333	0	49399					22000	0	14433	0	34683	0	0	5496									
24855	0	0					29	0	0					0	0	0	0	0	0	0	0									
24949	0	0					3168	355	30433					7700	0	9649	355	20784	0	0	2290									
25357	0	0					3849	55047	9545					37000	0	0	0	1519	0	0	0									
25647	500	0					0	3082	3155					0	0	2952	2582	203	0	6000	0									
26149	0	0					0	0	23385					0	0	4026	0	6171	0	0	496									
26242	0	0					1983	0	105217					0	0	52139	0	43031	0	0	6308									
26457	0	202					0	0	3953					0	0	3402	0	349	0	0	0									
26765	0	0					2056	2289	56637					24000	0	4035	105	538	0	0	0									
26859	1000	0					493	1000	0					1348	0	0	0	0	0	0	0									
26916	0	1000					5203	5	114353					88101	0	7088	0	6125	0	0	6683									
