"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
812164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812436	120754	41	3526	18581	0	26609	0	0	5776	0	5943	0	366638	0	56868	124495		88765	32624	33650	81540	119270	5776	167	47793	33747	6745	480	67870	51400	4619	606	23042	309581	0	189	13739	
812557	72073	48	4913	21063	0	32334	0	0	36195	171	38227	0	346765	813	13560	58662		161677	54353	23805	78174	29751	16439	1398	14602	63572	67078	16425	6600	23151	24294	4617	27373	331822	0	570	8524	
812614	27084	2	5087	29365	0	56504	0	0	0	0	0	0	74750	0	246	8476		33307	5884	13409	28379	7131	0	0	15375	14570	2958	403	4262	3326	888	0	51415	74504	0	0	2285	
813059	1516	0	724	4865	0	8216	0	0	0	0	0	0	16067	0	549	2074		10284	2193	1169	6765	1057	0	0	2702	4063	3172	347	300	757	917	100	7492	15518	0	0	133	
813572	26977	4	117	22674	0	49482	0	0	17611	0	30732	0	322386	0	5598	136022		151493	7894	18450	137846	129298	17478	13121	52508	85350	9378	4257	50121	79177	5085	1639	49361	315921	0	867	5191	
813853	6052	0	3256	7179	0	12993	0	0	7150	3524	13194	0	185092	0	5209	29661		68888	80491	12939	46300	20764	3078	4468	14478	32062	16973	5375	9116	11890	5345	3310	9737	178680	0	1203	3791	
813947	53036	18	47885	72551	0	211939	0	0	6830	0	7723	50	642817	0	39406	148187		261476	180118	73052	188443	118764	5170	743	52301	138007	59608	11560	44562	74202	24119	5304	163651	602343	385	1018	20752	
814177	13074	0	23485	16134	0	59965	0	0	0	0	0	0	72697	0	10597	20312		28917	10395	7253	20441	18485	0	0	6245	14373	7477	822	6187	12298	1585	242	36480	62100	0	0	979	
814216	288819	19	20807	50876	0	79078	0	0	112687	0	112687	0	1009355	0	213273	109477		280714	330345	37211	201087	90374	39845	0	48265	152822	63563	16064	31519	58855	16432	2671	58252	796082	0	0	0	
814355	462	0	1455	2786	0	6636	0	0	0	0	0	0	17438	0	1100	4150		8067	4759	2240	6554	3777	0	0	2191	4363	1261	252	700	3077	266	107	5181	16338	0	0	368	
814430	111011	157	130798	734600	0	1012174	0	0	0	0	0	0	1735165	0	42494	433426		63210	1127518	13952	52108	382532	0	0	18093	34016	9474	1627	270635	111897	34490	16404	880316	1692671	903	0	4491	
814458	10932	10	0	40662	0	51305	0	0	0	0	0	0	86583	0	0	25215		13272	37164	4167	11858	19148	0	0	3924	7934	1245	169	6411	12737	6067	0	51135	86583	160	0	1501	
814551	10255	18	1705	19564	0	35754	0	0	0	0	0	0	86205	0	7549	18700		38037	19213	12048	32032	16077	0	0	8264	23768	5463	542	3452	12625	2330	293	34031	78656	0	0	3699	
814711	34763	1	9839	39249	0	66234	0	0	0	0	0	0	177780	0	3534	67379		68071	7567	18439	57755	61709	0	0	18079	39676	9105	1211	16209	45500	5364	306	56240	174246	154	0	5882	
814748	38287	0	8085	11032	0	29043	0	0	0	0	0	0	71671	0	7428	11577		15583	6224	5982	8632	7290	0	0	2361	6271	5026	1925	2955	4335	3133	1154	18704	64243	2254	0	2116	
814953	360	0	300	1661	0	3892	0	0	0	0	0	0	1718	0	213	309		524	525	10	504	309	0	0	317	187	20	0	109	200	0	0	3592	1505	0	0	0	
815053	4917	4	1277	10165	0	17007	0	0	0	0	0	0	39691	0	7200	7717		17309	9747	2157	12480	7027	0	0	4000	8480	4217	612	3577	3450	590	100	15158	32491	568	0	0	
815147	24931	9	5699	24342	0	69842	0	0	0	0	0	0	102298	0	9700	19504		56728	1135	13880	37033	11871	0	0	6510	30523	17434	2261	3195	8676	6085	1548	64134	92598	0	0	3520	
815156	66424	28	4758	46422	0	106638	0	0	18568	16265	34833	0	242777	0	14963	56527		92151	27675	7134	59784	34582	7897	7657	26943	32841	22697	9669	16837	17745	14681	7264	101852	227814	0	0	1492	
815277	12115	0	0	0	0	0	0	0	0	0	0	0	69237	0	0	18090		39032	0	11284	30124	13607	0	0	9796	20328	5674	3234	5266	8341	2168	2315	0	69237	0	0	3491	
815754	6738	17	2203	11334	0	35681	0	0	0	0	0	0	53489	3140	3315	25839		20166	746	4147	17764	23374	0	0	6432	11332	2109	293	9861	13513	2116	349	33429	43787	32	3247	1182	
816210	798075	22261	344243	1114669	0	1789725	0	0	0	395040	395040	0	2705616	69286	173578	1316594		590947	0	36024	432805	1288197	0	258653	298106	134700	121118	37023	488251	799946	14287	14110	1423221	2462752	0	0	1155	
816256	4769	8	2517	10745	0	21734	0	0	0	0	0	0	24419	0	2724	7085		9380	3185	2441	8089	6958	0	0	2918	5172	1258	32	2089	4869	127	0	19209	21695	0	0	527	
816304	27554	0	0	10425	0	30966	0	0	0	0	0	0	97746	0	4043	20484		23045	26663	6396	20528	19165	0	0	10396	10132	2517	0	6154	13011	1319	0	30966	93703	0	0	1259	
816603	475953	27	22680	60676	0	100330	0	0	146453	616	254803	94	1794931	0	132075	396476		546403	376099	136410	384773	335792	82238	105835	135254	249519	113559	48071	187606	148186	27690	32994	77403	1657723	220	5039	49017	
816751	1109	0	1224	3363	0	8360	0	0	0	0	0	0	10620	0	325	1877		6032	1602	717	5070	1677	0	0	1461	3609	961	1	471	1206	200	0	7136	10295	0	0	0	
816948	762	0	139	3015	0	5081	0	0	0	0	0	0	15187	0	19	5104		8166	1155	0	7706	4998	0	0	2739	4967	460	0	883	4115	106	0	4942	15168	0	0	0	
817356	1582	0	120	4439	0	6778	0	0	0	0	0	0	23810	0	437	3974		7810	10444	4715	7420	3974	0	0	4349	3071	309	81	1973	2001	0	0	6658	23373	0	0	1623	
817477	16785	0	584	10773	0	31264	0	0	0	0	0	0	103021	0	884	18270		60453	7513	15552	38895	11395	0	0	10734	28569	16926	4224	5300	6208	4825	1937	30327	102099	353	38	3258	
817824	3315528	37245	2511400	10991887	4145	12883662	278	0	0	3387911	3387911	482	75876140	146841	1187555	4153380		10284193	58123039	3364578	8077850	3314159	0	0	2200152	5877704	1014691	1191646	1014612	2308859	385638	444271	10193738	74379770	136856	161492	735792	
818401	77303	0	637	23167	0	47204	0	0	0	0	0	0	285766	0	23119	79169		79473	49821	22904	67924	69529	0	0	20968	46956	10597	952	18583	50946	8439	1201	46567	262647	0	0	8026	
818540	4770	2	1260	4370	0	14711	0	0	0	0	0	0	38969	0	339	4537		16349	13313	3033	14841	4537	0	0	4774	10067	1498	10	1517	3020	0	0	13449	38630	0	0	0	
818559	5720	0	302	4053	0	7124	0	0	0	0	0	0	32280	0	621	5921		19593	1046	2439	14182	4463	0	0	5599	8583	4189	1222	1668	2795	1101	357	6822	31659	0	0	509	
818652	3330	1	7236	9789	0	20441	0	0	0	0	0	0	21911	0	4239	11646		5199	1736	435	5080	11446	0	0	1570	3510	119	0	4864	6582	200	0	13204	17672	0	0	0	
819154	5200	0	1277	13542	0	20934	0	0	0	0	0	0	55759	0	0	9147		13216	28195	1841	10917	7660	0	0	2981	7936	1904	395	3408	4252	1033	454	19657	55759	0	0	0	
819172	5469	0	793	2912	0	9685	0	0	0	0	0	0	59112	0	24	20006		25281	8356	18645	13050	10839	0	0	3734	9316	10343	1888	2934	7905	6629	2538	8892	59088	0	0	10028	
819453	2356	0	4507	13467	0	27431	0	0	0	0	0	0	163538	0	23034	28622		66783	65777	17811	48159	20535	0	0	9566	38593	18249	375	5698	14837	7987	100	22837	140504	87	0	2703	
819556	23797	0	48294	56510	0	132463	0	0	0	0	0	0	255209	0	17967	124128		92608	14676	25734	81555	114805	0	0	23855	57700	7851	3202	29133	85672	7370	1953	84169	237242	0	0	9321	
819855	6251	0	13570	38346	0	64854	0	0	637	0	1506	0	144940	0	5441	57090		44062	37537	9446	36877	44250	637	868	7622	29255	6738	447	7432	36818	11257	1583	51284	139373	0	126	3411	
820048	112323	0	24361	27281	0	48795	0	0	0	0	0	0	296002	0	8849	27309		65523	90847	19655	47145	21018	0	0	8456	38689	16617	1760	5512	15507	6290	0	13196	287153	11238	0	0	
820178	26750	0	3344	5621	0	26838	0	0	0	0	0	0	100291	0	0	19363		50444	3734	19102	33911	11019	0	0	8408	25503	14292	2241	4026	6993	7856	488	23402	100291	92	0	6148	
820301	25776	3	981	17403	0	36333	0	0	0	0	0	0	145113	0	6011	21465		63339	34534	26874	34877	9328	0	0	12722	22156	17370	11091	3572	5756	3166	8971	35349	138701	0	401	5491	
820655	3551	2	1136	6757	0	11831	0	0	0	0	0	0	36739	0	5805	9555		18412	5221	3507	15357	8821	0	0	2667	12690	2419	636	930	7891	734	0	10693	29870	0	1064	377	
820842	11539	0	5322	21189	0	34076	0	0	0	1240	1240	0	126341	0	12387	61445		25201	28156	6525	19799	46958	0	1240	4944	14855	5256	146	12256	34702	9372	5115	28754	113954	0	0	1937	
821036	9404	1	458	13946	0	54061	0	0	4075	9331	14422	0	93882	0	9636	32924		37566	13988	7127	28510	29473	3175	9331	11273	17237	8954	102	17964	11509	3451	0	52382	82553	1220	1693	1917	
821120	6981	12	3893	47637	0	74052	0	0	446131	0	446131	0	887294	0	9175	166369		677721	36223	28643	343334	93067	198281	0	100511	242823	235961	98426	32227	60840	56894	16408	70147	878119	0	0	10529	
821157	5526	17	2710	11161	0	25750	0	0	0	0	0	0	61096	0	5636	14241		31273	10056	4893	22563	11637	0	0	5581	16982	3984	4726	3640	7997	1148	1456	23023	55215	0	245	992	
821278	141	0	0	0	0	0	0	0	0	0	0	0	32482	0	31	7969		18016	6356	2774	13633	5362	0	0	3900	9733	3951	432	1680	3682	1959	648	0	31167	0	1284	862	
821456	3000	0	1839	5379	0	12126	0	0	0	0	0	0	16447	154	1090	5458		7989	0	2168	6881	4652	0	0	3153	3728	986	122	1826	2826	200	606	10287	15203	0	0	503	
821559	1513	0	0	0	0	0	0	0	1188	0	1188	0	21738	0	0	101		20125	0	0	14115	101	396	0	2986	11129	5274	736	0	101	0	0	0	21738	0	0	0	
821643	2795	0	124	1988	0	5872	0	0	0	0	0	0	17975	0	761	2840		9605	2735	1693	7641	2214	0	0	2146	5495	1964	0	1078	1136	627	0	5748	17214	0	0	0	
821652	2645	2	309	6440	0	11656	0	0	0	0	0	0	37419	0	95	14044		14987	5743	932	7166	11076	0	0	3106	4061	6038	1782	7699	3377	2748	220	11345	34989	0	2335	0	
821906	146093	10	3922	16748	0	42348	0	0	20297	100	44080	0	372455	0	32671	71499		89611	65252	23906	68394	35664	13960	23782	19446	48948	12907	8309	28809	30637	5808	6245	38416	337646	0	2138	4511	
822042	133153	17	16034	9999	0	57696	0	0	0	10586	10586	0	326081	0	19656	51569		84538	56821	20495	56098	34349	0	1686	10600	45498	21347	7093	10237	24112	12693	4527	41645	306425	0	0	3980	
822051	10097	76	6424	16535	0	37487	0	0	0	0	0	0	104435	0	29456	36670		40905	16763	9436	36681	35886	0	0	11677	25004	3752	472	14224	21662	211	573	30987	74979	0	0	1702	
822145	8163	6	4418	17689	0	34042	0	0	1647	0	1647	0	77907	0	4745	13296		33324	23124	7650	24984	11431	1178	0	6870	19962	6295	197	3691	7740	1656	209	29618	73162	0	0	1500	
822154	491960	93	4333	158442	0	172920	0	0	0	0	0	0	1676878	0	210838	329680		264082	591156	59934	238389	293493	0	0	95987	142845	19447	5803	91351	202407	32026	3896	166418	1464947	2076	1093	14529	
822257	10302	6	0	21885	0	30405	0	0	0	0	0	0	141970	0	1290	37996		51240	42432	12157	28478	24030	0	0	15106	13372	16833	5929	15502	8528	11096	2870	30399	140680	0	0	4312	
822408	29012	2	122	15576	0	34627	0	0	566	0	803	0	110892	0	8006	25612		43196	13072	8520	34247	21069	566	237	12578	21669	6153	2797	10224	11082	2561	1746	34080	100404	423	2482	1666	
822556	4609	17	0	9727	0	13734	0	0	15106	0	15106	0	28844	0	95	3840		18788	1607	919	13423	3712	10000	0	6098	7325	5365	0	2599	1113	128	0	13717	28749	0	0	100	
822631	4843	6	0	2592	0	9402	0	0	0	0	0	0	20891	0	0	5303		10610	135	1313	7558	3541	0	0	2600	4958	2218	834	343	3198	1206	556	9396	20891	0	0	343	
822846	5068	0	316	8778	0	17923	0	0	0	0	0	0	77732	0	3627	20658		46084	5922	6408	43441	19783	0	0	14971	28470	2452	191	7112	12671	100	775	17607	74105	0	0	991	
823133	26438	2	15785	28643	0	75416	0	0	0	0	0	0	117899	240	12393	25662		58124	7675	10266	46746	18919	0	0	14852	31894	10268	1110	6830	12089	5291	1452	58828	105266	801	0	1892	
823142	8177	0	6868	11334	0	25432	0	0	0	0	0	0	47284	0	7443	13761		18526	6820	2041	13575	11055	0	0	4418	9157	3417	1534	4909	6146	2006	700	18564	39841	0	0	360	
823450	0	0	11867	31348	0	80132	0	0	0	0	0	0	132413	0	29800	33810		24235	74368	2727	19255	29527	0	0	7744	11770	4036	685	10280	19247	3647	635	68263	102553	2	60	1916	
823553	1218	2	609	1664	0	4861	0	0	0	0	0	0	4882	0	156	310		3354	0	359	2819	100	0	0	1103	1748	491	12	100	0	210	0	4250	4726	0	0	0	
823638	6058	3	6728	9902	0	22383	0	0	0	6715	6715	0	67297	0	14858	26660		17965	16614	4046	14553	21208	0	6715	3174	11379	3118	294	2881	18327	5453	0	15652	52439	0	0	1995	
823656	13774	6	1072	17309	0	42552	0	0	0	0	0	0	98597	0	15131	19665		41052	24106	7701	37129	16710	0	0	7118	30011	3114	809	3313	13397	2593	361	41474	83466	0	0	0	
824000	156019	5	11823	215095	0	233743	0	0	12216	900	15753	0	597056	0	940	80004		147405	213628	26520	122378	67959	12216	3338	32421	89957	21103	3924	22898	45061	9878	2166	221915	596096	0	20	5373	
824242	2832	0	837	3713	0	6470	0	0	0	0	0	0	14839	0	2623	3514		7528	965	1847	5155	2332	0	0	956	4199	1729	644	1729	603	800	382	5633	11966	0	250	573	
824550	97691	0	1232	31500	0	74362	0	0	26071	0	29722	0	429813	0	6076	44601		95936	191584	14154	57982	39900	379	3651	12157	45825	11271	26684	16410	23490	4462	239	72149	423618	981	119	3116	
824653	6064	6	1347	7551	0	19725	0	0	5034	0	5735	0	68287	0	453	29244		30127	2852	5657	21293	21259	2459	701	8435	14090	7260	342	7029	14777	3307	4131	18372	67834	0	0	0	
824738	5725	7	5645	8247	0	19025	0	0	0	0	0	0	29617	0	3567	8017		12676	3199	3288	9831	6719	0	0	2928	6903	2278	567	2005	4714	1298	0	13373	26050	0	0	835	
825146	366726	820	10895	47620	0	81925	0	0	303398	100	310537	0	1707637	0	253898	359711		642954	338245	80651	306517	243521	23520	7139	95514	211003	210246	126191	105724	137797	80386	35804	61253	1453536	8957	203	27868	
825454	3599	17	2522	11186	0	34949	0	0	0	0	0	0	83075	0	943	30478		35890	13108	5687	34545	29116	0	0	11710	22835	1045	300	9731	19385	1159	203	32410	82132	0	0	2809	
825548	9730	24	3835	17289	0	31429	0	0	0	0	0	0	124727	0	15427	29845		59083	26068	10412	40324	21968	0	0	13538	26981	12390	6174	9089	13059	4609	3088	27570	109300	0	0	2990	
825753	6731	2	679	12155	0	14272	0	0	10000	0	10000	0	223539	0	987	1238		97967	117601	15512	66829	783	10000	0	13473	54248	28416	1830	519	264	455	0	13591	221552	0	1000	196	
825847	12538	0	1748	13693	0	24955	0	0	0	0	0	0	90024	0	8604	17275		38132	22079	13864	28568	14742	0	0	12005	16563	9491	73	4651	10091	2533	0	23207	81420	0	0	559	
825940	2316	0	1834	5519	0	10141	0	0	0	0	0	0	38213	0	701	13788		22109	0	4943	19508	12882	0	0	4783	14725	2505	96	3605	9277	514	392	8307	37512	0	0	1629	
825977	10392	0	0	5699	0	11047	0	0	0	0	0	0	69155	0	0	16772		25838	16153	5933	16553	9252	0	0	5345	11211	8698	584	2257	6995	7376	144	11047	69155	0	0	1817	
826255	5314	0	0	5872	0	8678	0	0	0	0	0	0	25806	0	0	3296		10481	6715	2156	8862	2880	0	0	2994	5868	1263	356	1517	1363	303	112	8678	25806	0	0	524	
826451	5827	18	1330	8570	0	18335	0	0	0	0	0	0	15627	0	1214	3279		5595	928	0	5478	3179	0	0	2317	3161	117	0	640	2639	0	0	16987	14413	0	0	0	
826648	3798	0	912	9466	0	14666	0	0	0	0	0	0	79090	0	3110	22340		36999	15951	11688	24817	12243	0	0	5900	18917	9270	2912	2174	10069	5555	4542	13754	75980	0	0	4650	
826956	72601	0	2398	17395	0	27588	0	0	135216	0	135216	0	443391	0	6984	74944		208712	87134	8469	161793	67158	98040	0	57717	104076	38621	8298	18167	48991	7786	0	25139	405857	51	30550	2985	
827346	5005	0	705	3902	0	4770	0	0	0	0	0	0	11714	0	538	1087		4824	798	1272	2515	104	0	0	1036	1479	2309	0	0	104	983	0	4065	11176	0	0	0	
827355	4069	2	447	8862	0	18806	0	0	0	0	0	0	41441	0	1210	9242		21993	6137	4138	17327	7961	0	0	7457	12033	2471	32	2929	6213	100	0	18284	40231	73	0	1617	
827458	16506	5	12322	16036	0	46757	0	0	1681	0	6102	0	96399	0	12514	29042		34366	16485	5790	16765	16738	164	4201	4980	11785	10216	7385	6498	10240	6778	5526	34430	83785	0	100	339	
827560	117105	0	0	438	0	438	0	0	17890	0	17890	0	510346	0	91	95813		269426	28003	7853	182432	61026	10890	0	60644	121788	82052	4942	27077	33949	33496	1291	438	492963	0	17292	2537	
827953	75	0	0	4420	0	4638	0	0	495	0	495	0	37476	0	0	17444		7617	12340	647	5926	16018	0	0	720	5206	1545	146	8683	7335	846	580	4527	37476	111	0	0	
827971	32116	0	5022	7211	0	17209	0	0	0	0	0	0	103298	0	7036	16219		48866	6097	6515	40899	14986	0	0	5870	35029	5179	2788	2563	12423	1116	117	12187	95988	0	274	759	
828053	5926	0	4641	11464	0	26641	0	0	0	0	0	0	37178	0	1438	6380		23036	1836	3107	20803	5170	0	0	6429	14374	1623	610	1377	3793	1010	200	22000	35740	0	0	631	
