"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
2634191																																																										0	9925	29145	0	327	327	5664	0	65467	0	65467	142696	9988	0	0	949999	0	0	0	183369	21834	105109	129979	7236	25518	60602	27740	24694	30612	75376	80413	211046	137561	158487	35634	0	0	0	0	0	0	0	0	8732	0		0	0	72828	164448	150850	84726	0	0	0			0	794																									0	0	0	0	0	0	0	0	0	0	0	0	3905	581214	32	
2634351																																																										0	28924	29100	0	24423	24423	22907	11230	330591	0	330591	94575	27659	0	553	1559837	270	0	3813	228899	54338	59857	516131	22987	38764	35926	40147	21590	65007	348727	220921	250571	300798	124631	6627	0	0	0	0	0	0	0	0	3082	0		0	0	15098	202862	320805	176291	0	0	0			4427	978																									0	0	0	0	0	0	0	0	0	0	0	0	42249	765566	244	
2634735																																																										0	1113	4783		282		0	4152			4735	2859	1022	0	0	63826	66	0	0	7555	2185	1032	24285	439	1515	3320	338	0	256	9954	13668	16617	4505	291	137								0	137			0	0	4834	2170	20062	12155			0			464	2265																									0	0	0	0	0	0	0	0	0	0	0	0	2073	4338	0	
2635077																																																										0	80	3604		82		0	842			26505	10821	1858	0	0	185442	0	0	0	16159	2422	6574	102074	6670	2016	2281	4237	35	0	104643	18393	11600	23616	5873	0								0	269			0	0	20030	48463	33130	22019			0			287	0																									0	0	0	0	0	0	0	0	0	0	0	0	6069	13590	128	
2636083																																																										0	0	7823		61		0	5084			31660	18114	1212	0	0	247140	0	0	0	58051	14105	32108	29177	13544	10209	14224	5644	6166	6272	62890	16037	59155	32272	9951	160								0	0			0	0	800	6066	49631	59617			605			404	0																									0	0	0	0	0	0	0	0	0	0	0	0		93657		
2640530																																																										0	3287	2770		7		0	843			21668	7904	2780	0	2483	142843	210	1452	0	3961	4998	153	43216	81	324	145	21	3390	0	36120	6691	13820	23847	50515	1462								358	65			0	0	358	11800	38659	40503			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	7078	115009	37	
2640594																																																										0	1677	5856	0	1110	1110	0	15959	81913	0	81913	9394	5278	0	0	648261	698	0	0	64339	4436	40286	334234	22547	22128	12877	1736	28	410	174456	154475	87832	19243	20470	3297	0	0	0	0	0	0	0	0	1594	0		0	0	164828	126980	64989	116565	0	0	0			3341	0																									0	0	0	0	0	0	0	0	0	0	0	0	32153	40196	280	
2641827																																																										0	0	0		0		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0		0	0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2642598																																																										0	7985	368		0		5396	0			23112	1439	2876	0	0	111110	0	0	0	6094	2219	1083	23323	1058	1430	1021	1226	743	616	10567	19505	25079	25534	10873	12664								0	172			0	0	4509	5444	32105	19391			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		500		
2643438																																																										0	0	546904	0	32	32	0	37902	133282	0	133282	601517	1038	0	4500	4935639	0	0	15845	103435	2220	76815	2055687	32508	22391	10954	4797	17329	13841	1645025	355763	888586	187067	663050	759858	0	0	0	0	0	0	0	3529	2010	0		22082	17233	68968	1712975	163304	1591925	0	0	3199			0	1738																									0	0	0	0	0	0	0	0	0	0	0	0	1511762	3599370	6329	
