"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
3253571																																					0	3707	0	0	32817	0	2666	0	5373	262518	206092	1857	236270	0	2151	3340	13500	0	26248	11486	262518	0	0	-140	0	14937	0	24281	181811	1	0	195431	193280	-35	21335	0	0	14821	
3253834																																					24	619	0	0	5657	0	2764	852	919	54029	41805	280	48085	0	329	0	6000	0	5944	100	54029	0	0	-450	0	6213	0	5308	36497	9	0	42598	42269	81	925	0	0	0	
3254185																																					37	1386	0	8626	0	0	5670	778	1265	85530	73548	230	77489	0	851	0	338	0	8041	4925	85530	0	0	-2047	0	5163	0	7361	66187	2	0	68519	67668	0	100	0	787	2586	
3254297																																					816	1116	0	0	13775	0	2201	0	1166	72313	55427	297	63724	0	579	0	8000	0	8588	857	72312	0	0	45	0	7666	220	8257	47170	2	0	51776	51197	20	1822	0	0	0	
3255098																																					1114	4780	0	0	15525	0	3003	1058	2102	107660	94865	266	99131	0	868	0	4000	0	8528	4591	107659	0	0	-2120	0	5954	0	13051	81814	1	0	78841	77973	103	2105	0	0	0	
3257047																																					4	1471	0	0	11796	0	794	1258	3590	180343	132092	818	143910	0	4184	0	11000	0	36434	15996	180344	0	0	719	0	19502	0	6655	125437	1	0	161021	156837	217	4593	0	0	0	
3258286																																					3560	1955	0	0	341	0	270	0	841	72357	57995	213	62208	0	699	0	4000	0	10149	9975	72357	0	0	110	0	63	0	8945	49050	1	0	59704	59005	1	6385	0	0	0	
3259171																																					69	3530	244	0	6673	0	2630	0	632	55857	49887	170	50057	0	405	1928	0	0	5800	2000	55857	0	0	-732	0	4500	0	4229	45658	2	0	33691	33286	32	6865	0	0	0	
3261549																																					103	9277	0	0	58777	0	6770	75	22939	653666	543031	6188	606388	0	8253	0	50000	0	47278	24985	653666	0	0	4410	0	17750	2059	24110	518921	1	0	561919	553666	133	0	0	5407	1762	
3262788																																					396	1842	0	0	16402	0	5550	210	2388	133028	107901	395	120316	0	1039	0	8000	0	12712	1221	133028	0	0	-1388	0	12612	0	9281	98620	1	0	104106	103067	267	3173	0	0	4020	
3263833																																					15481	3581	0	0	46102	0	3016	0	6268	397926	350968	2648	363182	0	6532	0	0	0	34744	2802	397926	0	0	3675	0	28041	0	33571	317397	2	0	324588	318056	226	5422	0	5500	4066	
3264782																																					5	1102	0	0	1762	0	3968	1140	512	67400	57128	220	59723	0	545	0	0	0	7677	5250	67400	0	0	137	0	2250	0	3758	53370	2	0	59456	58911	40	0	0	2375	0	
3265257																																					2821	2214	0	999	19095	0	2329	599	1379	134772	113320	473	123943	0	1221	0	2900	0	10829	5107	134772	0	0	1711	0	3632	0	17755	95566	2	0	106532	105311	379	25	0	50	7200	
3266487																																					1184	1119	0	0	2896	0	1263	0	445	30421	24546	77	26729	0	310	0	0	0	3692	2650	30421	0	0	-1938	0	2950	0	2429	22117	1	0	23055	22745	30	769	0	2106	0	
3266825																																					1180	29	0	0	4097	0	84	0	672	6062	0	159	159	0	0	0	0	0	5903	5000	6062	0	0	-148	0	1041	0	0	0	2	0	0	0	10	0	0	0	0	
3267185																																					1591	1253	0	0	30832	0	882	0	1393	138714	118411	710	123121	0	1052	0	0	0	15593	9006	138714	0	0	-2465	0	8833	0	8855	109556	1	0	103381	102329	219	434	0	4000	0	
3267738																																					101	2625	0	0	8165	0	2221	0	1778	165480	139524	851	154096	0	644	0	11300	0	11384	4000	165480	0	0	1344	0	6000	0	8910	130614	1	0	151234	150590	40	0	0	333	2088	
3267934																																					0	2680	0	0	0	0	339	0	887	54068	46737	67	46804	0	745	0	0	0	7264	8000	54068	0	0	-736	0	0	0	16931	29806	1	0	50242	49497	0	665	0	0	0	
3268173																																					3981	56	0	0	0	0	0	0	0	4037	500	22	522	0	0	0	0	0	3515	1000	4037	0	0	-485	0	3000	0	500	0	2	0	0	0	0	0	0	0	0	
