"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1154	45	28	0	1090	9	0			0	0	
242	171	0	10	0	161	0	0			0	0	
279	343	3	0	0	340	0	0			0	0	
354	213	0	5	0	208	0	0			0	0	
457	269	0	0	0	269	0	0			0	0	
505	3007	135	6	0	2936	70	0			0	0	
1155	1743	90	3	0	1695	45	0			0	0	
1351	1130	30	15	0	1120	35	0	0	0	0	0	
1454	2084	0	16	0	2093	25	0			0	0	
1557	382	0	1	0	381	0	0	0	0	0	0	
1632	7666	-330	318	0	7843	165	0			0	0	
1669	1746	70	19	0	1698	41	0			0	0	
1829	3968	45	11	0	3918	6	0			0	0	
1856	187	3	8	0	176	0	0			0	0	
2040	2026	78	11	0	1952	15	0			0	0	
2161	578	0	7	0	584	13	0			0	0	
2376	10932	750	0	0	10182	0	0			0	0	
2451	367	36	0	0	347	16	0			0	0	
2554	39	0	1	0	38	0	0			0	0	
2732	3819	75	7	0	3754	17	0			0	0	
2750	359	0	18	0	341	0	0			0	0	
2938	5540	159	31	0	5594	244	0			0	0	
3252	994	130	47	0	962	145	0			0	0	
3458	293	0	0	0	294	1	0			0	0	
3720	1408	11	0	0	1397	0	0			0	0	
3953	1394	50	84	0	1269	9	0			0	0	
4138	1344	310	25	0	1220	211	0			0	0	
4156	1421	0	95	0	1608	282	0			0	0	
4231	754	36	25	0	712	19	0			0	0	
4437	2002	135	12	0	1882	27	0			0	0	
4839	2440	70	9	0	2389	28	0			0	0	
5005	2714	105	0	0	2609	0	0			0	0	
5069	8204	0	0	0	8204	0	0			0	0	
5135	3395	150	6	0	3287	48	0			0	0	
5210	5931	120	14	0	5848	51	0			0	0	
5331	1677	1400	0	0	1632	1355	0			0	0	
5461	2876	0	2	0	2876	2	0			0	0	
5751	973	0	0	0	973	0	0			0	0	
6039	958	0	3	0	985	30	0			0	0	
6141	383	15	11	0	388	31	0			0	0	
6329	3814	450	160	0	3756	552	0			0	0	
6972	10081	0	24	0	10057	0	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	753	30	5	0	740	22	0			0	0	
7157	231	0	0	0	231	0	0			0	0	
7456	200	10	0	0	190	0	0	0	0	0	0	
7634	670	47	8	0	674	59	0			0	0	
8033	928	0	56	0	894	22	0			0	0	
8462	335	0	8	0	342	15	0			0	0	
8631	376	15	2	0	362	3	0			0	0	
9357	5443	250	17	0	5937	761	0			0	0	
9553	617	0	0	0	617	0	0			0	0	
9807	68339	0	0	0	68353	14	0			0	0	
9955	472	0	5	0	469	2	0			0	0	
10157	848	377	0	0	832	361	0			0	0	
10250	3910	180	36	0	3741	47	0			0	0	
10849	4020	480	28	0	3564	52	0			0	0	
10858	3613	947	132	0	3236	702	0			0	0	
11145	1467	90	7	0	1478	108	0			0	0	
11640	1589	91	91	0	1510	103	0			0	0	
11837	1010	0	7	0	1003	0	0			0	0	
12030	8295	900	1360	0	6920	885	0			0	0	
12058	731	2	14	0	731	16	0	0	0	0	0	
12142	1339	40	57	0	1298	56	0			0	0	
12245	840	3	1	0	836	0	0			0	0	
