"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											143					0	0	0	0	
242											201					3500	66	0	110	
279											1281					29210	0	0	0	
354											4					0	0	0	0	
457											124					0	0	0	0	
505											3345					50500	0	0	0	
1155											811					3000	0	0	28616	
1351											0					0	0	0	0	
1454											1092					0	9	0	0	
1557											141					2084	0	0	0	
1632											4048					57000	0	0	2915	
1669											427					723	0	0	0	
1829											2572					39199	1911	0	4296	
1856											4620					82000	0	0	0	
2040											1368					24892	0	0	2125	
2161											267					0	0	0	0	
2376											19297					404615	8429	0	0	
2451											949					10366	0	0	0	
2554											0					0	0	0	0	
2732											174					208	0	0	0	
2750											498					6000	0	0	0	
2938											2011					29000	0	0	2801	
3252											314					2598	0	0	0	
3458											177					0	0	0	3660	
3720											702					7167	0	0	3919	
3953											1023					6720	4	0	0	
4138											953					2091	0	0	3426	
4156											1820					27500	0	0	0	
4231											0					0	0	0	0	
4437											897					9876	0	0	4537	
4839											1795					35900	0	0	9710	
5005											3973					61130	12123	0	0	
5069											0					0	6017	0	0	
5135											1587					22500	0	0	0	
5210											7463					92720	0	0	35254	
5331											3588					2557	0	20000	93500	
5461											1887					24890	0	0	0	
5751											276					0	0	0	0	
6039											585					0	51	0	0	
6141											0					0	0	0	0	
6329											892					0	0	0	0	
6972											3383					77310	0	0	10535	
7009											0					0	9015	0	0	
7045											0					0	0	0	0	
7157											23					0	0	0	0	
7456											225					0	0	0	0	
7634											738					0	0	0	0	
8033											1401					20050	0	0	0	
8462											21					0	0	0	0	
8631											132					0	0	0	0	
9357											2310					27200	970	0	8274	
9553											744					2923	0	0	0	
9807											23631					332377	0	0	149538	
9955											449					2191	0	0	0	
10157											594					0	0	0	0	
10250											1628					16000	0	0	0	
10849											2019					41424	0	0	0	
10858											1456					14224	0	0	26947	
11145											1086					15700	0	0	0	
11640											2318					30021	0	0	0	
11837											600					0	0	0	0	
12030											1010					0	0	0	0	
12058											523					6089	0	0	0	
12142											581					2000	0	0	0	
12245											395					7900	3393	0	0	
12311	0	153158	714650	1485349	0	0	760510	856876	5900	3985712	417601	0	55566801	1171047	48115140	6204652	9269	1038820	2008700	
12647											310					6200	0	0	0	
12656											29					0	0	0	0	
12937											776					223	0	0	0	
12946											2181					35871	625	0	0	
12955											753					3300	0	0	0	
13037											217					0	0	0	0	
13103											12036					189230	73069	0	6860	
13251											141					0	0	0	0	
13457											3					0	568	0	0	
14052											247					1000	0	0	0	
14155											752					13835	0	0	0	
14258											4022					0	0	0	0	
14454											95					900	0	0	0	
14650											111					0	0	0	0	
14753											9					0	0	0	0	
14865											560					14818	0	0	0	
14977											182					287	0	0	0	
15536											33103					492085	115824	0	0	
16337											2195					29000	0	0	894	
16458											776					1900	0	0	0	
16551											2496					26163	0	0	0	
16748											344					2000	0	0	0	
16944											0					0	500	0	0	
16953											0					0	0	0	0	
17110											219					0	24185	1086	0	
17147											11301					128732	0	0	74229	
17259											414					4250	0	0	0	
17464											10147					321449	410	0	13408	
17839											509					0	0	0	4198	
17950											962					12285	0	0	0	
18050											591					783	0	0	0	
18135											1424					20370	0	0	9598	
18377											94					0	0	0	0	
18827											424					757	0	0	0	
18836											670					4485	28	0	0	
18854											232					0	0	0	0	
18957											442					4627	0	0	0	
19356											157					0	0	0	0	
19730											18195					113243	5533	0	34146	
19936											1659					10000	0	0	3550	
19972											183					0	0	0	0	
20053											503					6949	672	0	1000	
20147											495					2719	0	0	0	
20259											350					10	0	0	0	
20370											363					7800	0	0	0	
20512											1006					16020	0	0	0	
20633											498					7000	1000	0	0	
20839											738					8000	0	0	0	
20857											291					1343	0	0	0	
20866											1384					30161	0	0	0	
21256											86					500	0	0	0	
21359											114					368	0	0	0	
21630											512					5189	0	0	0	
21658											442					1722	0	0	0	
22048											589					6516	0	0	1572	
22235											1368					17000	0	0	0	
