"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIREMT DEP ACCTS $250,000 OR L	NMBR RETIREMT DEP ACCTS $250,000 OR 	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIREMT DEP ACCTS MOR THAN $250	AMT OF DEPOSIT ACCOUNTS $100,000 OR 	NBR OF OTH DEP ACCTS OF $100,000 OR 	AMT OF OTH DEP ACCTS MORE THAN $100,	NBR OF DEP ACCTS OF MOR THN $100,000	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
670159								0	1028		0	0	20958		33044	71	55030	0				
670421								0	732		0	0	15398		5923	38	22053	0				
670430								0	5058		0	0	77327		33718	178	116103	0				
670467								0	11769		845	2	222933		157932	706	393480	0				
670560								0	0		0	0	0		0	0	0	0				
670654								0	1237	114	252	1	14522	2325	7052	33	23063	0				
670748								0	2125		503	1	28851		18429	64	49908	0				
671053								0	1538		0	0	16846		9578	51	27962	0				
671147								0	12671		655	2	149810		101643	482	264779	0	254274	0		
671334								0	45412		0	0	310379		287312	1151	643103	0				
671464							774557	0	3484		0	0	612153		1079282	2967	1694919	0	1634165	0		
671558								0	19719		0	0	289609		125897	522	435225	0				
671576							367707	0	24491		0	0	3470758		637384	2697	4132633	0	4129408	0		
671857								0	1419		0	0	9617		8889	55	19925	0				
672041								0	948		0	0	10900		2404	19	14252	0				
672238								0	2944		0	0	30386		3795	22	37125	0				
672247								0	11073		586	2	82164		38412	172	132235	0				
672359								0	1538		387	1	14649		9580	33	26154	0				
672537								0	9999		348	1	106683		77069	308	194099	0				
673132								0	35549		2085	6	221944		212932	863	477477	4967				
673178								0	4596		963	2	44534		22634	126	72727	0				
673244								0	6451		1240	3	54434		24290	74	86415	0				
673431								0	9175		5978	6	117452		165352	338	297957	0				
673440							298722	0	92340		2004	6	1138063		361068	924	1593475	0	1571338	0		
673851								0	5305		0	0	37468		33427	186	76200	0				
673909								0	25120		1561	3	229593		207763	942	464037	0	449959	0		
673963								0	11809		0	0	129889		144188	651	285887	0	282475	0		
674344								0	4209		271	1	31765		11145	59	47390	0				
674849								0	6546		550	2	80615		55497	259	143208	0				
675042								0	3582		561	2	38033		11548	56	53724	0				
675051								0	1430		2339	1	21487		48550	100	73806	0				
675079								0	2717		0	0	44733		11855	78	59305	0				
675239								0	16259		609	2	60551		16421	77	93840	0				
675248								0	5797		0	0	27697		17365	93	50859	0				
675332	118848483	3857137	118870054	5831201	3855619	5830379	29994946	0	2673246		159834	392	60232205		51926061	156841						
675341								0	2169		0	0	15614		4995	23	22778	0				
675659								0	3968		280	1	41413		31209	131	76871	0				
675855								0	624		287	1	12174		6605	48	19690	0				
675949								0	3710		263	1	72536		82477	190	158986	0				
676049								0	7929		698	2	60011		68773	311	137411	0				
676151								0	6637		1204	4	87824		43338	140	139003	0				
676160	1402101	32753	1458446	36844	32334	36405	593894	0	7108		0	0	345678		1016562	2671						
676245								0	3834		0	0	47500		23170	117	74504	0				
676656	8452172	1931149	8201339	1906835	1931149	1906835	3092909	0	96706		2665	7	1952378		4469274	9830						
676955								0	2286		0	0	17986		17402	65	37674	0				
677354								0	3171		0	0	30352		23248	100	56771	0				
677448								0	3197		260	1	36133		19760	104	59350	0				
677644								0	9344		0	0	151467		105762	509	266573	0				
677756								0	1782		0	0	27825		13888	14	43495	0				
678043								0	13247		2054	6	92610		75390	281	183301	0				
678052								0	955		0	0	20947		6146	40	28048	0				
678070								0	21001		1288	3	116341		39951	272	178581	0				
678258								0	2300		671	1	20104		10373	58	33448	0				
678454								0	10838		12344	17	57789		20649	119	101620	0			n/a	
678557								0	2572		0	0	33862		17147	64	53581	0				
678717							50650	0	49255		6838	13	472851		235740	902	764684	0	742505	0		
678744								0	3544		0	0	46815		22402	73	72761	0				
678931								0	1400		0	0	32557		13957	74	47914	0				
679246								0	4675		0	0	25224		14533	56	44432	0	44388	0		
679451								0	1542		352	1	17150		7104	40	26148	0				
679648								0	3047		0	0	29093		13993	56	46133	0				
679826								0	6289		0	0	241249		352867	993	600406	0				
680055								0	2015		253	1	73451		68624	251	144343	0				
680130								0	2893		0	0	136601		175445	340	314939	0				
680149								0	2947		0	0	36015		21886	87	60848	0				
680354								0	8493		446	1	89489		234428	520	332856	0				
680457								0	11946		666	1	176353		149570	584	339540	1005				
680747								0	7683		1313	4	43322		12352	79	64670	0				
680813								0	47411		5316	12	415130		170945	853	638802	0				
680952								0	422		0	0	12952		22655	26	36029	0				
