"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	16056	15759	178	0	0	0	0	0	15759	0	0	119	
242	4104	3987	181	0	0	135	0	0	3987	0	0	71	
279	21258	20917	147	0	-101	0	0	0	20917	0	0	295	
354	1003	942	31	0	0	0	0	0	942	0	0	30	
457	3039	2920	172	0	0	51	0	0	2920	0	0	-2	
505	26779	25982	703	0	0	310	0	0	25982	0	0	404	
1155	16066	15876	786	0	0	965	0	0	15876	0	0	369	
1351	16800	16359	680	0	0	300	0	0	16359	0	0	61	
1454	37686	35843	1978	0	0	1100	0	0	35843	0	0	965	
1557	4845	4797	127	0	0	182	0	0	4797	0	0	103	
1632	62587	59402	2449	0	0	0	0	0	59402	40	0	696	
1669	40565	39643	773	0	0	0	0	-184	39459	0	0	333	
1829	37197	36496	738	0	0	531	0	0	36496	0	0	494	
1856	17538	15986	755	0	0	251	0	0	15986	0	0	1048	
2040	17723	16785	589	0	0	0	0	0	16785	0	0	349	
2161	12004	11318	315	0	0	0	0	0	11318	0	0	371	
2376	188571	185761	2033	0	242	0	0	0	185761	0	0	535	
2451	4187	4108	79	0	0	0	0	0	4108	0	0	0	
2554	1073	591	32	309	100	0	0	0	591	0	0	41	
2732	68214	66584	1239	0	0	232	0	0	66584	0	0	623	
2750	5312	5239	139	0	0	154	0	0	5239	0	0	88	
2938	31872	31606	1006	0	0	1133	0	0	31606	26	0	367	
3252	14476	13714	840	0	0	500	0	0	13714	0	0	422	
3458	3069	2907	57	0	0	0	0	0	2907	0	0	105	
3720	23422	22686	617	0	0	120	0	0	22686	0	0	239	
3953	9688	9026	1012	0	0	350	0	0	9026	0	0	0	
4138	17559	17381	222	0	0	50	0	0	17381	0	0	6	
4156	17237	16281	671	0	0	400	0	0	16281	0	0	685	
4231	14265	13694	347	0	0	0	0	0	13694	0	0	224	
4437	23368	23171	614	0	0	442	0	0	23171	0	0	25	
4839	23959	23142	439	0	0	144	0	0	23142	0	0	522	
5005	38498	38226	228	0	0	0	0	0	38226	0	0	44	
5069	93899	91847	4170	0	0	1784	0	0	91847	0	0	-334	
5135	32409	31523	827	0	0	0	0	0	31523	0	0	59	
