"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
561574	124945	6	0	11288	0	27010	0	0	0	1088	1088	0	284100	0	16940	58202		49954	50998	9576	42438	53600	0	1088	7907	34531	6720	795	18172	35428	3455	1147	26946	267065	58	95	
561659	30977	40	1992	11292	0	20193	0	0	98	0	98	0	315249	0	23601	51465		91531	141276	14489	61727	39205	0	0	22684	41573	25850	1424	13321	26110	11832	203	18161	291648	0	0	
561864	1508	18	1069	40120	0	44470	0	0	0	0	0	0	41632	0	196	11000		5812	23312	607	5724	10800	0	0	2217	3507	88	0	4731	6069	200	0	43383	41436	0	0	
561958	3515	10	2404	16264	0	28217	0	0	0	0	0	0	66230	0	17698	36822		24775	1118	4120	23968	36822	0	0	8506	15462	807	0	24349	12473	0	0	25797	48532	6	0	
562058	24334	8	11013	23286	0	49920	0	0	0	9028	9028	0	140359	0	13013	28604		69243	18178	16291	43484	20281	0	6528	9070	34414	19895	5864	3651	16630	7458	865	38899	127346	0	0	
562553	5632	11	6646	28923	0	45529	0	0	0	0	0	0	64669	0	8954	18432		23374	17231	3917	20761	17818	0	0	6307	14454	2613	0	7053	10765	614	0	38872	55715	0	0	
563233	94886	308	16115	14469	0	35879	0	0	0	0	0	0	222797	0	5049	33330		76087	18494	27046	51850	21309	0	0	13698	38152	15189	9048	4324	16985	8033	3988	19456	217649	0	99	
563336	7495	23	1248	20214	0	30867	0	0	0	0	0	0	44071	0	9873	14209		15640	6727	4733	9930	11223	0	0	4964	4966	3230	2480	6720	4503	846	2140	29579	34196	17	2	
563457	3858	0	1001	4472	0	11589	0	0	0	0	0	0	31370	0	2525	3119		20669	3724	1620	17564	2670	0	0	6580	11213	2876	0	1239	1658	222	0	10588	28845	0	0	
563756	7592	10	7857	16666	0	40652	0	0	0	0	0	0	106729	0	15140	40051		31041	28045	6791	24227	35136	0	0	7237	16990	5563	1251	12092	23044	4099	816	32785	91589	0	0	
563774	4261	3	1	91	0	91	0	0	0	0	0	0	33222	0	0	9793		15784	3384	3191	13531	8014	0	0	4102	9429	2253	0	1650	6364	1779	0	87	33222	0	0	
563907	69539	31	14828	28623	0	59611	0	0	19924	0	19924	0	275464	0	3854	21501		92824	91600	17067	46771	11801	19924	0	17879	50679	21459	2807	2708	9093	8481	1219	44752	271610	0	0	
563934	2350	1	4612	6253	0	12356	0	0	0	0	0	0	25566	0	290	7190		9128	6898	2462	7087	6018	0	0	2189	4898	1704	337	1483	4535	822	349	7743	25276	0	0	
564052	13681	0	1549	12021	0	16498	0	0	0	5658	5658	0	101572	0	3354	13783		30240	43868	11421	22328	11304	0	5658	5647	16681	7283	629	6376	4928	1875	604	14949	98218	0	0	
564155	18199	0	9397	28795	0	59181	0	0	0	0	0	0	150336	0	12816	40164		60975	30998	9263	51948	35001	0	0	16004	35944	8881	146	13259	21742	5163	0	49784	137520	0	0	
564324	30151	12	1925	23645	0	44211	0	0	2726	27624	30350	0	246620	0	60094	111992		87436	17039	11655	57663	95871	1279	19830	12823	48230	22978	3405	29806	66065	14910	1211	42274	185793	0	733	
564463	4912	15	493	13540	0	27462	0	0	0	0	0	0	52550	0	3520	9381		23422	14835	6320	14168	5338	0	0	4728	9440	6554	2700	3186	2152	3617	426	26937	49014	17	16	
564557	6289	39	20608	37954	0	71599	0	0	40766	0	40766	0	286367	6757	3972	156467		103554	20056	2316	94994	137287	40766	0	38064	56930	8180	380	53661	83626	15714	3467	50952	275638	0	0	
564678	28648	0	0	3648	0	9072	0	0	0	0	0	0	81275	0	0	12503		39101	1023	6877	32401	10648	0	0	11593	20808	5829	871	4304	6344	1327	528	9072	81275	0	0	
564771	8043	39	15	50167	0	107932	0	0	26661	0	26661	0	625507	0	6970	209766		259161	148537	29478	214415	163063	26661	0	46996	167419	39456	5290	38188	124875	34816	11887	107878	618537	0	0	
564838	6860	0	1210	14482	0	32104	0	0	0	0	0	0	55214	0	1000	13679		28624	6051	8319	21543	9797	0	0	4102	17441	5822	1258	2733	7064	2456	1426	30894	54014	0	200	
564856	3067	7	19	11431	0	13997	0	0	0	0	0	0	29868	0	159	5125		5889	15787	1103	4903	5018	0	0	1525	3378	750	236	1055	3963	107	0	13971	29709	0	0	
565143	11291	2	1324	27490	0	51139	0	0	0	0	0	0	55749	0	373	5701		35672	3085	10794	29006	4910	0	0	8485	20521	5965	701	1446	3464	791	0	49813	55376	0	0	
565152	6780	3	503	5703	0	9005	0	0	0	0	0	0	16588	0	4314	1557		4908	3343	1539	3286	1252	0	0	993	2293	1611	11	299	953	305	0	8499	12274	0	0	
565536	10128	0	4884	6088	0	16486	0	0	0	0	0	0	67275	0	8173	10672		35736	10739	8372	19226	5566	0	0	7171	12055	14682	1828	2603	2963	3870	1236	11602	58922	0	180	
565750	19547	19	2608	46419	0	76001	0	0	0	0	0	0	277054	0	37953	61034		140577	55896	27681	104529	54393	0	0	22723	82346	31673	3835	37862	16531	6358	283	73374	239101	0	0	
565844	2776	0	3299	6890	0	17794	0	0	0	0	0	0	28632	0	103	2423		16373	7060	1536	12341	1993	0	0	4658	8290	2917	506	527	1466	430	0	14495	28529	0	0	
566056	12607	5	2936	16115	0	23773	0	0	1583	0	1583	0	81705	0	10805	18965		41850	8283	5253	34442	16955	1287	0	9828	24615	6583	824	9034	7921	1777	233	20775	63845	57	7055	
566243	6918	7	3104	10213	0	30859	0	0	0	0	0	0	50867	0	5747	4321		25145	14483	7650	21064	3334	0	0	9826	11238	4081	0	855	2479	987	0	27741	45120	7	0	
566458	5160	0	1654	12130	0	25895	0	0	0	2250	2250	0	24471	0	113	4347		13273	1691	2653	8218	3653	0	2250	2335	5883	3185	1870	453	3200	694	0	24241	24257	0	101	
566551	9302	5	829	9763	0	16022	0	0	1100	0	1100	0	32864	0	885	5321		11730	6511	1556	10403	5321	1100	0	5234	5169	1327	0	3512	1809	0	0	15138	31668	50	311	
566953	2116	3	698	6375	0	13468	0	0	0	0	0	0	18252	0	182	1708		9484	4944	1700	8424	1605	0	0	3378	5046	758	302	907	698	103	0	12767	18070	0	0	
567231	3729	0	0	40394	0	41598	0	0	0	0	0	0	247188	0	17720	29136		124790	89533	4342	109636	27555	0	0	23948	85691	14895	256	8832	18723	1581	0	41598	223931	0	5537	
567240	6354	665	2181	14026	0	31282	0	0	0	0	0	0	65342	446	948	15166		41235	2587	4638	18658	7768	0	0	6597	12061	22041	536	2285	5483	7298	100	28436	56013	0	7935	
567736	6292	0	3466	14390	0	21050	0	0	0	0	0	0	33162	0	4874	9261		14735	2875	3346	12135	7726	0	0	3859	8276	2470	129	1950	5777	1075	460	17584	28288	0	0	
567754	2918	0	284	3801	0	5747	0	0	3069	496	3565	0	46931	0	782	13486		25829	4698	3210	15963	10889	1287	0	7033	11622	6358	816	2414	9329	1143	601	5463	42584	0	3565	
567905	33045	2	27423	34878	0	65271	0	0	3861	798	4659	0	248346	0	79817	55581		64413	95307	15117	23714	42264	0	0	7859	15855	21648	19051	34310	7954	9835	3482	37845	155911	1	12618	
568126	29476	21	0	12857	0	23016	0	0	1482	0	1482	0	82727	0	1904	7979		43492	1780	10940	27565	4351	1482	0	8143	19422	14153	1774	1603	2748	3120	508	22995	80823	0	0	
568135	12091	64	1915	12716	0	18182	0	0	0	0	0	0	69876	64	15720	21690		29735	6360	5081	21624	18470	0	0	6495	15163	7493	584	9581	8890	2988	231	16203	54092	0	0	
568144	5517	47	2825	31495	0	58314	0	0	270	76611	76881	0	209894	0	27359	141590		38838	23951	12780	20476	60027	99	15321	6517	13959	14798	3564	25259	34768	39333	42229	55435	177464	7	5071	
568238	4503	5	1152	7776	0	12747	0	0	0	0	0	0	19138	0	1171	3280		9591	1765	1962	9376	3280	0	0	3782	5594	216	0	1067	2213	0	0	11590	17967	0	0	
568359	2318	0	591	3064	0	7123	0	0	0	0	0	0	25111	0	4058	3077		14254	5462	960	9853	2618	0	0	2373	7480	3392	1009	435	2183	204	255	6532	21053	0	0	
568443	2953	2	794	4891	0	12392	0	0	0	0	0	0	52876	0	3612	10955		26516	12452	5973	21706	8572	0	0	6669	15037	4235	575	2523	6049	1979	404	11596	49264	0	0	
568470	66537	3	13146	41121	0	102688	0	0	0	0	0	0	376792	0	57104	75798		127551	106905	21287	108055	70318	0	0	29640	78415	19139	357	30212	40106	5480	0	89539	319688	0	0	
568751	4711	0	1740	16476	0	35848	0	0	487	0	487	0	37429	0	5551	12253		12857	7608	2885	10369	11235	487	0	4262	6107	2457	32	7233	4002	1018	0	34108	31878	0	0	
568854	888	0	909	1733	0	4006	0	0	2079	0	2079	0	9647	0	1374	1420		6217	1122	185	5142	1020	1881	0	1859	3283	1075	0	510	510	400	0	3097	8273	0	0	
568939	19670	0	386	37806	0	76306	0	0	0	0	0	0	91948	0	3444	25112		44232	2934	12642	17682	9562	0	0	7639	11060	17203	8330	2694	6868	10980	4570	75920	88504	0	0	
569253	0	162	5019	11618	0	28181	0	0	0	0	0	0	25128	0	179	7222		11709	6197	3020	10304	6476	0	0	4977	6339	392	0	2451	4771	0	0	23000	24949	0	0	
569422	149423	35	9929	14577	0	31124	0	0	0	0	0	0	300245	1	3421	39590		102464	8768	21442	58989	18248	0	0	14051	44938	35538	7937	3765	14483	17237	4105	21160	296823	0	0	
569459	4291	3	826	8229	0	12675	0	0	0	0	0	0	22558	0	3944	4199		7175	6893	1420	4914	2902	0	0	2075	3600	1498	2	1583	2316	300	0	11820	18614	26	0	
569534	12024	0	23903	30295	0	87756	0	0	0	6650	6650	0	208715	0	12388	75098		71675	49918	23912	39991	43713	0	2000	8911	31080	22158	9526	14802	28911	20008	11377	63853	196327	0	0	
569945	43206	0	3088	4437	0	6227	0	0	0	6148	6148	0	91093	0	3336	16781		27874	3232	6280	13981	5412	0	5148	3290	10691	12027	1866	2256	3156	5120	6248	2152	87757	987	0	
569972	13156	0	705	11493	0	31256	0	0	0	0	0	0	34848	0	161	3917		9161	8614	1745	7836	3717	0	0	2543	5293	1202	123	1771	1947	200	0	30551	34687	0	0	
570231	1371753	1014	184479	1149529	0	1434723	0	0	908884	0	908884	0	13592422	1341	436047	2575739		3750095	5894835	397422	2169895	1672631	771469	0	593562	2347820	653773	154940	603088	1211492	515930	245229	1247006	13154156	2224	878	
570558	12590	16	1930	24039	0	53508	0	0	0	0	0	0	40842	0	3195	6118		10467	11665	2462	9188	5986	0	0	3820	5733	915	0	2366	3620	132	0	51562	37647	0	0	
570651	3310	1	244	3604	0	6495	0	0	0	0	0	0	24394	0	2016	3369		15435	2280	1325	12548	2751	0	0	3122	9426	2887	0	412	2438	519	0	6250	22278	0	100	
570745	7802	3	687	6341	0	7749	0	0	0	0	0	0	38382	0	1889	7138		18314	5128	4836	12045	3931	0	0	4086	8320	4935	973	1407	2524	2851	357	7059	36266	0	227	
570848	17338	2	15490	5182	0	26185	0	0	0	0	0	0	48174	0	3292	5879		23950	1008	1461	16872	5007	0	0	5242	11630	6577	500	1605	3402	872	0	10693	44782	0	100	
571135	5651	1	5002	9675	0	16736	0	0	0	0	0	0	43939	0	2391	14882		18132	5274	5386	13025	10565	0	0	3073	9952	5050	57	3450	7115	4217	100	11733	41548	0	0	
571153	2207	34	435	1856	0	5286	0	0	0	0	0	0	11574	0	2287	2114		5339	1914	1024	3679	1602	0	0	1529	2150	1404	256	1502	100	412	100	4817	9287	0	0	
