"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											157	0			0			0	0	0	0	
242											162	0			0			2992	0	0	201	
279											1866	0			0			27498	0	0	0	
354											5	0			0			0	0	0	0	
439											340	0			0			0	0	0	0	
457											40	0			0			0	0	0	0	
505											2139	0			0			17500	0	0	0	
1146											2141	0			0			21555	958	0	0	
1155											623	0			0			12225	0	0	20512	
1351											0	0			0			0	0	0	0	
1454											1096	0			0			0	5	0	0	
1557											129	0			0			2173	0	0	0	
1632											2457	0			0			39000	0	0	3072	
1669											425	0			0			1000	0	0	0	
1829											1172	0			0			7000	2103	0	3762	
1856											4270	0			0			83000	0	0	50000	
2040											1139	0			0			18467	347	0	0	
2161											244	0			0			0	0	0	0	
2376											9866	0			0			197314	60000	0	0	
2451											371	0			0			4765	0	0	0	
2554											0	0			0			0	0	0	0	
2732											181	0			0			356	0	0	0	
2750											387	0			0			5400	0	0	600	
2938											2502	0			0			40500	0	0	6615	
2956											338	0			0			4500	0	0	0	
3252											283	0			0			3054	0	0	0	
3458											75	0			0			0	0	0	3225	
3506											5838	0			0			93047	0	0	4408	
3720											567	0			0			4873	0	0	3976	
3953											918	0			0			413	0	0	0	
4138											878	0			0			2779	0	0	0	
4147											3303	0			0			12500	0	0	0	
4156											1289	0			0			18000	0	0	0	
4231											0	0			0			0	0	0	3500	
4437											799	0			0			10368	0	0	6093	
4839											1495	0			0			29900	0	0	8102	
5005											2207	0			0			25018	17322	0	0	
5050											414	0			0			3900	0	0	0	
5069											0	0			0			0	0	0	0	
5135											1096	0			0			15000	0	0	0	
5210											9137	0			0			149995	0	0	0	
5247											0	0			0			2604	500	0	11162	
5274											4065	0			0			10455	0	0	2175	
5331											4595	0			0			25190	0	0	82000	
5461											0	0			0			409	717	0	0	
5751											248	0			0			4925	0	0	0	
6039											277	0			0			0	50	0	0	
6057											126	0			0			500	0	0	0	
6141											0	0			0			0	0	0	0	
6329											770	0			0			0	0	0	0	
6972											738	0			0			20217	0	0	6217	
7009											0	0			0			0	7286	0	0	
7045											0	0			0			0	0	0	0	
7157											23	0			0			0	0	0	0	
7166											2688	0			0			38000	0	0	0	
7456											186	0			0			0	0	0	0	
7634											496	0			0			0	0	0	0	
8033											1037	0			0			16500	0	0	0	
8417											31353	0			0			1629602	0	101994	0	
8462											21	0			0			0	0	0	0	
8631											0	0			0			0	0	0	0	
9357											4344	0			0			10200	992	0	58947	
9553											651	0			0			12981	0	0	0	
9807											28535	0			0			502377	0	0	37756	
9955											419	0			0			2561	0	0	0	
10157											595	0			0			3670	0	0	0	
10250											987	0			0			0	0	0	1200	
10849											1881	0			0			33290	0	0	0	
10858											1365	0			0			10107	0	0	16745	
11145											878	0			0			15018	0	0	0	
11640											2765	0			0			28530	0	0	0	
11837											1402	0			0			11750	0	0	0	
12030											990	0			0			4000	0	0	0	
12058											348	0			0			2022	0	0	0	
12142											496	0			0			0	0	0	0	
12245											358	0			0			5000	18	0	0	
12311	20006	603990	539205	738780	0	353543	412003	1512351	4250	4242033	88547	7463	0	32389306	7463	940027	29302564	3853549	57905	77042	1098008	
12647											178	0			0			0	0	0	0	
12656											29	0			0			0	0	0	0	
12937											753	0			0			287	0	0	0	
12946											2071	0			0			19366	10	0	0	
12955											679	0			0			8500	0	0	0	
13037											41	0			0			0	0	0	0	
13103											5938	0			0			99265	45914	0	13663	
13251											141	0			0			0	0	0	0	
13457											3	0			0			0	169	0	0	
14052											285	0			0			0	0	0	0	
14155											548	0			0			9830	0	0	0	
14258											4022	0			0			13000	0	0	0	
14409	3426	449995	16426	1268802	1581220	3693795	662237	139980	650	7816531	132236	3345	0	33589830	3345	402697	29272916	2276251	0	0	2291079	
14454											149	0			0			30	0	0	0	
14650											101	0			0			0	0	0	0	
14753											9	0			0			0	0	0	0	
14865											560	0			0			6312	0	0	0	
15536											4953	0			0			0	0	0	0	
16337											2036	0			0			29000	0	0	1703	
16458											669	0			0			6587	0	0	0	
16551											1544	0			0			22688	0	0	0	
16748											325	0			0			2000	0	0	0	
16944											0	0			0			0	0	0	0	
16953											0	0			0			0	0	0	0	
17110											219	0			0			0	0	1978	0	
17147											4783	0			0			58182	0	0	22275	
17259											290	0			0			2750	0	0	0	
17464											3241	0			0			69284	367	0	0	
17549											1590	0			0			0	0	0	0	
17839											804	0			0			10000	0	0	3640	
17950											932	0			0			11394	0	0	0	
18050											1143	0			0			4309	0	0	0	
18135											1259	0			0			13618	0	0	7189	
18368											2596	0			0			49609	0	0	0	
18377											167	0			0			2500	0	0	0	
18827											377	0			0			757	0	0	0	
18836											673	0			0			7747	28	0	0	
18854											174	0			0			0	0	0	0	
18957											398	0			0			4782	0	0	0	
19356											0	0			0			0	0	0	0	
19730											45321	0			0			51443	5569	0	18049	
19936											949	0			0			140	0	0	2579	
19972											143	0			0			0	0	0	0	
20053											835	0			0			4775	77	0	384	
20147											451	0			0			4781	0	0	0	
20259											38	0			0			0	4784	0	0	
20370											363	0			0			3600	0	0	0	
20512											829	0			0			12806	0	0	0	
20633											479	0			0			1240	1000	0	0	
20754											0	0			0			0	0	0	0	
20839											779	0			0			12000	0	0	0	
20857											439	0			0			7842	0	0	0	
20866											693	0			0			410	0	0	0	
21256											77	0			0			0	0	0	0	
21359											107	0			0			386	0	0	0	
21630											607	0			0			6489	0	0	0	
21658											654	0			0			2000	0	0	0	
22048											1167	0			0			11833	2091	0	2048	
22235											1092	0			0			10000	0	0	0	
22356											818	0			0			356	10	0	8619	
22459											516	0			0			2504	0	0	2497	
22543											195	0			0			0	0	0	0	
22552											440	0			0			1800	0	0	0	
22730											296	0			0			1248	0	0	2783	
22936											1031	0			0			14408	0	0	0	
22954											589	0			0			8905	74	0	0	
23036											0	0			0			109	0	0	4200	
23045											218	0			0			0	0	0	0	
23241											33064	0			0			267157	17121	0	314151	
23456											403	0			0			3202	0	0	0	
23504											2169	0			0			0	0	0	0	
23540											682	0			0			0	0	0	0	
23643											549	0			0			451	0	0	0	
23755											534	0			0			3000	0	0	0	
23812											5150	0			0			65973	825	0	0	
24006											2361	0			0			0	6	0	0	
24266											38149	0			0			23681	0	0	0	
24453											498	0			0			0	0	0	0	
24659											0	0			0			0	0	0	0	
24668											366	0			0			440	0	0	6055	
24855											19	0			0			0	0	0	0	
24949											2586	0			0			25800	0	0	42	
25357											491	0			0			4500	0	0	0	
25647											0	0			0			0	0	5000	0	
25852											1713	0			0			24000	0	0	2614	
26149											0	0			0			0	0	0	1596	
26233											2586	0			0			1000	4695	0	0	
26242											2683	0			0			13427	0	0	6278	
26457											0	0			0			0	0	0	0	
26756											82	0			0			700	0	0	0	
26765											266	0			0			0	0	0	0	
26859											1853	0			0			28484	0	0	0	
26916											3045	0			0			34000	0	0	21801	
27548											5914	0			0			44185	0	0	32616	
27614											1338	0			0			4855	0	0	0	
27838											2506	0			0			7100	89	0	0	
27847											783	0			0			9405	0	0	0	
28013											12985	0			0			50350	11610	0	224000	
28152											319	0			0			2248	0	0	0	
28255											361	0			0			0	0	0	0	
28349											789	0			0			5750	0	0	432	
28406											3255	0			0			0	35783	0	0	
28572											1003	0			0			12433	1041	0	0	
28732											96	0			0			0	0	0	0	
29104											10594	0			0			179659	10461	0	160842	
29159											119	0			0			48	0	0	0	
29252											1001	0			0			7500	0	0	0	
29636											3713	0			0			61632	0	0	0	
29850											0	0			0			100	0	0	0	
29944											307	0			0			5800	0	0	0	
29953											695	0			0			11016	0	0	0	
30052											36	0			0			275	0	0	0	
30155											1162	0			0			19436	972	0	0	
30258											639	0			0			11638	515	0	1836	
30418											0	0			0			0	0	0	510430	
30502											3658	0			0			58000	3158	0	8613	
30650											804	0			0			7000	0	0	0	
30810											16731	0			0			292477	2000	0	0	
30856											977	0			0			11142	0	0	3173	
31134											409	0			0			5000	0	0	0	
31255											497	0			0			1098	0	0	480	
31657											0	0			0			0	0	0	0	
31826											784	0			0			1000	100	0	0	
31835											735	0			0			17650	0	0	0	
32159											504	0			0			641	0	0	0	
32234											43	0			0			0	0	0	14056	
32766											24	0			0			0	0	0	0	
33147											861	0			0			16678	0	0	0	
33259											1559	0			0			20000	0	0	758	
33268											75	0			0			0	0	0	0	
33549											10	0			0			0	0	0	0	
33727											1101	0			0			189	0	0	0	
33754											0	0			0			0	0	0	0	
33772											14297	0			0			0	4000	0	10674	
33839											131	0			0			750	0	0	177	
33857											595	0			0			9116	0	0	0	
34153											5003	0			0			42425	2804	0	0	
