"IDRSSD"	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	
923257	16453	0	0	0	0	0	11440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	660	0	0	0	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127	7313	0	0	0	0	0	671	0	0	17	31	-417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	4378	4158	7936	0	876	2079	7936	10891	0	1801	1801	2618	0	0	
923350	31488	0	0	0	0	0	13154	2	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	445	0	0	0	0	0	0	-73	231	4961	8680	0	0	0	0	0	0	0	0	95	2504	10555	0	0	0	0	0	1477	0	5	233	0	-284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	5734	11184	11819	0	1147	5592	11819	18558	0	0	0	3086	0	0	
923707	691966	0	0	0	0	0	315097	0	0	0	100	100	0	0	0	100	0	0	0	0	0	0	0	0	0	6933	2328	0	0	0	0	0	0	-4002	0	304622	0	26168	0	0	0	0	0	0	0	0	170635	144462	0	0	0	0	0	48555	0	0	0	0	-7822	115	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36236	0	0	0	36236	0	0	0	6933	320786	170635	255636	0	64157	85318	255636	405111	0	13836	13836	93766	0	0	
923743	70718	0	0	0	0	0	61136	0	0	0	2719	2719	0	0	0	2719	0	0	0	25	0	0	0	0	0	495	976	0	0	0	0	0	0	-36	0	6367	0	0	0	0	0	0	0	0	0	0	14220	46916	0	0	0	0	0	3018	25	60	177	0	-968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	273	0	0	0	555	7520	14220	52664	0	1504	7110	52664	61278	0	0	0	6361	0	0	
923752	415418	0	0	0	0	0	334340	87	1088	1088	531	531	0	0	0	531	0	0	4763	0	0	0	0	0	0	7068	6279	0	0	0	11645	0	0	-280	8078	18183	1871	0	0	0	0	142	0	0	0	2574	108632	223134	0	0	0	0	0	32687	4763	419	2081	0	-1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15565	44902	110645	250177	0	8980	55323	250177	314480	0	4140	4140	32431	0	0	
923855	49432	0	0	0	0	0	30242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1933	99	0	0	0	0	0	0	-122	25	14642	0	0	0	0	0	0	0	0	0	1430	9132	19680	0	0	0	0	0	1382	0	0	67	0	-592	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	163	0	0	0	1958	17038	9132	21173	0	3408	4566	21173	29147	0	800	800	4900	0	0	
923949	34340	0	0	0	0	0	17761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	1590	0	0	0	0	0	65	-289	0	14122	0	525	0	0	0	0	0	0	0	1197	5488	11076	0	0	0	0	0	851	0	0	205	0	-577	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	17114	5488	12331	0	3423	2744	12331	18498	0	0	0	4344	0	0	
924058	110977	0	0	0	0	0	57440	0	0	0	1569	1569	0	0	0	1569	0	0	321	0	0	0	0	0	0	2178	260	0	0	0	1121	0	0	-288	758	45479	283	0	0	0	0	0	0	0	0	2625	10691	44124	0	0	0	0	0	2907	0	33	286	0	-963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	178	0	0	178	0	0	0	0	0	0	0	1288	0	0	0	1288	0	0	0	2969	56602	11152	49569	0	11320	5576	49569	66465	0	6831	6831	8208	0	0	
924236	304433	0	0	0	0	0	177903	0	0	0	2890	2890	0	0	0	2890	0	0	0	0	0	0	0	0	0	0	10125	0	0	0	0	605	0	-976	8221	63418	29970	1734	0	0	0	0	108	0	0	0	34200	143703	0	0	0	0	0	20924	0	0	0	0	-3822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8221	81193	64775	169359	0	16239	32388	169359	217986	0	7650	7650	39810	0	0	
924254	37815	0	0	0	0	0	25900	0	0	0	6	6	6	0	0	0	0	0	73	0	0	0	0	0	0	200	2020	0	0	0	0	0	0	-102	0	9182	0	0	0	0	0	0	0	0	0	125	6317	19458	0	0	0	0	0	1004	0	0	130	0	-388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	141	0	0	0	0	206	11457	6458	20332	0	2291	3229	20332	25852	0	0	0	4845	0	0	
