"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	URL	
37																								0	0	52	0	0	0	false	0	0	0	0	0	0	52	0	0	208	0	0	0	0	0	0	0	false	0	0	CONF	
242																								0	0	0	580	0	2992	true	0	0	0	0	0	0	0	0	0	342	0	0	0	812	1600	0	0	true	0	0	CONF	
279																								63	248	428	5	63	27498	true	0	0	248	0	0	0	428	0	0	114	0	63	0	7461	20032	0	0	true	0	0	CONF	
354																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	186	1	0	0	0	0	0	0	false	0	0	CONF	
439																								2504	0	25	0	0	0	true	0	0	0	2504	0	0	25	0	0	3453	2	0	0	0	0	0	0	false	0	0	CONF	
457																								0	0	282	0	0	0	false	0	0	0	0	0	0	0	0	282	439	2	0	0	0	0	0	0	false	0	0	CONF	
505																								135	0	157	4500	102	17500	true	0	0	0	33	157	0	0	0	0	2729	2	102	0	5000	8000	0	0	true	0	0	CONF	
1146																								594	0	67	0	54	21555	true	0	0	0	540	0	0	52	0	15	639	1	54	0	0	21555	0	0	true	0	0	CONF	
1155																								0	0	210	9225	0	12225	true	0	0	0	0	0	0	0	0	210	8079	5	0	0	0	3000	0	0	true	0	0	CONF	
1351																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	false	0	0	CONF	
1454																								82	0	43	0	0	0	true	0	0	0	82	0	0	43	0	0	39942	5	0	0	0	0	0	0	true	0	0	CONF	
1557																								0	0	0	0	0	2173	false	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2112	0	0	false	0	61	CONF	
1632																								0	0	228	30000	0	39000	true	0	0	0	0	0	0	228	0	0	21331	7	0	0	9000	0	0	0	true	0	0	CONF	
1669																								1789	0	5	0	0	1000	true	0	0	0	1789	0	0	5	0	0	3229	2	0	0	0	0	0	0	false	0	1000	CONF	
1829																								0	0	1000	2000	0	7000	true	0	0	0	0	0	0	1000	0	0	2326	1	0	0	0	5000	0	0	false	0	0	CONF	
1856																								0	0	0	83000	0	83000	false	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	false	0	0	CONF	
2040																								0	0	0	3000	0	18467	true	0	0	0	0	0	0	0	0	0	554	0	0	0	10160	5300	0	0	false	0	7	CONF	
2161																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1535	0	0	0	0	0	0	0	false	0	0	CONF	
2376																								333	2900	526	21225	0	197314	true	0	2900	0	333	0	0	0	360	166	14571	2	0	0	15000	161089	0	0	false	0	0	CONF	
2451																								0	0	0	4250	0	4765	true	0	0	0	0	0	0	0	0	0	495	2	0	0	217	298	0	0	false	0	0	CONF	
2554																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	87	1	0	0	0	0	0	0	false	0	0	CONF	
2732																								1337	0	0	0	0	356	true	0	0	0	1337	0	0	0	0	0	19166	6	0	0	0	0	0	0	true	0	356	CONF	
2750																								0	0	0	3100	0	5400	true	0	0	0	0	0	0	0	0	0	1080	2	0	0	1200	700	0	0	false	0	400	CONF	
2938																								0	0	0	25000	0	40500	true	0	0	0	0	0	0	0	0	0	24082	10	0	0	15500	0	0	0	true	57	0	CONF	
2956																								1022	0	146	4500	0	4500	false	0	0	0	1022	0	0	36	0	110	261	1	0	0	0	0	0	0	false	0	0	CONF	
