"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								4391										
242								1062										
279								2200										
354								242										
439								8486										
457								750										
505								12825										
1146								27690	4585	0	0	0	2124	3794	0	3794	17187	
1155								3828										
1351								2491										
1454								25221	10225	0	0	0	5381	860	0	860	8755	
1557								1157										
1632								9174	246	0	0	0	2136	6792	0	6792	0	
1669								11916										
1829								7558	7	0	0	0	1519	2973	0	2973	3059	
1856								567										
2040								4314										
2161								6931										
2376								10157	0	0	0	0	2573	7375	0	7375	209	
2451								1255										
2554								287										
2732								17717	3764	0	0	0	3427	5456	0	5456	5070	
2750								1548	0	0	0	0	140	1188	1188	0	220	
2938								13246	2	0	0	0	1917	11327	0	11327	0	
2956								3769										
3252								10205										
3458								4570										
3506								34647	20223	40	0	40	10267	705	0	705	3412	
3720								4045										
3953								4004										
4138								5745										
4147								1539										
4156								4322										
4231								2959										
4437								4839	0	0	0	0	1286	3553	0	3553	0	
4839								9564										
5005								10106	0	0	0	0	1407	3505	0	3505	5194	
5050								2496										
5069								1465	13	63	0	63	87	1195	0	1195	107	
5135								8211										
5210								21360	12124	0	0	0	7984	1175	0	1175	77	
5247								26009	48	0	0	0	8532	14142	0	14142	3287	
5274								3994										
5331								6749	1177	0	0	0	1443	2107	0	2107	2022	
5461								18311	13028	0	0	0	4759	187	0	187	337	
5751								1530										
6039								5091										
6057								347										
6141								3531										
6329								16220										
6972								41161	178	0	0	0	5778	23095	0	23095	12110	
7009								8907	37	2000	2000	0	10	6835	0	6835	25	
7045								6845										
7157								1202										
7166								28047	14723	0	0	0	2552	10675	0	10675	97	
7456								955										
7634								1874	0	0	0	0	649	1225	0	1225	0	
8033								3668										
8417								407642	0	0	0	0	0	407642	0	407642	0	
8462								6065										
8631								3769										
9357								17383	13147	0	0	0	448	3291	0	3291	497	
9553								1009										
9807								50859	27503	0	0	0	5428	14240	0	14240	3688	
9955								7608										
10157								1457										
10250								10773										
10849								16988										
10858								9579	400	0	0	0	1545	7171	0	7171	463	
11145								4740										
11640								9474										
11837								1665										
12030								10072										
12058								2996										
12142								9684										
12245								2505	0	0	0	0	2505	0	0	0	0	
12311	830519	723581	0	971	0	100155	5812	830519	554983	971			168598	100155			5812	
12647								1825										
12656								296	0	0	0	0	197	89	0	89	10	
12937								3501										
12946								8352	4410	0	0	0	3487	327	0	327	128	
12955								4171										
13037								3057										
13103								16715	0	0	0	0	2712	12361	0	12361	1642	
13251								1433										
13457								627										
14052								3609										
14155								3121										
14258								26175	17633	0	0	0	3082	369	0	369	5091	
14409	313519	164282	0	0	0	134438	14799	313519	39411	0			124871	134438			14799	
14454								539										
14650								3939										
14753								1160										
14865								7852										
15536								35547	8188	0	0	0	7477	17622	0	17622	2260	
16337								11043	3	0	0	0	4233	6807	0	6807	0	
16458								4988										
16551								3160										
16748								2126										
16944								2291										
16953								1226										
17110								24599										
17147								35798	6630	0	0	0	6798	20664	0	20664	1706	
17259								806										
17464								177110	27349	0	0	0	5752	141343	0	141343	2666	
17549								7055										
17839								11661										
17950								4588	76	0	0	0	1240	3187	0	3187	85	
18050								8939										
18135								10063										
18368								20778	17291	0	0	0	1745	453	0	453	1289	
18377								9273										
18827								7440										
18836								4269										
18854								3064										
18957								1946										
19356								2339										
19730								76555	28124	0	0	0	35739	10693	0	10693	1999	
19936								11132										
19972								4220										
20053								2449	0	0	0	0	165	2284	0	2284	0	
20147								2160										
20259								3290										
20370								6460										
20512								4763										
20633								5042	1165	0	0	0	1809	2036	0	2036	32	
20754								532										
20839								2960										
20857								18590										
20866								6484										
21256								525										
21359								991										
21630								2561										
21658								1674										
22048								10789										
22235								11184	13	0	0	0	2439	8732	0	8732	0	
22356								12326										
22459								2317										
22543								2044										
22552								624										
22730								1952										
22936								5596										
22954								2920										
23036								19533	0	0	0	0	2228	17305	0	17305	0	
23045								1090										
23241								74054	27412	0	0	0	23197	22020	0	22020	1425	
23456								1849										
23504								13216	5877	0	0	0	3761	1182	0	1182	2396	
23540								4314	0	0	0	0	4314	0	0	0	0	
23643								7718										
23755								3035										
23812								31163	0	0	0	0	4759	23789	0	23789	2615	
24006								27119	13105	0	0	0	3252	3732	0	3732	7030	
24266								130602	58038	0	0	0	25072	14312	0	14312	33180	
24453								1555										
24659								2983										
24668								15296										
24855								2658										
24949								18118	0	0	0	0	3867	14027	0	14027	224	
25357								4821										
25647								4410										
25852								14336	42	0	0	0	3927	473	0	473	9894	
26149								1183										
26233								18002	0	0	0	0	3128	9608	0	9608	5266	
26242								8737	0	0	0	0	2510	5149	0	5149	1078	
26457								401										
26756								908										
26765								1541										
26859								45311	0	0	0	0	3449	37488	0	37488	4374	
