"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20050930	Bank of Hancock County	10057	Sparta	GA	31087	
242	20050930	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20050930	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20050930	Bison State Bank	14083	Bison	KS	675200328	
439	0	PEOPLES BANK	16498	BLACKSHEAR	GA	31516	
457	20050930	LOWRY STATE BANK	10202	LOWRY	MN	563490123	
505	0	BALLSTON SPA NATIONAL BANK	6959	BALLSTON SPA	NY	12020	
1146	0	Pulaski Bank & Trust Company	17562	Little Rock	AR	72201	
1155	0	FIRST STATE BANK & TRUST COMPANY	17639	FREMONT	NE	680260549	
1351	20050930						
1454	0	Hilltop National Bank	19184	Casper	WY	82602	
1557	20050930						
1632	0	Sea Island Bank	5707	Statesboro	GA	304590568	
1669	20050930	Liberty National Bank	3384	Paris	TX	754610919	
1829	20050930	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20050930	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20050930	FARMERS & MERCHANTS BANK	13046	TOMAH	WI	54660	
2161	20050930	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20050930	Oritani Savings Bank	28866	Washington Township	NJ	7676	
2451	20050930	Thunder Bank	10506	Sylvan Grove	KS	67481	
2554	20050930	STATE BANK OF MARIETTA	18525	MARIETTA	MN	56257	
2732	0	Albany Bank & Trust Co., N.A.	17230	Chicago	IL	60625	
2750	20050930	GENOA NATIONAL BANK	5408	GENOA	NE	68640	
2938	0	Security Bank and Trust Company of Albany	20246	Albany	GA	31702	
2956	20050930	CITIZENS HOME BANK	1949	GREENFIELD	MO	65661	
3252	20050930	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	0	Farmers Bank of Green City	16103	Green City	MO	63545	
3506	0	Interchange Bank	20038	Saddle Brook	NJ	7663	
3720	20050930	Bank of Clarendon	15671	Manning	SC	29102	
3953	20050930	First Capital Bank	416	Guthrie	OK	730440520	
