"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
621441																																							2495	2589	0	1184	43808	0	2128	0	0	5195	93572	66782	0	1477	77371	0	800	426	9112	0	16201	200	93572	0	0	13522	0	2850	0	16727	50055		0	34915	34115	-371	1632	0	0	0	
621674																																							3817	15699	84	0	34220	0	321	0	0	2474	239120	216793	0	1553	218346	0	2015	0	0	0	20774	13693	239120	0	0	3227	0	4000	0	85007	131786		0	154020	152005	-146	30500	0	0	0	
622037																																							2970	5644	0	370	10185	0	2277	0	0	1781	86118	73098	0	585	75183	0	784	0	0	0	10935	300	86118	0	0	10363	0	350	0	15324	57774		0	63675	62891	-78	0	0	1500	0	
622653																																							605	1451	0	0	11845	0	347	0	0	1909	54094	49055	0	280	49335	0	514	974	0	0	4759	640	54094	0	0	246	0	3996	0	7920	41135		0	35902	35388	-123	1575	0	0	0	
622756																																							14054	3120	3190	0	15964	0	2353	0	0	1119	99849	74449	0	1507	80685	0	703	8922	0	0	19164	500	99849	0	0	501	0	17934	0	22104	52345		0	51830	51127	229	0	0	0	4729	
622774																																							5769	13307	0	0	125662	0	11006	2757	0	5218	452902	346523	0	3971	373732	0	3338	817	3046	0	79170	528	452902	0	0	77214	0	1572	915	62831	283692		0	280189	276851	-144	10600	0	0	20192	
622831																																							323	5729	456	0	42231	0	4017	778	0	5337	279421	220293	0	1675	234195	0	2819	20864	10000	0	45225	500	279420	0	0	5555	0	39385	0	20190	200103		0	202505	199686	-215	0	0	2227	0	
623052																																							0	5986	0	0	63192	0	429	0	0	3652	171007	147013	0	674	148066	0	1244	0	379	0	22941	2000	171007	0	0	19744	0	2000	0	27400	119613		0	89492	88248	-803	9500	0	0	0	
623258																																							0	2637	0	19236	26921	115	1744	0	0	1294	120161	100046	0	397	111844	0	653	0	120	0	8317	800	120161	0	0	6046	0	1300	0	29995	70051		0	68867	68214	171	0	0	11281	0	
623306																																							0	20522	214	11130	284829	0	7162	0	0	29080	857365	601755	0	14731	794255	0	4986	7916	162751	0	63110	4741	857365	0	0	3978	0	55955	0	28412	573343		0	501498	496512	-1564	0	0	0	15018	
623445																																							435	40797	4778	0	379077	0	18591	779	0	40905	1342734	1071754	0	7797	1189378	0	10364	48533	61495	0	153356	2910	1342734	0	0	46612	0	104615	582	134229	937524		0	817859	807495	-781	762	0	22530	25802	
623454																																							2352	6598	0	0	84064	0	8025	60	0	9044	252273	203861	0	1909	226270	0	895	0	20500	0	26003	2990	252273	0	0	16385	0	7010	0	19044	184817		0	143025	142130	-382	0	0	0	0	
623548																																							0	1162	0	0	10585	0	2648	25	0	2634	55582	46025	0	351	48626	0	565	0	0	0	6956	800	55582	0	0	5392	0	867	0	6187	39838		0	39093	38528	-103	0	0	2250	0	
