"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	14	0	0	0		0	0	0		51847	15782	83	0	0	0	0		0		0	0	7550	0	0	0	0	0	0	0	0	0	0		
242	0	0	0	0		0	0	0		12477	9496	43	0	0	0	0		0		0	0	1090	0	0	0	0	0	0	0	0	0	0		
279	0	0	0	0		0	0	0		63647	16487	119	0	0	0	0		0		0	0	10075	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6143	717	2	0	0	0	0		0		0	0	517	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		99637	41204	199	0	0	0	0		0		0	0	19664	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		17611	7378	37	0	0	0	0		0		0	0	2901	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		155665	112219	375	0	0	0	0		0		0	0	89533	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	2138		0	0	10		210382	181889	801	0	0	0	0		0		0	0	105882	0	0	0	0	0	0	0	0	0	0		
1155	0	0	0	0		0	0	0		80732	36778	150	0	0	0	0		0		0	0	14438	0	0	0	0	0	0	0	0	0	0		
