"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																	CONF	0	148	147	1503	37	385	0	0	0	0	0	823	0	0	0	0	CONF				
242																	CONF	0	201	0	562	2	129	0	0	0	0	0	232	0	0	0	0	CONF				
279																	CONF	42	1630	104	3250	84	507	0	0	0	0	0	939	70	0	0	0	CONF				
354																	CONF	0	5	68	346	0	171	139	0	0	0	0	102	0	0	0	0	CONF	CASH ITEMS			
457																	CONF	0	319	0	1320	0	176	0	0	0	0	0	309	516	0	0	0	CONF				
505																	CONF	0	3227	332	8699	0	3808	1317	0	0	0	0	1332	0	0	0	0	CONF	Prepaid pension			
1155																	CONF	53	1125	0	7383	40	1077	0	0	0	0	0	1479	3702	0	0	0	CONF				
1351																	CONF	0	0	0	2015	598	620	22	0	0	0	0	1395	0	0	0	0	CONF	computer software			
1454																	CONF	0	1092	0	10824	622	2587	0	0	0	0	0	2541	4604	0	0	0	CONF				
1557																	CONF	0	145	0	1073	0	227	160	0	0	0	0	701	0	0	0	0	CONF	PREPAID FDIC ASSESSMENT			
1632																	CONF	0	4107	0	22127	0	13001	8132	0	0	0	0	4181	838	0	0	0	CONF	Reserve for Federal Taxes			
1669																	CONF	0	428	221	9615	80	864	0	0	0	0	0	1848	6254	0	0	0	CONF				
1829																	CONF	0	2879	1730	12154	625	5804	556	0	0	0	0	1741	0	0	0	0	CONF	Due from Holding Company			
1856																	CONF	0	4620	0	6748	739	739	0	0	0	0	0	1389	0	0	0	0	CONF				
2040																	CONF	0	1546	90	7251	594	2145	106	504	0	0	0	1114	2356	0	0	0	CONF	Computer Software Depreciation	Accrued Tax Asset		
2161																	CONF	0	276	0	4229	194	703	0	0	0	0	109	668	2473	0	0	0	CONF				
2376																	CONF	0	25481	23244	95658	391	8294	338	0	0	0	0	8666	29973	0	0	0	CONF	Suspense and Clearing			
2451																	CONF	0	589	538	1868	133	450	0	0	0	31	0	260	0	0	0	0	CONF				
2554																	CONF	0	0	0	214	16	103	48	0	0	0	0	111	0	0	0	0	CONF	software			
2732																	CONF	0	174	443	6302	88	3183	603	0	0	0	0	2173	329	0	0	0	CONF	Current FIT			
2750																	CONF	0	532	0	2709	54	320	0	0	0	0	0	1081	776	0	0	0	CONF				
2938																	CONF	0	2455	6471	17658	0	4949	0	0	0	0	0	3783	0	0	0	0	CONF				
3252																	CONF	0	319	0	3771	273	1225	391	0	0	0	0	2227	0	0	0	0	CONF	NP DDA Debits			
3458																	CONF	0	184	0	575	0	184	0	0	0	0	0	207	0	0	0	0	CONF				
3720																	CONF	0	615	341	6516	352	1007	0	0	0	0	0	1094	3459	0	0	0	CONF				
3953																	CONF	0	778	0	4876	130	1943	1127	0	0	0	0	1341	814	0	0	0	CONF	Bond			
4138																	CONF	257	991	955	4463	0	1758	0	0	0	0	0	759	0	0	0	0	CONF				
4156																	CONF	0	2487	51	8265	0	1142	0	0	0	0	0	1345	3240	0	0	0	CONF				
4231																	CONF	0	0	215	1960	0	749	0	0	0	0	0	996	0	0	0	0	CONF				
4437																	CONF	0	1175	773	7918	139	1482	0	0	0	0	0	1083	3405	0	0	0	CONF				
4839																	CONF	0	2075	0	5194	254	1684	13	0	0	0	0	1435	0	0	0	0	CONF	Accounts receivable			
5005																	CONF	0	4637	2269	19865	2133	3855	0	0	0	0	0	1493	7611	0	0	0	CONF				
5069																	CONF	0	0	395	7957	0	4405	1643	0	0	0	0	3157	0	0	0	0	CONF	Accts. Rec.			
5135																	CONF	47	1639	1178	10924	141	1576	130	0	0	0	0	3220	3311	0	0	0	CONF	Fifth Third Clearing Acct			
5210																	CONF	0	9170	2910	47660	0	5513	0	0	0	0	0	3658	26409	0	0	0	CONF				
5331																	CONF	0	3809	2984	10848	0	3300	1148	0	0	0	0	461	294	0	0	0	CONF	accrued int on securities purchased			
5461																	CONF	0	2214	0	11466	651	6642	3843	0	0	0	0	1924	686	0	0	0	CONF	QZAB			
