"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4329		0	0	56318		4655	9	65303	0					0	0	0	0	0	0	0	0	0		
242																0	1526		0	0	21503		2364	5	25393	0			0	0	0	0	0	0	0	0	0	0	0		
279																0	12258		407	1	82632		3326	12	98623	0			0	0	0	0	0	0	0	0	0	0	0		
354																0	0		0	0	6093		1173	3	7266	0			321	1	0	0	0	0	0	0	0	0	0		
457																0	1487		0	0	25034		2243	6	28764	0			261	1	0	0	0	0	0	0	0	0	0		
505																0	8737		268	1	193746		86661	84	289412	0			25378	39	0	0	0	0	0	0	0	0	1202		
1155																0	12946		870	3	125494		56351	49	195661	0	184567	0	28037	15	0	0	0	0	0	0	0	0	0		
1351																0	7300		882	2	70000		41284	75	119466	0					0	0	0	0	0	0	0	0	0		
1454																0	20010		1140	4	276078		116806	154	414034	0			56272	74	0	0	0	0	0	0	0	0	0		
1557																0	1965		0	0	28497		7838	15	38300	0					0	0	0	0	0	0	0	0	0		
1632																0	32700		3908	13	484269		130406	207	651283	0	661247	0	30889	35	0	0	0	0	0	0	0	0	0		
1669																0	12808		0	0	138772		50875	43	202455	0			10168	19	0	0	0	0	0	0	0	0	0		
1829																0	19830		4141	8	243286		62911	96	330168	0			12732	16	0	0	0	0	0	0	0	0	3059		
1856																0	7		0	0	112327		13588	8	125922	0			0	0	0	0	0	0	0	0	0	0	0		
2040																0	9028		0	0	132079		33284	42	174391	0	170748	0	14107	12	0	0	0	0	0	0	0	0	9737		
2161																0	7647		0	0	71489		30868	37	110004	0					0	0	0	0	0	0	0	0	0		
2376															63380	0	71536		2367	8	994576		156254	373	1224733	0	1214732	0	6256	13	0	0	0	0	0	0	0	0	0		
2451																0	657		0	0	33298		0	0	33955	0			0	0	0	0	0	0	0	0	0	0	0		
2554																0	88		0	0	7872		1281	2	9241	0			780	1	0	0	0	0	0	0	0	0	0		
2732																0	11846		571	2	229503		209662	211	451582	0			23476	37	0	0	0	0	0	0	0	0	0		
2750																0	1921		0	0	33190		9131	19	44242	0					0	0	0	0	0	0	0	0	0		
2938																0	19223		1932	6	335992		165186	198	522333	0	525843	0	22957	42	0	0	0	0	0	0	0	0	0		
3252																0	5391		0	0	55564		69668	53	130623	0			46959	29	0	0	0	0	0	0	0	0	0		
3458																0	626		0	0	18411		4101	6	23138	0			0	0	0	0	0	0	0	0	0	0	0		
3720																0	7844		625	2	111698		34540	55	154707	0			5669	13	0	0	0	0	0	0	0	0	0		
3953																0	334		0	0	87664		16108	26	104106	0			5274	9	0	0	0	0	0	0	0	0	0		
4138																0	10826		864	3	129924		26493	52	168109	0			3892	10	0	0	0	0	0	0	0	0	0		
4156																0	6224		523	2	122287		31643	110	160851	174					0	0	0	0	0	0	0	0	0		
4231																0	12747		6093	16	78126		16293	16	113259	0			1506	3	0	0	0	0	0	0	0	0	0		
4437																0	11114		336	1	176161		30706	57	218317	0	214803	0	4096	9	0	0	0	0	0	0	0	0	8410		
4839																0	10974		1598	2	113556		124432	479	250625	64			4487	12	0	0	0	0	0	0	0	0	0		
5005																0	24613		285	1	262901		37095	69	324894	0			5394	9	0	0	0	0	0	0	0	0	0		
5069																0	597		261	1	217780		172275	232	390913	0					0	0	0	0	0	0	0	0	0		
5135																0	12162		801	3	134427		87916	87	235306	0			12736	10	0	0	0	0	0	0	0	0	0		
5210																0	59565		1176	4	604456		66368	126	731565	0			18633	40	0	0	0	0	0	0	0	0	13306		
5331																0	8513		0	0	199559		33262	65	242264	930			6552	6	0	0	0	0	0	0	0	0	20695		
5461																0	5099		1459	2	192271		186878	224	385707	0			55576	80	0	0	0	0	0	0	0	0	0		
5751																0	5117		0	0	46729		44504	38	96350	0			3274	5	0	0	0	0	0	0	0	0	0		
6039																0	7613		303	1	53494		14530	18	75940	0			2231	4	0	0	0	0	0	0	0	0	0		
6141																0	1037		0	0	25311		17043	25	43391	0					0	0	0	0	0	0	0	0	0		
6329																0	12765		2429	6	356268		58340	129	429802	0					0	0	0	0	0	0	0	0	0		
6972																0	32950		767	3	519352		219346	315	772415	0			89710	111	0	0	0	0	0	0	0	0	61921		
7009																0	710		19498	4	126231		386536	365	532975	0			57012	3	0	0	0	0	0	0	0	0	0		
7045																0	4923		1213	3	67947		31714	37	105797	0					0	0	0	0	0	0	0	0	0		
7157																0	3227		0	0	27912		6897	13	38191	155			552	2	0	0	0	0	0	0	0	0	0		
7456																0	2818		0	0	35163		7247	13	45228	0			500	1	0	0	0	0	0	0	0	0	0		
7634																0	3781		778	3	56337		6025	12	66921	0					0	0	0	0	0	0	0	0	0		
8033																0	2928		0	0	70219		19811	25	92958	0					0	0	0	0	0	0	0	0	0		
8462																0	4189		0	0	52168		48368	43	104725	0			11766	6	0	0	0	0	0	0	0	0	0		
8631																0	2952		409	1	39522		5435	12	48318	0			976	2	0	0	0	0	0	0	0	0	0		
9357																0	977		0	0	75295		136765	186	213037	0			41585	75	0	0	0	0	0	0	0	0	0		
9553																0	8904		0	0	50433		10614	22	69951	0			2565	3	0	0	0	0	0	0	0	0	0		
9807															316603	0	83561		4085	12	1618962		547789	529	2254397	0	2196446	0	106603	139	0	45995	0	0	0	0	0	0	0		
9955																0	2357		0	0	57974		23673	30	84004	0			1116	2	5000	0	0	0	0	0	0	0	0		
10157																0	1377		0	0	24672		4197	5	30246	0			534	1	0	0	0	0	0	0	0	0	0		
10250																0	52962		3324	11	289795		72458	120	418539	0			10092	17	0	0	0	0	0	0	0	0	20968		
10849																0	10417		510	2	127755		134032	216	272715	0			15099	22	0	0	0	0	0	0	0	0	0		
10858																0	8816		278	1	222094		97240	143	328428	0			11948	27	14683	0	0	0	0	0	0	0	12437		
11145																0	6995		1539	3	96610		29776	52	134920	0			3086	6	0	0	0	0	0	0	0	0	0		
11640																0	12406		1345	4	127150		114937	104	255838	0			11674	15	0	0	0	0	0	0	0	0	0		
11837																0	3964		0	0	55349		35363	21	94676	0			552	2	0	0	0	0	0	0	0	0	0		
12030																0	23151		1807	6	210515		51716	88	287189	0			11650	16	0	0	0	0	0	0	0	0	0		
12142																0	7338		698	2	96985		24844	53	129865	0			0	0	0	0	0	0	0	0	0	0	0		
12245																0	6908		0	0	76841		13831	28	97580	0			3589	3	0	0	0	0	0	0	0	0	1327		
12311	49610950	9409494	45288913	5438436	247406	0	0	35000	84144	64861	143930	1258577	9409494	5438436	11788653	0	1574159		23631	73	26461877		12141789	9435					4425979	3065									529429		
12647																0	4977		307	1	40947		38905	39	85136	0			7058	13	0	0	0	0	0	0	0	0	0		
12656																0	560		0	0	12244		322	1	13126	0			0	0	0	0	0	0	0	0	0	0	0		
12937																0	4328		2527	4	69087		89130	77	165072	0			0	0	0	0	0	0	0	0	0	0	6563		
12946																0	28331		3077	8	335540		188273	191	555221	0			41739	48	0	0	0	0	0	0	0	0	1956		
12955																0	5629		0	0	64300		46864	58	116792	0			0	0	0	0	0	0	0	0	0	0	0		
13037																0	9794		0	0	115828		8035	21	133657	0			1407	4	0	0	0	0	0	0	0	0	0		
13103															204589	0	55231		5016	15	551323		233079	351	844649	0	848250	0	35287	60	0	0	0	0	0	0	0	0	0		
13251																0	2198		580	1	13645		16404	18	32827	0					0	0	0	0	0	0	0	0	0		
13457																0	1022		0	0	11593		2025	3	14640	0					0	0	0	0	0	0	0	0	0		
14052																0	2668		266	1	47971		11870	16	62775	0			317	1	0	0	0	0	0	0	0	0	1951		
14155																0	4534		0	0	65937		18456	22	88949	22			4726	3	0	0	0	0	0	0	0	0	3122		
14454																0	1081		0	0	14024		4298	9	19403	0			504	1	0	0	0	0	0	0	0	0	0		
14650																0	1391		0	0	18629		2836	3	22856	0					0	0	0	0	0	0	0	0	0		
14753																0	3750		0	0	25817		3598	8	33165	0			565	1	0	0	0	0	0	0	0	0	0		
14865																0	8342		264	1	157107		39369	68	205082	0			14109	21	0	0	0	0	0	0	0	0	15480		
14977																0	2909		0	0	30021		4389	9	37319	0	37299	0			0	0	0	0	0	0	0	0	0		
16337																0	32165		1670	6	321129		52633	51	407597	0			9656	20	0	0	0	0	0	0	0	0	0		
16458																0	10234		1538	4	151672		81512	78	244956	0			30211	36	245	0	0	0	0	0	0	0	0		
16551																0	15219		1382	5	84591		25244	38	126436	0			6125	12	0	0	0	0	0	0	0	0	0		
16748																0	4451		0	0	38254		3817	8	46522	0			0	0	0	0	0	0	0	0	0	0	0		
16944																0	922		0	0	26816		2050	4	29896	108			309	1	0	0	0	0	0	0	0	0	0		
16953																0	610		0	0	24204		2877	7	27692	1			1760	4	0	0	0	0	0	0	0	0	0		
17110																0	2425		445	1	41182		47987	55	92039	0					0	0	0	0	0	0	0	0	0		
17147															546006	0	158795		9485	31	1419799		1987136	4196	3576042	827	3563518	823	158274	241	0	0	0	0	0	0	0	0	0		
17259																0	21564		0	0	29867		0	0	51431	0					0	0	0	0	0	0	0	0	0		
17464															170225	0	24134		590	2	1114608		680862	682	1820194	0	1828250	0	173347	241	207	0	0	0	0	0	0	0	46967		
17950																0	7712		628	2	141197		69844	90	219381	0			5508	10	0	0	0	0	0	0	0	0	0		
