"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	3563	0	0	30662	0	567	50	1503	82141	65120	284	65404	0	963	0	0	0	16737	1200	82141	0	0	11820	0	0	3500	0	6138	58982			0	46759	45796	217	0	0	0	0	16737	
242																																							981	837	0	0	8604	0	229	0	562	33370	25353	40	29093	0	167	0	3500	0	4277	120	33370	0	0	3892	0	0	120	0	4648	20705			0	22324	22157	145	0	0	200	0	4277	
279																																							10	2343	56	47528	22475	262	6465	59	3250	154943	98496	336	132501	0	527	0	33669	0	22441	1	154942	0	0	21966	0	0	0	0	4890	93606			0	71572	71045	474	1450	0	0	0	22441	
354																																							99	98	0	0	3816	0	51	0	346	8530	7241	39	7522	0	196	0	0	0	1008	25	8530	0	0	449	0	0	500	0	1883	5358			0	4316	4120	34	0	0	242	0	1008	
457																																							588	434	0	252	511	0	129	835	1320	35609	28709	155	32364	0	436	0	3500	0	3245	60	35609	0	0	734	0	0	2440	0	3482	25227			0	31976	31540	11	0	0	0	0	3245	
505																																							25393	1140	35	0	72756	0	4097	0	8699	365584	289064	2977	337541	58	4348	1595	45500	0	27985	6480	365584	0	0	11828	0	0	10653	0	44311	244753			0	253217	248869	-976	3000	0	0	0	28043	
1155																																							15713	16860	0	382	30033	0	4572	1395	7383	225212	195224	1900	208169	0	2207	0	0	0	17043	1600	225212	0	0	10324	0	0	4400	650	38461	156763			0	150431	148224	719	0	0	0	11045	17043	
1351																																							0	4031	0	52774	3748	0	1104	238	2015	138885	118977	565	119542	0	1120	0	0	0	19343	240	138885	0	0	18578	0	0	530	0	12498	106479			0	71101	69981	-5	4994	0	0	0	19343	
1454																																							20866	15286	0	0	198295	0	4776	546	10824	460472	413856	1182	415038	0	2943	0	0	0	45434	1000	460472	0	0	40829	0	0	1214	1446	94574	319282			0	211376	208433	2391	0	0	0	0	45434	
