"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	URL	
594853																										0	20	0	0	3268	true	0	20	0	0	0	0	5147	3	0	0	false	0	0	0	993	2094	181	0	0	0	0	0	0	0	0	false	false	www.citizensnb.com	
594938																										861	447	5000	311	5000	true	550	22	0	425	0	0	1953	1	304	0	true	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	true	true	www.communitybankgalena.com	
594947																										2252	2183	2300	1966	22135	true	286	330	0	1393	0	460	7814	2	1966	0	true	0	1380	0	2300	8750	8867	838	838	1380	0	0	0	0	1380	true	true	http://www.bankfirstnational.com	
595038																										0	0	1000	0	1000	false	0	0	0	0	0	0	456	1	0	0	false	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	false	false		
595337																										0	0	0	0	0	true	0	0	0	0	0	0	577	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.valleystate.com	
595430																										4932	964	0	2267	16100	true	2665	389	0	0	0	575	12048	4	2267	0	false	0	0	0	0	5000	11100	0	10000	0	0	0	0	0	0	false	false	www.sbotl.com	
595449																										0	0	0	0	0	true	0	0	0	0	0	0	2244	3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://Marathonstatebank.com	
595869	23157	71014	65000	520	955894	true	22395	27460	3	520	242	true	0	0	65000	864362	0	0	700000	0	7212	0	19320	0	0					955894			46989	0	3503	327	20195								0										0		false	false	www.cathaybank.com	
595944																										0	0	0	0	2995	true	0	0	0	0	0	0	163	0	0	0	false	0	0	0	2000	525	400	70	0	0	0	0	0	0	0	true	false	www.sanbornbank.com	
595953																										0	0	0	0	0	false	0	0	0	0	0	0	469	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	N/A	
596053																										0	130	0	0	2145	true	0	0	0	130	0	0	652	0	0	0	true	0	0	0	14	0	168	1963	0	0	0	0	0	0	0	true	false	www.tetonbanks.com	
596062																										78	647	10000	0	15000	true	78	428	0	219	0	0	2905	1	0	0	false	0	0	0	10000	5000	0	0	0	0	0	0	0	0	0	false	false	www.bankatcnb.com	
596156																										0	0	1000	0	5100	true	0	0	0	0	0	0	3518	2	0	0	false	0	0	0	1000	4100	0	0	0	0	0	0	0	0	0	false	false	capitalbanktx.com	
596455																										0	1139	0	0	0	true	0	0	0	562	0	577	557	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.bankingonthefuture.com	
596642																										0	1975	0	0	0	false	0	1508	0	0	0	467	1219	3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
596848																										2318	11573	5000	2318	15000	true	0	11573	0	0	0	0	54249	12	2318	0	true	0	0	0	5000	10000	0	0	0	0	0	0	0	0	0	false	false	http://www.americantrust.com	
596978																										275	1130	6500	275	24500	true	0	77	0	984	0	69	278	0	275	0	false	0	0	0	6500	9000	5000	4000	4000	0	0	0	0	0	0	true	false	WWW.MARATHONSAVINGSBANK.COM	
597041																										68	840	2250	0	2250	false	68	685	0	155	0	0	692	0	0	0	false	0	0	0	2250	0	0	0	0	0	0	0	0	0	0	true	false		
597256																										0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
597313																										4	132	0	0	22561	true	4	0	0	132	0	0	3523	3	0	0	true	0	0	0	3000	19500	0	61	0	0	0	0	0	0	0	false	false	www.peoplesbankpa.com	
597452																										301	972	0	301	0	true	0	0	0	972	0	0	1169	1	301	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.americanbankandtrust.com	
597546																										0	647	0	0	9432	true	0	0	0	647	0	0	3941	1	0	0	true	0	432	0	9000	0	0	0	0	432	0	0	0	0	0	false	false	www.premiercommunity.com	
597555																										0	0	0	0	0	true	0	0	0	0	0	0	13282	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.umb.com	
597658																										0	0	0	0	0	true	0	0	0	0	0	0	83	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.firststatebankforsyth.com	
597751																										4449	1759	0	0	0	true	4449	0	0	1759	0	0	2424	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://fnbjacksboro.com	
598002																										0	116	0	0	223	true	0	0	0	0	0	116	665	0	0	0	true	0	132	0	0	0	0	0	0	132	0	0	91	0	132	true	false	http://www.walpolebank.com	
598048																										997	1694	5799	338	9799	true	659	83	0	525	0	1086	7350	3	409	0	true	0	0	0	5799	2000	2000	0	0	0	0	0	0	0	0	true	false	http://www.snbt.com	
598132																										0	11	0	0	0	false	0	11	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
598534																										5041	21780	0	875	84700	true	1289	12336	0	6077	0	3367	463	0	977	2877	true	0	7200	0	27500	22500	27500	0	0	7200	0	0	0	0	0	false	false	www.lionbank.com	
