"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								3563										
242								1818										
279								2353										
354								197										
457								1022										
505								26533	12	0	0	0	1102	649	0	649	24770	
1155								32573										
1351								4031										
1454								36152	8236	0	0	0	6647	413	0	413	20856	
1557								3080										
1632								6694	3999	0	0	0	2098	597	0	597	0	
1669								19330										
1829								42437	0	0	0	0	1886	6584	0	6584	33967	
1856								20349										
2040								3301										
2161								13655										
2376								26219	0	0	0	0	2278	17943	0	17943	5998	
2451								5071										
2554								3494										
2732								41066	2318	0	0	0	3182	22435	0	22435	13131	
2750								1104										
2938								12947	9565	0	0	0	2428	954	0	954	0	
3252								6974										
3458								4504										
3720								29035										
3953								2706										
4138								11263										
4156								4793										
4231								13135										
4437								7727										
4839								6918	756	0	0	0	1696	705	0	705	3761	
5005								23052	978	0	0	0	1557	3146	0	3146	17371	
5069								37870	0	0	0	0	190	3068	0	3068	34612	
5135								38087	0	0	0	0	2589	2126	0	2126	33372	
5210								24138	9294	0	0	0	8016	6567	0	6567	261	
5331								5034	739	0	0	0	1047	930	0	930	2318	
5461								17845	5330	0	0	0	6120	358	0	358	6037	
5751								1939										
6039								13056										
6141								4394										
6329								17621	103	0	0	0	4989	8582	0	8582	3947	
6972								29936	9716	0	0	0	4909	1788	0	1788	13523	
7009								3760	265	2000	2000	0	16	1454	0	1454	25	
7045								6362										
7157								550										
7456								1655										
7634								6246										
8033								7072										
8462								13864										
8631								2670										
9357								14463	6753	0	0	0	674	1082	0	1082	5954	
9553								9971										
9807								440043	11207	0	0	0	6425	73104	0	73104	349307	
9955								27303										
10157								1609										
10250								11606	3598	0	0	0	1958	6050	6050	0	0	
10849								10818	30	0	0	0	1275	6183	0	6183	3330	
10858								19499	7132	0	0	0	1915	1378	0	1378	9074	
11145								7491										
11640								9832	78	0	0	0	3549	5273	0	5273	932	
11837								2257										
12030								16810	17	0	0	0	2594	6200	0	6200	7999	
12142								10574										
12245								2800										
