"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					148	0	30662					0	0	9978	0	13774	0	0	0									
242	0	0					201	0	8604					3500	0	4190	0	4411	3	0	0									
279	0	0					1630	47528	22475					33669	11884	1000	9079	2805	6	0	0									
354	0	0					5	0	3816					0	0	3816	0	0	0	0	0									
457	0	0					319	252	511					3500	0	511	250	0	0	0	0									
505	0	8473					3227	0	72756					45500	0	5155	0	17326	0	0	0									
1155	0	1528					1125	382	30033					0	0	18634	225	9871	0	0	11045									
1351	0	0					0	52774	3748					0	26719	3748	25929	0	0	0	0									
1454	0	5032					1092	0	198295					0	0	109036	0	61702	8	0	0									
1557	0	0					145	5479	5071					1985	0	5028	5479	43	0	0	0									
1632	0	5136					4107	0	40168					60000	0	16646	0	1123	0	0	0									
1669	0	0					428	93542	36249					339	70873	36243	17558	0	0	0	0									
1829	0	0					2879	0	78698					31492	0	17892	0	17529	1327	0	5661									
1856	0	0					4620	41888	87610					54000	0	29123	1938	2774	0	0	0									
2040	0	0					1546	0	45967					23300	0	318	0	20184	0	0	4451									
2161	0	0					276	2	42842					0	0	3429	0	9415	0	0	0									
2376	0	0					25481	86181	417152					521550	0	311194	0	0	5361	0	0									
2451	0	0					589	76	0					1021	0	0	76	0	0	0	0									
2554	0	0					0	0	12					0	0	0	0	0	12	0	0									
2732	0	0					174	0	59032					352	0	10711	0	47771	0	0	0									
2750	0	0					532	0	11799					5200	0	3454	0	2416	0	0	0									
2938	0	0					2455	0	73118					29000	0	31878	0	1499	0	0	6922									
3252	0	0					319	100	65836					3511	0	9894	100	8904	0	0	0									
3458	0	0					184	2084	7500					0	0	7027	2084	0	0	0	2295									
3720	0	0					615	7335	39210					5156	0	10720	7335	7816	0	0	2297									
3953	0	0					778	0	4					11122	0	0	0	0	4	0	0									
4138	0	0					991	0	32185					1521	0	15547	0	5840	71	0	1402									
4156	0	0					2487	0	36160					25600	0	10555	0	25605	0	0	43									
4231	0	0					0	0	28835					0	0	4476	0	9081	0	0	0									
4437	0	0					1175	630	56420					10863	0	25665	630	25489	0	0	3510									
4839	0	0					2075	0	56007					27000	0	14536	0	14231	0	0	6549									
5005	0	0					4637	304	57636					65375	0	6460	0	8241	10370	0	0									
5069	0	1150					0	0	18884					0	0	0	0	3268	8127	0	0									
5135	0	0					1639	0	20631					21857	0	18231	0	1876	0	0	0									
5210	0	0					9170	10057	209270					82787	10057	24328	0	41271	0	0	49504									
5331	0	5220					3809	0	184720					23	0	98243	0	33620	0	0	83500									
5461	0	504					2214	0	54542					15619	0	31036	0	20937	0	0	0									
5751	0	0					302	0	58672					0	0	13050	0	11549	0	0	0									
6039	0	0					162	0	4204					0	0	3301	0	393	6	0	0									
6141	0	0					0	12136	0					0	5963	0	4139	0	0	0	0									
6329	0	0					769	100	40767					0	0	10895	100	11665	0	0	0									
6972	0	0					4933	61292	40293					41500	18989	18353	41112	21432	0	0	1165									
7009	0	0					0	0	330423					0	0	249663	0	72161	8599	0	0									
7045	0	0					248	20172	20091					0	0	14915	20172	5176	0	0	0									
7157	0	755					23	0	16517					0	0	6412	0	8832	0	0	0									
7456	0	0					299	509	15353					1500	0	6401	509	0	0	0	0									
7634	0	0					430	14	6646					4000	0	2803	0	3413	0	0	0									
8033	0	0					1525	0	6327					20743	0	4167	0	1646	0	0	0									
8462	0	0					21	0	70109					0	0	33999	0	6693	0	0	0									
8631	0	0					158	0	14053					0	0	14053	0	0	0	0	0									
9357	0	0					4492	0	25172					91300	0	24171	0	0	987	0	6104									
9553	0	0					767	0	9542					6064	0	5645	0	3897	0	0	0									
9807	0	24234					20318	263438	77493					305995	500	0	29770	0	0	0	68305									
9955	0	0					4	0	21517					8700	0	9425	0	12092	0	0	0									
10157	0	0					278	98	9757					450	0	1344	0	1405	0	0	0									
10250	0	0					2543	0	46528					33500	0	10610	0	28774	0	0	0									
10849	0	0					1819	58225	231					22140	5494	0	24324	231	0	0	0									
10858	0	5520					1440	0	55140					24965	0	16965	0	2121	12	0	31260									
11145	0	283					1081	0	17548					9916	0	2367	0	13702	0	0	0									
11640	0	0					4012	0	77988					27500	0	17668	0	47330	0	0	0									
11837	0	0					613	0	59536					7000	0	47430	0	6849	0	0	0									
12030	0	0					1511	999	5622					0	999	5622	0	0	0	0	0									
12142	0	0					739	1167	34413					2000	0	4264	1163	7326	0	0	7038									
12245	0	0					397	0	31742					7900	0	2387	0	14573	47	0	0									
12311	0	99154	0	0	0	594253	376640	0	8174270	0	51111245	1775249	45917590	2443673	0	2698317	0	124784	49233	0	850485	0	950369	0	2529739	0	1123771	0	4650	
12647	0	0					310	7224	0					6200	1411	0	3952	0	0	0	0									
12656	0	0					29	708	0					0	708	0	0	0	0	0	0									
12937	0	0					830	0	860					0	0	0	0	0	0	0	0									
12946	0	0					2538	0	71771					19338	0	10458	0	38794	533	0	0									
12955	0	0					446	3251	8					6800	0	0	3251	0	0	0	0									
13037	0	0					545	0	37559					0	0	22586	0	3812	0	0	0									
13103	0	0					12036	814	200605					136360	0	51762	0	0	59072	0	7346									
13251	0	0					143	0	6664					0	0	1910	0	4746	0	0	0									
13457	0	0					0	0	3144					0	0	493	0	2625	26	0	0									
14052	0	0					247	0	7995					1000	0	929	0	2406	0	0	0									
14155	0	0					746	0	6132					10800	0	894	0	3783	0	0	0									
14454	0	0					130	2285	5127					1000	0	0	1655	0	0	0	0									
14650	0	0					68	2400	31					0	2400	0	0	0	0	0	0									
