"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	LN SEC BY REAL ESTATE	UNPD PRIN BAL OF LN SEC BY REAL EST	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	LN SEC CNST LAND DEV AND OTHR LAND L	LN SEC FARMLAND	RVLVG OE LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC JR 1-4 FAM RES PROP	LN SEC MLTI FMLY RES PROP	LN SEC NONFARM NON RES PROP	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	LN TO INDV FOR HH EXPND OTHR CNSMR L	OTH LN MSRD AT FV	UNPD PRIN BAL OF CONS LND DEV AND OT	UNPD PRIN BAL OF LN SEC BY FRM LAND	UNPD PRIN BAL OF LN SEC RVLV CRDT	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC BY MFAM RES 	UNPD PRIN BAL OF LN SEC BY NONFRM RE	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN TO IND HH AND OT	UNPD PRIN BAL OF OTHR LN	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																										0	1563	380		62		100	380			3165	0	7966	0	3758	46759	0	0	0	21862	82	0	4847	665	4182	8953	5602	1994	140	7260	5535	7154	3660	861	0								0	0			0	0	311	456	7044	10			0			335	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
242																																																										0	3065	0		12		3664	0			1488	28	2626	0	0	22324	0	0	0	7655	43	0	11574	109	1148	4344	1420	632	0	3514	6879	2864	1138	190	0								0	0			0	0	0	0	0	3743			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		3500		
279																																																										0	449	76		0		342	0			5116	290	6860	0	251	71572	55	0	87	41947	652	1527	8927	541	954	1616	1561	12011	25264	5236	2590	5419	4286	8659	3489								0	0			0	0	702	3795	3155	7992			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
354																																																										0	1040	0		0		709	0			379	0	732	0	0	4316	0	0	0	1439	17	732	816	715	0	27	51	403	241	1168	387	480	194	452	163								0	0			0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
457																																																										0	3754	0		60		6986	0			5654	0	3039	0	455	31976	0	0	0	6096	667	5173	15762	307	1321	3719	320	80	0	6909	7308	6652	4294	83	455								0	0			0	0	1061	340	2390	1474			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		11880		
505																																																										0	0	5650	0	19	19	0	0	14821	0	14821	15277	35056	0	10866	253217	7206	0	0	130874	4559	30581	23443	3187	13727	9208	6569	30172	66309	27324	12208	17061	25020	32686	14489	0	0	0	0	0	0	0	0	455	0		0	0	2999	1578	19771	18498	0	0	0			0	1891																									0	0	0	0	0	0	0	0	0	0	0	0		135572		
1155																																																										0	4902	489		726		7739	1488			42030	1003	6950	0	2913	151081	0	0	0	18739	3872	517	52025	2345	2169	3357	9007	875	807	41509	15447	22622	42408	6426	3115								560	211			0	0	2572	3734	24735	29906			0			0	93																									0	0	0	0	0	0	0	0	0	0	0	0		151081		
1351																																																										0	10874	0		226		4816	0			18935	0	10658	0	0	71101	0	0	0	11784	0	11784	45774	2927	7900	163	206	446	0	14488	31286	7760	4215	553	0								0	0		0	0	0	0	0	0	13808			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1454																																																										0	4646	1607	0	49	49	2525	0	30291	0	30291	4811	27508	0	0	212822	706	0	0	74137	6596	3929	31979	2972	1418	3459	6762	38174	21352	17946	17651	19805	48933	28395	4466	0	0	0	0	0	0	0	0	1222	0		0	0	917	6362	29086	23771	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1557																																																										0	7844	0		8		15992	0			1218	0	864	0	0	30501	0	0	0	2621	0	0	10668	57	39	740	664	1121	0	1769	8803	2687	7768	5175	1678								0	0		0	0	0	0	282	1672	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1632																																																										0	9785	16573	7179	12432	5253	6977	7239	85961	0	85961	44336	12882	0	8528	641705	0	918	1867	98064	13525	10308	191124	15927	17671	39969	5804	14422	1380	178297	86883	125524	38999	81540	8225	0	0	0	0	0	0	0	0	1335	0		0	0	22861	109044	97869	100615	0	918	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	393348	0	
1669																																																										0	374	197		125		1786	0			10210	0	12349	0	2180	82140	0	0	0	41755	1671	25086	8291	266	1182	438	2235	19121	18460	4697	6311	6349	14315	7849	431								0	0			0	0	572	941	6919	3061			0			0	305																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1829																																																										2500	0	17998	0	29	29	0	0	25066	0	25066	7466	395	0	0	269522	319	25820	0	101938	16162	0	38257	1997	1455	5230	11605	40789	40581	28874	5931	33380	36083	52881	5835	0	0	0	2500	0	0	0	765	1528	0		0	0	598	2780	37587	29209	0	25820	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
1856																																																										0	1182	0		11		689	0			7286	0	1105	0	0	13343	0	0	0	1653	0	1466	4147	295	181	205	142	727	68	1488	2282	2174	825	4372	248								0	0			0	0	0	226	1191	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2040																																																										0	5855	9658		41		1846	966			13436	1915	4506	0	75	160506	0	0	0	30457	1371	342	48595	2807	4495	20236	2297	116	0	25560	15734	68834	16977	2196	258								419	0			0	0	722	18459	38386	33360			0			266	27																									0	0	0	0	0	0	0	0	0	0	0	0	0	28380	0	
2161																																																										0	85	0		32		3472	0			14067	0	8943	0	0	61323	1	0	0	30686	110	21474	20725	1083	10118	5780	5332	5642	2649	3578	5946	7627	6653	6194	625								348	0			0	0	839	0	2742	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2376																																																										0	0	300408	0	0	0	0	0	20669	0	20669	4052	297	0	0	1354600	0	0	4480	274183	28275	49244	99125	268	4054	13534	23737	104404	126901	77695	26192	106072	128775	461898	229163	0	0	0	0	0	0	0	0	0	0		0	0	37389	87347	84847	517133	0	0	0			0	43																									0	0	0	0	0	0	0	0	0	0	0	0		881694		
2451																																																										0	7022	966		860		2292	0			3442	124	596	0	0	28065	0	0	0	7350	222	5806	3007	1156	1928	182	206	258	3054	10368	4700	722	230	1875	2509								0	0			0	0	23	2695	0	2473			0			127	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																																																										0	2305	0		3		1752	0			759	0	328	0	16	5715	0	0	0	518	0	0	1325	85	0	157	68	91	117	3216	57	217	650	1057	0								0	0			0	0	0	0	34	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2732																																																										0	161	87298	0	243	243	0	3252	80957	0	80957	6512	4860	0	0	417230	393	0	0	20741	1571	6807	125418	3782	4203	6405	100	418	5833	124114	49326	144337	21011	3831	45253	0	0	0	0	0	0	0	0	0	0		0	0	10751	24766	98267	81496	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2750																																																										0	7905	449		40		19944	0			3107	0	1812	0	64	39303	0	0	0	2896	195	250	16871	317	713	913	763	54	0	14963	4447	4061	10095	623	801								0	179			0	0	259	268	647	1538			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2938																																																										0	24973	23419	0	2837	2837	3252	208	90158	0	90158	35576	8474	0	1827	476978	8	344	10795	82832	3920	12408	182182	8909	13040	39908	15711	1719	0	95790	90334	127318	42082	23198	2754	0	0	0	0	0	0	0	0	449	0		0	0	12827	35857	68800	81441	0	344	0			162	31																									105837	115041	1784	30449	33096	513	4414	4798	113	6886	7485	177	0	194232	0	
