RCONFT04,RCONFT05,RCONHT81,RCONHT82,RCONHT86,RCONL191,RCONL192,RCONM288,RIADHT85,IDRSSD,RCON9999
,,,,,,,,,23045,2002-03-31
,,,,,,,,,23241,2002-03-31
,,,,,,,,,23344,2002-03-31
,,,,,,,,,23456,2002-03-31
,,,,,,,,,23504,2002-03-31
,,,,,,,,,23540,2002-03-31
,,,,,,,,,23643,2002-03-31
,,,,,,,,,23755,2002-03-31
,,,,,,,,,23812,2002-03-31
,,,,,,,,,24006,2002-03-31
,,,,,,,,,24266,2002-03-31
,,,,,,,,,24453,2002-03-31
,,,,,,,,,24659,2002-03-31
,,,,,,,,,24668,2002-03-31
,,,,,,,,,24855,2002-03-31
,,,,,,,,,24949,2002-03-31
,,,,,,,,,25357,2002-03-31
,,,,,,,,,25450,2002-03-31
,,,,,,,,,25647,2002-03-31
,,,,,,,,,25852,2002-03-31
,,,,,,,,,26149,2002-03-31
,,,,,,,,,26233,2002-03-31
,,,,,,,,,26242,2002-03-31
,,,,,,,,,26457,2002-03-31
,,,,,,,,,26756,2002-03-31
,,,,,,,,,26765,2002-03-31
,,,,,,,,,26859,2002-03-31
,,,,,,,,,26916,2002-03-31
,,,,,,,,,27548,2002-03-31
,,,,,,,,,27614,2002-03-31
,,,,,,,,,27838,2002-03-31
,,,,,,,,,27847,2002-03-31
,,,,,,,,,28013,2002-03-31
,,,,,,,,,28152,2002-03-31
,,,,,,,,,28255,2002-03-31
,,,,,,,,,28349,2002-03-31
,,,,,,,,,28406,2002-03-31
,,,,,,,,,28572,2002-03-31
,,,,,,,,,28732,2002-03-31
,,,,,,,,,29104,2002-03-31
,,,,,,,,,29159,2002-03-31
,,,,,,,,,29252,2002-03-31
,,,,,,,,,29636,2002-03-31
,,,,,,,,,29850,2002-03-31
,,,,,,,,,29944,2002-03-31
,,,,,,,,,29953,2002-03-31
,,,,,,,,,30025,2002-03-31
,,,,,,,,,30052,2002-03-31
,,,,,,,,,30146,2002-03-31
,,,,,,,,,30155,2002-03-31
,,,,,,,,,30258,2002-03-31
,,,,,,,,,30418,2002-03-31
,,,,,,,,,30502,2002-03-31
,,,,,,,,,30650,2002-03-31
,,,,,,,,,30810,2002-03-31
,,,,,,,,,30856,2002-03-31
,,,,,,,,,31134,2002-03-31
,,,,,,,,,31152,2002-03-31
,,,,,,,,,31255,2002-03-31
,,,,,,,,,31303,2002-03-31
,,,,,,,,,31657,2002-03-31
,,,,,,,,,31826,2002-03-31
,,,,,,,,,31835,2002-03-31
,,,,,,,,,32159,2002-03-31
,,,,,,,,,32234,2002-03-31
,,,,,,,,,32766,2002-03-31
,,,,,,,,,33147,2002-03-31
,,,,,,,,,33259,2002-03-31
,,,,,,,,,33268,2002-03-31
,,,,,,,,,33549,2002-03-31
,,,,,,,,,33727,2002-03-31
,,,,,,,,,33754,2002-03-31
,,,,,,,,,33772,2002-03-31
,,,,,,,,,33839,2002-03-31
,,,,,,,,,33857,2002-03-31
,,,,,,,,,34032,2002-03-31
,,,,,,,,,34153,2002-03-31
,,,,,,,,,34359,2002-03-31
,,,,,,,,,34425,2002-03-31
,,,,,,,,,34434,2002-03-31
,,,,,,,,,34452,2002-03-31
,,,,,,,,,34537,2002-03-31
,,,,,,,,,34555,2002-03-31
,,,,,,,,,34742,2002-03-31
,,,,,,,,,34836,2002-03-31
,,,,,,,,,34863,2002-03-31
,,,,,,,,,35057,2002-03-31
,,,,,,,,,35244,2002-03-31
,,,,,,,,,35301,2002-03-31
,,,,,,,,,35570,2002-03-31
,,,,,,,,,35646,2002-03-31
,,,,,,,,,35842,2002-03-31
,,,,,,,,,35851,2002-03-31
,,,,,,,,,35936,2002-03-31
,,,,,,,,,36054,2002-03-31
,,,,,,,,,36344,2002-03-31
,,,,,,,,,36456,2002-03-31
,,,,,,,,,36830,2002-03-31
,,,,,,,,,36858,2002-03-31
,,,,,,,,,36933,2002-03-31
,,,,,,,,,37051,2002-03-31
,,,,,,,,,37341,2002-03-31
,,,,,,,,,37350,2002-03-31
,,,,,,,,,37378,2002-03-31
,,,,,,,,,37435,2002-03-31
,,,,,,,,,37640,2002-03-31
,,,,,,,,,37659,2002-03-31
,,,,,,,,,37743,2002-03-31
,,,,,,,,,37949,2002-03-31
,,,,,,,,,38441,2002-03-31
,,,,,,,,,38478,2002-03-31
,,,,,,,,,38526,2002-03-31
,,,,,,,,,38535,2002-03-31
,,,,,,,,,38740,2002-03-31
,,,,,,,,,39327,2002-03-31
,,,,,,,,,39420,2002-03-31
,,,,,,,,,39475,2002-03-31
,,,,,,,,,39756,2002-03-31
,,,,,,,,,39934,2002-03-31
,,,,,,,,,40033,2002-03-31
,,,,,,,,,40051,2002-03-31
,,,,,,,,,40305,2002-03-31
,,,,,,,,,40350,2002-03-31
,,,,,,,,,40707,2002-03-31
,,,,,,,,,40855,2002-03-31
,,,,,,,,,41245,2002-03-31
,,,,,,,,,41553,2002-03-31
,,,,,,,,,41629,2002-03-31
,,,,,,,,,41647,2002-03-31
,,,,,,,,,41759,2002-03-31
,,,,,,,,,41825,2002-03-31
,,,,,,,,,41937,2002-03-31
,,,,,,,,,41955,2002-03-31
,,,,,,,,,42037,2002-03-31
,,,,,,,,,42055,2002-03-31
,,,,,,,,,42354,2002-03-31
,,,,,,,,,42420,2002-03-31
,,,,,,,,,42448,2002-03-31
,,,,,,,,,42457,2002-03-31
,,,,,,,,,42541,2002-03-31
,,,,,,,,,43052,2002-03-31
,,,,,,,,,43155,2002-03-31
,,,,,,,,,43173,2002-03-31
,,,,,,,,,43324,2002-03-31
,,,,,,,,,43351,2002-03-31
,,,,,,,,,43454,2002-03-31
,,,,,,,,,43511,2002-03-31
,,,,,,,,,43641,2002-03-31
,,,,,,,,,43669,2002-03-31
,,,,,,,,,43744,2002-03-31
,,,,,,,,,43856,2002-03-31
,,,,,,,,,43959,2002-03-31
,,,,,,,,,44040,2002-03-31
,,,,,,,,,44134,2002-03-31
,,,,,,,,,44433,2002-03-31
,,,,,,,,,44451,2002-03-31
,,,,,,,,,44602,2002-03-31
,,,,,,,,,44741,2002-03-31
,,,,,,,,,44750,2002-03-31
,,,,,,,,,44929,2002-03-31
,,,,,,,,,45038,2002-03-31
,,,,,,,,,45047,2002-03-31
,,,,,,,,,45056,2002-03-31
,,,,,,,,,45270,2002-03-31
,,,,,,,,,45430,2002-03-31
,,,,,,,,,45458,2002-03-31
,,,,,,,,,45551,2002-03-31
,,,,,,,,,45560,2002-03-31
,,,,,,,,,45627,2002-03-31
,,,,,,,,,45775,2002-03-31
,,,,,,,,,46053,2002-03-31
,,,,,,,,,46905,2002-03-31
,,,,,,,,,46941,2002-03-31
,,,,,,,,,47153,2002-03-31
,,,,,,,,,47247,2002-03-31
,,,,,,,,,47256,2002-03-31
,,,,,,,,,47377,2002-03-31
,,,,,,,,,47452,2002-03-31
,,,,,,,,,47500,2002-03-31
,,,,,,,,,47658,2002-03-31
,,,,,,,,,48057,2002-03-31
,,,,,,,,,48150,2002-03-31
,,,,,,,,,48208,2002-03-31
,,,,,,,,,48374,2002-03-31
,,,,,,,,,48440,2002-03-31
,,,,,,,,,48552,2002-03-31
,,,,,,,,,48673,2002-03-31
,,,,,,,,,48730,2002-03-31
,,,,,,,,,49054,2002-03-31
,,,,,,,,,49148,2002-03-31
,,,,,,,,,49241,2002-03-31
,,,,,,,,,49344,2002-03-31
,,,,,,,,,49362,2002-03-31
,,,,,,,,,49540,2002-03-31
,,,,,,,,,49643,2002-03-31
,,,,,,,,,49652,2002-03-31
,,,,,,,,,49821,2002-03-31
,,,,,,,,,49858,2002-03-31
,,,,,,,,,49951,2002-03-31
,,,,,,,,,50144,2002-03-31
,,,,,,,,,50461,2002-03-31
,,,,,,,,,50546,2002-03-31
,,,,,,,,,50854,2002-03-31
,,,,,,,,,50957,2002-03-31
,,,,,,,,,51253,2002-03-31
,,,,,,,,,51347,2002-03-31
,,,,,,,,,51356,2002-03-31
,,,,,,,,,51459,2002-03-31
,,,,,,,,,51730,2002-03-31
,,,,,,,,,51842,2002-03-31
,,,,,,,,,51972,2002-03-31
,,,,,,,,,52410,2002-03-31
,,,,,,,,,52456,2002-03-31
,,,,,,,,,52719,2002-03-31
,,,,,,,,,52951,2002-03-31
,,,,,,,,,53015,2002-03-31
,,,,,,,,,53033,2002-03-31
,,,,,,,,,53051,2002-03-31
,,,,,,,,,53239,2002-03-31
,,,,,,,,,53453,2002-03-31
,,,,,,,,,53752,2002-03-31
,,,,,,,,,54049,2002-03-31
,,,,,,,,,54058,2002-03-31
,,,,,,,,,54124,2002-03-31
,,,,,,,,,54357,2002-03-31
,,,,,,,,,54375,2002-03-31
,,,,,,,,,54441,2002-03-31
,,,,,,,,,54656,2002-03-31
,,,,,,,,,55019,2002-03-31
,,,,,,,,,55176,2002-03-31
,,,,,,,,,55251,2002-03-31
,,,,,,,,,55336,2002-03-31
,,,,,,,,,55635,2002-03-31
,,,,,,,,,55653,2002-03-31
,,,,,,,,,55916,2002-03-31
,,,,,,,,,56230,2002-03-31
,,,,,,,,,56258,2002-03-31
,,,,,,,,,56351,2002-03-31
,,,,,,,,,56427,2002-03-31
,,,,,,,,,56548,2002-03-31
,,,,,,,,,56557,2002-03-31
,,,,,,,,,56717,2002-03-31
,,,,,,,,,56726,2002-03-31
,,,,,,,,,57040,2002-03-31
,,,,,,,,,57134,2002-03-31
,,,,,,,,,57228,2002-03-31
,,,,,,,,,57255,2002-03-31
,,,,,,,,,57451,2002-03-31
,,,,,,,,,57572,2002-03-31
,,,,,,,,,57956,2002-03-31
,,,,,,,,,58074,2002-03-31
,,,,,,,,,58207,2002-03-31
,,,,,,,,,58225,2002-03-31
,,,,,,,,,58243,2002-03-31
,,,,,,,,,58355,2002-03-31
,,,,,,,,,58551,2002-03-31
,,,,,,,,,58636,2002-03-31
,,,,,,,,,58757,2002-03-31
,,,,,,,,,58971,2002-03-31
,,,,,,,,,59259,2002-03-31
,,,,,,,,,59316,2002-03-31
,,,,,,,,,59352,2002-03-31
,,,,,,,,,59679,2002-03-31
,,,,,,,,,59754,2002-03-31
,,,,,,,,,60143,2002-03-31
,,,,,,,,,60219,2002-03-31
,,,,,,,,,60330,2002-03-31
,,,,,,,,,60433,2002-03-31
,,,,,,,,,60545,2002-03-31
,,,,,,,,,60554,2002-03-31
,,,,,,,,,60648,2002-03-31
,,,,,,,,,61001,2002-03-31
,,,,,,,,,61122,2002-03-31
,,,,,,,,,61355,2002-03-31
,,,,,,,,,61476,2002-03-31
,,,,,,,,,61533,2002-03-31
,,,,,,,,,61757,2002-03-31
,,,,,,,,,61832,2002-03-31
,,,,,,,,,61953,2002-03-31
,,,,,,,,,62044,2002-03-31
,,,,,,,,,62101,2002-03-31
,,,,,,,,,62147,2002-03-31
,,,,,,,,,62651,2002-03-31
,,,,,,,,,62709,2002-03-31
,,,,,,,,,63050,2002-03-31
,,,,,,,,,63069,2002-03-31
,,,,,,,,,63078,2002-03-31
,,,,,,,,,63201,2002-03-31
,,,,,,,,,63359,2002-03-31
,,,,,,,,,63573,2002-03-31
,,,,,,,,,63733,2002-03-31
,,,,,,,,,63742,2002-03-31
,,,,,,,,,63751,2002-03-31
,,,,,,,,,64150,2002-03-31
,,,,,,,,,64253,2002-03-31
,,,,,,,,,64543,2002-03-31
,,,,,,,,,64552,2002-03-31
,,,,,,,,,64619,2002-03-31
,,,,,,,,,64646,2002-03-31
,,,,,,,,,64730,2002-03-31
,,,,,,,,,64758,2002-03-31
,,,,,,,,,65205,2002-03-31
,,,,,,,,,65241,2002-03-31
,,,,,,,,,65513,2002-03-31
,,,,,,,,,65559,2002-03-31
,,,,,,,,,65746,2002-03-31
,,,,,,,,,65858,2002-03-31
,,,,,,,,,66015,2002-03-31
,,,,,,,,,66154,2002-03-31
,,,,,,,,,66172,2002-03-31
,,,,,,,,,66275,2002-03-31
,,,,,,,,,66350,2002-03-31
,,,,,,,,,66613,2002-03-31
,,,,,,,,,66837,2002-03-31
,,,,,,,,,66846,2002-03-31
,,,,,,,,,66903,2002-03-31
,,,,,,,,,67142,2002-03-31
,,,,,,,,,67151,2002-03-31
,,,,,,,,,67209,2002-03-31
,,,,,,,,,67254,2002-03-31
,,,,,,,,,67311,2002-03-31
,,,,,,,,,67414,2002-03-31
,,,,,,,,,67777,2002-03-31
,,,,,,,,,67852,2002-03-31
,,,,,,,,,68345,2002-03-31
,,,,,,,,,68448,2002-03-31
,,,,,,,,,68569,2002-03-31
,,,,,,,,,68756,2002-03-31
,,,,,,,,,68831,2002-03-31
,,,,,,,,,68840,2002-03-31
,,,,,,,,,68859,2002-03-31
,,,,,,,,,68943,2002-03-31
,,,,,,,,,69333,2002-03-31
,,,,,,,,,69351,2002-03-31
,,,,,,,,,69650,2002-03-31
,,,,,,,,,69678,2002-03-31
,,,,,,,,,69847,2002-03-31
,,,,,,,,,70049,2002-03-31
,,,,,,,,,70058,2002-03-31
,,,,,,,,,70076,2002-03-31
,,,,,,,,,70151,2002-03-31
,,,,,,,,,70218,2002-03-31
,,,,,,,,,70254,2002-03-31
,,,,,,,,,70414,2002-03-31
,,,,,,,,,70638,2002-03-31
,,,,,,,,,70955,2002-03-31
,,,,,,,,,71318,2002-03-31
,,,,,,,,,71457,2002-03-31
,,,,,,,,,71671,2002-03-31
,,,,,,,,,71859,2002-03-31
,,,,,,,,,72258,2002-03-31
,,,,,,,,,72276,2002-03-31
,,,,,,,,,72351,2002-03-31
,,,,,,,,,72418,2002-03-31
,,,,,,,,,72454,2002-03-31
,,,,,,,,,72614,2002-03-31
,,,,,,,,,72678,2002-03-31
,,,,,,,,,73031,2002-03-31
,,,,,,,,,73116,2002-03-31
,,,,,,,,,73152,2002-03-31
,,,,,,,,,73554,2002-03-31
,,,,,,,,,73956,2002-03-31
,,,,,,,,,74056,2002-03-31
,,,,,,,,,74140,2002-03-31
,,,,,,,,,74159,2002-03-31
,,,,,,,,,74337,2002-03-31
,,,,,,,,,74403,2002-03-31
,,,,,,,,,74449,2002-03-31
,,,,,,,,,74458,2002-03-31
,,,,,,,,,75053,2002-03-31
,,,,,,,,,75259,2002-03-31
,,,,,,,,,75446,2002-03-31
,,,,,,,,,75455,2002-03-31
,,,,,,,,,75558,2002-03-31
,,,,,,,,,75576,2002-03-31
,,,,,,,,,75633,2002-03-31
,,,,,,,,,75651,2002-03-31
,,,,,,,,,75857,2002-03-31
,,,,,,,,,76050,2002-03-31
,,,,,,,,,76135,2002-03-31
,,,,,,,,,76153,2002-03-31
,,,,,,,,,76201,2002-03-31
,,,,,,,,,76443,2002-03-31
,,,,,,,,,76742,2002-03-31
,,,,,,,,,76854,2002-03-31
,,,,,,,,,77150,2002-03-31
,,,,,,,,,77253,2002-03-31
,,,,,,,,,77347,2002-03-31
,,,,,,,,,77374,2002-03-31
,,,,,,,,,77422,2002-03-31
,,,,,,,,,77758,2002-03-31
,,,,,,,,,77851,2002-03-31
,,,,,,,,,78036,2002-03-31
,,,,,,,,,78054,2002-03-31
,,,,,,,,,78157,2002-03-31
,,,,,,,,,78241,2002-03-31
,,,,,,,,,78559,2002-03-31
,,,,,,,,,78643,2002-03-31
,,,,,,,,,78858,2002-03-31
,,,,,,,,,79042,2002-03-31
,,,,,,,,,79127,2002-03-31
,,,,,,,,,79145,2002-03-31
,,,,,,,,,79257,2002-03-31
,,,,,,,,,79855,2002-03-31
,,,,,,,,,80020,2002-03-31
,,,,,,,,,80150,2002-03-31
,,,,,,,,,80431,2002-03-31
,,,,,,,,,80552,2002-03-31
,,,,,,,,,80936,2002-03-31
,,,,,,,,,81054,2002-03-31
,,,,,,,,,81429,2002-03-31
,,,,,,,,,82024,2002-03-31
,,,,,,,,,82033,2002-03-31
,,,,,,,,,82257,2002-03-31
,,,,,,,,,82350,2002-03-31
,,,,,,,,,82659,2002-03-31
,,,,,,,,,83151,2002-03-31
,,,,,,,,,83236,2002-03-31
,,,,,,,,,83311,2002-03-31
,,,,,,,,,83357,2002-03-31
,,,,,,,,,83450,2002-03-31
,,,,,,,,,83638,2002-03-31
,,,,,,,,,83834,2002-03-31
,,,,,,,,,83852,2002-03-31
,,,,,,,,,83955,2002-03-31
,,,,,,,,,84046,2002-03-31
,,,,,,,,,84055,2002-03-31
,,,,,,,,,84251,2002-03-31
,,,,,,,,,84345,2002-03-31
,,,,,,,,,84541,2002-03-31
,,,,,,,,,84804,2002-03-31
,,,,,,,,,84970,2002-03-31
,,,,,,,,,85043,2002-03-31
,,,,,,,,,85052,2002-03-31
,,,,,,,,,85258,2002-03-31
,,,,,,,,,85454,2002-03-31
,,,,,,,,,85856,2002-03-31
,,,,,,,,,85931,2002-03-31
,,,,,,,,,86349,2002-03-31
,,,,,,,,,86358,2002-03-31
,,,,,,,,,86527,2002-03-31
,,,,,,,,,86554,2002-03-31
,,,,,,,,,87047,2002-03-31
,,,,,,,,,87159,2002-03-31
,,,,,,,,,87234,2002-03-31
,,,,,,,,,87476,2002-03-31
,,,,,,,,,87533,2002-03-31
,,,,,,,,,87944,2002-03-31
,,,,,,,,,88240,2002-03-31
,,,,,,,,,88259,2002-03-31
,,,,,,,,,88352,2002-03-31
,,,,,,,,,88455,2002-03-31
,,,,,,,,,88530,2002-03-31
,,,,,,,,,88950,2002-03-31
,,,,,,,,,89032,2002-03-31
,,,,,,,,,89135,2002-03-31
,,,,,,,,,89162,2002-03-31
,,,,,,,,,89452,2002-03-31
,,,,,,,,,89751,2002-03-31
,,,,,,,,,89854,2002-03-31
,,,,,,,,,89957,2002-03-31
,,,,,,,,,90047,2002-03-31
,,,,,,,,,90159,2002-03-31
,,,,,,,,,90234,2002-03-31
,,,,,,,,,90252,2002-03-31
,,,,,,,,,90328,2002-03-31
,,,,,,,,,90337,2002-03-31
,,,,,,,,,90403,2002-03-31
,,,,,,,,,90467,2002-03-31
,,,,,,,,,90627,2002-03-31
,,,,,,,,,90645,2002-03-31
,,,,,,,,,90739,2002-03-31
,,,,,,,,,91129,2002-03-31
,,,,,,,,,91147,2002-03-31
,,,,,,,,,91156,2002-03-31
,,,,,,,,,91259,2002-03-31
,,,,,,,,,91615,2002-03-31
,,,,,,,,,91651,2002-03-31
,,,,,,,,,91754,2002-03-31
,,,,,,,,,91866,2002-03-31
,,,,,,,,,91950,2002-03-31
,,,,,,,,,91969,2002-03-31
,,,,,,,,,92050,2002-03-31
,,,,,,,,,92144,2002-03-31
,,,,,,,,,92162,2002-03-31
,,,,,,,,,92630,2002-03-31
,,,,,,,,,92706,2002-03-31
,,,,,,,,,92854,2002-03-31
,,,,,,,,,92902,2002-03-31
,,,,,,,,,93039,2002-03-31
,,,,,,,,,93244,2002-03-31
,,,,,,,,,93329,2002-03-31
,,,,,,,,,93413,2002-03-31
,,,,,,,,,93543,2002-03-31
,,,,,,,,,93619,2002-03-31
,,,,,,,,,93628,2002-03-31
,,,,,,,,,93721,2002-03-31
,,,,,,,,,93758,2002-03-31
,,,,,,,,,94139,2002-03-31
,,,,,,,,,94447,2002-03-31
,,,,,,,,,94456,2002-03-31
,,,,,,,,,94522,2002-03-31
,,,,,,,,,94661,2002-03-31
,,,,,,,,,94755,2002-03-31
,,,,,,,,,94858,2002-03-31
,,,,,,,,,95051,2002-03-31
,,,,,,,,,95659,2002-03-31
,,,,,,,,,95725,2002-03-31
,,,,,,,,,95855,2002-03-31
,,,,,,,,,96254,2002-03-31
,,,,,,,,,96357,2002-03-31
,,,,,,,,,96553,2002-03-31
,,,,,,,,,97037,2002-03-31
,,,,,,,,,97055,2002-03-31
,,,,,,,,,97279,2002-03-31
,,,,,,,,,97457,2002-03-31
,,,,,,,,,97804,2002-03-31
,,,,,,,,,97943,2002-03-31
,,,,,,,,,98351,2002-03-31
,,,,,,,,,98360,2002-03-31
,,,,,,,,,98454,2002-03-31
,,,,,,,,,98463,2002-03-31
,,,,,,,,,98548,2002-03-31
,,,,,,,,,98557,2002-03-31
,,,,,,,,,98641,2002-03-31
,,,,,,,,,98717,2002-03-31
,,,,,,,,,99004,2002-03-31
,,,,,,,,,99059,2002-03-31
,,,,,,,,,99143,2002-03-31
,,,,,,,,,99255,2002-03-31
,,,,,,,,,99442,2002-03-31
,,,,,,,,,99536,2002-03-31
,,,,,,,,,99853,2002-03-31
,,,,,,,,,99974,2002-03-31
,,,,,,,,,100160,2002-03-31
,,,,,,,,,100236,2002-03-31
,,,,,,,,,100357,2002-03-31
,,,,,,,,,100553,2002-03-31
,,,,,,,,,100562,2002-03-31
,,,,,,,,,100843,2002-03-31
,,,,,,,,,101019,2002-03-31
,,,,,,,,,101037,2002-03-31
,,,,,,,,,101233,2002-03-31
,,,,,,,,,101327,2002-03-31
,,,,,,,,,101345,2002-03-31
,,,,,,,,,101439,2002-03-31
,,,,,,,,,101671,2002-03-31
,,,,,,,,,101738,2002-03-31
,,,,,,,,,101952,2002-03-31
,,,,,,,,,102155,2002-03-31
,,,,,,,,,102333,2002-03-31
,,,,,,,,,102342,2002-03-31
,,,,,,,,,102539,2002-03-31
,,,,,,,,,102557,2002-03-31
,,,,,,,,,103134,2002-03-31
,,,,,,,,,103255,2002-03-31
,,,,,,,,,103536,2002-03-31
,,,,,,,,,103554,2002-03-31
,,,,,,,,,103563,2002-03-31
,,,,,,,,,103602,2002-03-31
,,,,,,,,,104038,2002-03-31
,,,,,,,,,104056,2002-03-31
,,,,,,,,,104234,2002-03-31
,,,,,,,,,104430,2002-03-31
,,,,,,,,,104542,2002-03-31
